Region,Type,X Location,Y Location, Z Location
RightInferiorLobe,ObliqueFissure,-117.785,12.6652,-162.688
RightInferiorLobe,ObliqueFissure,-117.785,5.16517,-165.188
RightMiddleLobe,ObliqueFissure,-117.785,-10.4598,-172.688
RightInferiorLobe,ObliqueFissure,-117.785,-16.0848,-180.188
RightInferiorLobe,ObliqueFissure,-117.785,-19.2098,-185.188
RightInferiorLobe,ObliqueFissure,-107.785,43.2902,-150.188
RightInferiorLobe,ObliqueFissure,-107.785,32.6652,-153.312
RightSuperiorLobe,ObliqueFissure,-107.785,19.5402,-156.438
RightInferiorLobe,ObliqueFissure,-107.785,4.54017,-162.688
RightSuperiorLobe,ObliqueFissure,-107.785,-4.83483,-167.062
RightSuperiorLobe,ObliqueFissure,-107.785,-9.83483,-168.938
RightMiddleLobe,ObliqueFissure,-107.785,-14.2098,-173.938
RightInferiorLobe,ObliqueFissure,-107.785,-20.4598,-184.562
RightInferiorLobe,ObliqueFissure,-107.785,-28.5848,-195.188
RightMiddleLobe,ObliqueFissure,-107.785,-38.5848,-204.562
RightMiddleLobe,ObliqueFissure,-107.785,-45.4598,-212.688
RightMiddleLobe,ObliqueFissure,-107.785,-52.3348,-221.438
RightMiddleLobe,ObliqueFissure,-107.785,-56.0848,-227.688
RightInferiorLobe,ObliqueFissure,-97.7848,-73.5848,-260.812
RightInferiorLobe,ObliqueFissure,-97.7848,-57.3348,-233.938
RightMiddleLobe,ObliqueFissure,-97.7848,-43.5848,-213.312
RightInferiorLobe,ObliqueFissure,-97.7848,-26.0848,-192.688
RightInferiorLobe,ObliqueFissure,-97.7848,-18.5848,-180.812
RightMiddleLobe,ObliqueFissure,-97.7848,-12.3348,-168.938
RightInferiorLobe,ObliqueFissure,-97.7848,-2.95983,-165.812
RightSuperiorLobe,ObliqueFissure,-97.7848,11.4152,-158.312
RightSuperiorLobe,ObliqueFissure,-97.7848,22.0402,-154.562
RightInferiorLobe,ObliqueFissure,-97.7848,28.9152,-152.688
RightSuperiorLobe,ObliqueFissure,-97.7848,40.7902,-144.562
RightSuperiorLobe,ObliqueFissure,-97.7848,51.4151,-138.938
RightSuperiorLobe,ObliqueFissure,-88.4098,58.9151,-133.938
RightSuperiorLobe,ObliqueFissure,-88.4098,41.4152,-141.438
RightInferiorLobe,ObliqueFissure,-88.4098,37.0402,-146.438
RightInferiorLobe,ObliqueFissure,-88.4098,27.0402,-152.688
RightInferiorLobe,ObliqueFissure,-88.4098,10.7902,-160.812
RightInferiorLobe,ObliqueFissure,-88.4098,-1.08483,-165.812
RightMiddleLobe,ObliqueFissure,-88.4098,-10.4598,-168.312
RightInferiorLobe,ObliqueFissure,-88.4098,-19.2098,-183.312
RightInferiorLobe,ObliqueFissure,-88.4098,-32.9598,-203.938
RightInferiorLobe,ObliqueFissure,-88.4098,-50.4598,-228.312
RightMiddleLobe,ObliqueFissure,-88.4098,-69.2098,-252.062
RightInferiorLobe,ObliqueFissure,-88.4098,-84.2098,-273.938
RightInferiorLobe,ObliqueFissure,-88.4098,-84.8348,-273.938
RightMiddleLobe,ObliqueFissure,-75.9098,-86.0848,-272.062
RightMiddleLobe,ObliqueFissure,-75.9098,-67.9598,-252.688
RightInferiorLobe,ObliqueFissure,-75.9098,-46.0848,-227.688
RightInferiorLobe,ObliqueFissure,-75.9098,-26.7098,-201.438
RightMiddleLobe,ObliqueFissure,-75.9098,-17.9598,-186.438
RightMiddleLobe,ObliqueFissure,-75.9098,-12.9598,-178.938
RightMiddleLobe,ObliqueFissure,-75.9098,-9.20983,-170.188
RightInferiorLobe,ObliqueFissure,-75.9098,7.66516,-165.812
RightInferiorLobe,ObliqueFissure,-75.9098,15.1652,-159.562
RightInferiorLobe,ObliqueFissure,-75.9098,26.4152,-154.562
RightSuperiorLobe,ObliqueFissure,-75.9098,32.6652,-147.062
RightSuperiorLobe,ObliqueFissure,-75.9098,42.6652,-140.188
RightSuperiorLobe,ObliqueFissure,-75.9098,52.6651,-136.438
RightSuperiorLobe,ObliqueFissure,-75.9098,67.0401,-132.062
RightInferiorLobe,ObliqueFissure,-67.7848,72.6651,-134.562
RightInferiorLobe,ObliqueFissure,-67.7848,58.2901,-137.688
RightSuperiorLobe,ObliqueFissure,-67.7848,46.4151,-140.812
RightSuperiorLobe,ObliqueFissure,-67.7848,35.7902,-144.562
RightSuperiorLobe,ObliqueFissure,-67.7848,29.5402,-148.938
RightSuperiorLobe,ObliqueFissure,-67.7848,16.4152,-160.188
RightSuperiorLobe,ObliqueFissure,-67.7848,6.41517,-167.688
RightMiddleLobe,ObliqueFissure,-67.7848,-4.20983,-170.188
RightMiddleLobe,ObliqueFissure,-67.7848,-7.95983,-179.562
RightInferiorLobe,ObliqueFissure,-67.7848,-19.8348,-197.062
RightInferiorLobe,ObliqueFissure,-67.7848,-19.8348,-197.688
RightInferiorLobe,ObliqueFissure,-67.7848,-33.5848,-215.188
RightMiddleLobe,ObliqueFissure,-67.7848,-42.9598,-226.438
RightMiddleLobe,ObliqueFissure,-67.7848,-57.9598,-243.312
RightMiddleLobe,ObliqueFissure,-67.7848,-67.9598,-254.562
RightMiddleLobe,ObliqueFissure,-67.7848,-79.8348,-267.062
RightMiddleLobe,ObliqueFissure,-62.1598,-81.0848,-269.562
RightInferiorLobe,ObliqueFissure,-62.1598,-56.7098,-244.562
RightInferiorLobe,ObliqueFissure,-62.1598,-28.5848,-213.938
RightInferiorLobe,ObliqueFissure,-62.1598,-28.5848,-213.312
RightInferiorLobe,ObliqueFissure,-62.1598,-13.5848,-194.562
RightInferiorLobe,ObliqueFissure,-62.1598,-4.83483,-183.938
RightSuperiorLobe,ObliqueFissure,-62.1598,6.41517,-170.812
RightSuperiorLobe,ObliqueFissure,-62.1598,15.7902,-161.438
RightInferiorLobe,ObliqueFissure,-54.6598,-74.2098,-265.188
RightInferiorLobe,ObliqueFissure,-54.6598,-56.0848,-247.062
RightMiddleLobe,ObliqueFissure,-54.6598,-41.7098,-230.188
RightInferiorLobe,ObliqueFissure,-54.6598,-25.4598,-213.938
