Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-126.178,-249.783,-548
RIGHTLUNG,OBLIQUEFISSURE,-126.178,-93.3264,-482
RIGHTLUNG,OBLIQUEFISSURE,-126.178,-202.912,-517.5
RIGHTLUNG,OBLIQUEFISSURE,-126.178,-173.865,-498.5
RIGHTLUNG,OBLIQUEFISSURE,-126.178,-136.897,-489
RIGHTLUNG,OBLIQUEFISSURE,-111.654,-143.498,-486
RIGHTLUNG,OBLIQUEFISSURE,-111.654,-107.85,-478.5
RIGHTLUNG,OBLIQUEFISSURE,-111.654,-192.35,-517
RIGHTLUNG,OBLIQUEFISSURE,-105.053,-136.897,-481.5
RIGHTLUNG,OBLIQUEFISSURE,-105.053,-122.373,-477.5
RIGHTLUNG,OBLIQUEFISSURE,-105.053,-185.748,-515.5
RIGHTLUNG,OBLIQUEFISSURE,-105.053,-239.881,-540.5
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-253.744,-550
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-150.76,-491
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-131.615,-477.5
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-160.002,-496
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-175.846,-510.5
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-194.99,-521.5
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-124.354,-476.5
RIGHTLUNG,OBLIQUEFISSURE,-97.7911,-73.5217,-476
RIGHTLUNG,OBLIQUEFISSURE,-89.2091,-125.014,-469
RIGHTLUNG,OBLIQUEFISSURE,-89.2091,-155.381,-495.5
RIGHTLUNG,OBLIQUEFISSURE,-89.2091,-161.983,-504
RIGHTLUNG,OBLIQUEFISSURE,-89.2091,-184.428,-519.5
RIGHTLUNG,OBLIQUEFISSURE,-89.2091,-196.311,-526
RIGHTLUNG,OBLIQUEFISSURE,-89.2091,-232.619,-536
RIGHTLUNG,OBLIQUEFISSURE,-82.6075,-194.33,-528.5
RIGHTLUNG,OBLIQUEFISSURE,-82.6075,-161.983,-509
RIGHTLUNG,OBLIQUEFISSURE,-76.006,-233.279,-537.5
