Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-112.033,-54.1993,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-112.033,-25.293,-183.625
RIGHTLUNG,OBLIQUEFISSURE,-112.033,10.8398,-154.875
RIGHTLUNG,OBLIQUEFISSURE,-112.033,23.8476,-148
RIGHTLUNG,OBLIQUEFISSURE,-117.814,-36.1329,-198
RIGHTLUNG,OBLIQUEFISSURE,-117.814,-5.78131,-169.875
RIGHTLUNG,OBLIQUEFISSURE,-120.705,-28.1836,-192.375
RIGHTLUNG,OBLIQUEFISSURE,-120.705,-6.50397,-171.75
RIGHTLUNG,OBLIQUEFISSURE,-110.588,-55.6446,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-110.588,-21.6797,-178.625
RIGHTLUNG,OBLIQUEFISSURE,-110.588,26.7382,-146.125
RIGHTLUNG,OBLIQUEFISSURE,-101.916,-66.4844,-233.625
RIGHTLUNG,OBLIQUEFISSURE,-101.916,-36.1329,-191.125
RIGHTLUNG,OBLIQUEFISSURE,-101.916,11.5624,-148.625
RIGHTLUNG,OBLIQUEFISSURE,-101.916,35.4101,-138
RIGHTLUNG,OBLIQUEFISSURE,-96.8571,-72.9883,-241.125
RIGHTLUNG,OBLIQUEFISSURE,-96.8571,-27.461,-184.25
RIGHTLUNG,OBLIQUEFISSURE,-96.8571,9.39446,-148.625
RIGHTLUNG,OBLIQUEFISSURE,-96.8571,35.4101,-133.625
RIGHTLUNG,OBLIQUEFISSURE,-96.8571,46.2499,-132.375
RIGHTLUNG,OBLIQUEFISSURE,-92.5211,-70.8204,-236.125
RIGHTLUNG,OBLIQUEFISSURE,-92.5211,-42.6368,-196.75
RIGHTLUNG,OBLIQUEFISSURE,-92.5211,-2.89069,-161.75
RIGHTLUNG,OBLIQUEFISSURE,-92.5211,19.5116,-142.375
RIGHTLUNG,OBLIQUEFISSURE,-92.5211,42.6366,-132.375
RIGHTLUNG,OBLIQUEFISSURE,-92.5211,51.3085,-129.25
RIGHTLUNG,OBLIQUEFISSURE,-87.4625,-69.375,-230.5
RIGHTLUNG,OBLIQUEFISSURE,-87.4625,-34.6876,-188.625
RIGHTLUNG,OBLIQUEFISSURE,-87.4625,7.94915,-147.375
RIGHTLUNG,OBLIQUEFISSURE,-87.4625,36.8554,-131.75
RIGHTLUNG,OBLIQUEFISSURE,-87.4625,56.3671,-128
RIGHTLUNG,OBLIQUEFISSURE,-83.1266,-63.5938,-222.375
RIGHTLUNG,OBLIQUEFISSURE,-83.1266,-33.9649,-189.25
RIGHTLUNG,OBLIQUEFISSURE,-83.1266,-0.72272,-156.75
RIGHTLUNG,OBLIQUEFISSURE,-78.7907,-60.7032,-218.625
RIGHTLUNG,OBLIQUEFISSURE,-78.7907,-26.0157,-181.75
RIGHTLUNG,OBLIQUEFISSURE,-78.7907,8.67181,-145.5
RIGHTLUNG,OBLIQUEFISSURE,-78.7907,39.746,-128
RIGHTLUNG,OBLIQUEFISSURE,-78.7907,56.3671,-121.75
RIGHTLUNG,OBLIQUEFISSURE,-73.7321,-56.3672,-213.625
RIGHTLUNG,OBLIQUEFISSURE,-73.7321,-23.8477,-181.75
RIGHTLUNG,OBLIQUEFISSURE,-73.7321,10.8398,-141.75
RIGHTLUNG,OBLIQUEFISSURE,-73.7321,46.2499,-124.25
RIGHTLUNG,OBLIQUEFISSURE,-69.3961,-54.9219,-212.375
RIGHTLUNG,OBLIQUEFISSURE,-69.3961,-23.1251,-182.375
RIGHTLUNG,OBLIQUEFISSURE,-69.3961,18.789,-134.25
RIGHTLUNG,OBLIQUEFISSURE,-69.3961,48.4179,-121.75
RIGHTLUNG,OBLIQUEFISSURE,-69.3961,63.5937,-116.75
RIGHTLUNG,OBLIQUEFISSURE,-64.3375,-50.586,-209.25
RIGHTLUNG,OBLIQUEFISSURE,-64.3375,-18.0665,-178
RIGHTLUNG,OBLIQUEFISSURE,-64.3375,9.39446,-141.75
RIGHTLUNG,OBLIQUEFISSURE,-64.3375,18.0663,-133
RIGHTLUNG,OBLIQUEFISSURE,-64.3375,48.4179,-119.875
RIGHTLUNG,OBLIQUEFISSURE,-64.3375,62.871,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8336,-53.4766,-215.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8336,-22.4024,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8336,-6.4e-005,-158.625
RIGHTLUNG,OBLIQUEFISSURE,-57.8336,15.8984,-131.75
RIGHTLUNG,OBLIQUEFISSURE,-57.8336,44.082,-117.375
RIGHTLUNG,OBLIQUEFISSURE,-57.8336,67.2069,-113
