Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-131.388,-194.314,-248
RIGHTLUNG,OBLIQUEFISSURE,-131.388,-167.654,-228.5
RIGHTLUNG,OBLIQUEFISSURE,-131.388,-133.474,-200.5
RIGHTLUNG,OBLIQUEFISSURE,-131.388,-115.701,-189.5
RIGHTLUNG,OBLIQUEFISSURE,-131.388,-104.08,-189
RIGHTLUNG,OBLIQUEFISSURE,-138.908,-198.416,-253.5
RIGHTLUNG,OBLIQUEFISSURE,-138.908,-156.717,-221.5
RIGHTLUNG,OBLIQUEFISSURE,-138.908,-133.474,-202.5
RIGHTLUNG,OBLIQUEFISSURE,-138.908,-120.486,-196
RIGHTLUNG,OBLIQUEFISSURE,-125.92,-204.568,-250.5
RIGHTLUNG,OBLIQUEFISSURE,-125.92,-184.06,-239
RIGHTLUNG,OBLIQUEFISSURE,-125.92,-152.615,-216.5
RIGHTLUNG,OBLIQUEFISSURE,-125.92,-130.74,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-125.92,-107.498,-186
RIGHTLUNG,OBLIQUEFISSURE,-125.92,-94.5095,-184.5
RIGHTLUNG,OBLIQUEFISSURE,-118.4,-190.896,-242
RIGHTLUNG,OBLIQUEFISSURE,-118.4,-163.552,-224.5
RIGHTLUNG,OBLIQUEFISSURE,-118.4,-134.158,-198.5
RIGHTLUNG,OBLIQUEFISSURE,-118.4,-102.029,-184.5
RIGHTLUNG,OBLIQUEFISSURE,-118.4,-81.5212,-179
RIGHTLUNG,OBLIQUEFISSURE,-110.881,-195.681,-243
RIGHTLUNG,OBLIQUEFISSURE,-110.881,-160.135,-223
RIGHTLUNG,OBLIQUEFISSURE,-110.881,-145.095,-206
RIGHTLUNG,OBLIQUEFISSURE,-110.881,-130.056,-194.5
RIGHTLUNG,OBLIQUEFISSURE,-110.881,-99.2946,-184
RIGHTLUNG,OBLIQUEFISSURE,-110.881,-78.7868,-175.5
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-187.478,-237.5
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-161.502,-224
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-140.31,-203
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-133.474,-195
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-108.181,-183.5
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-82.8884,-177
RIGHTLUNG,OBLIQUEFISSURE,-106.779,-69.2165,-169.5
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-191.58,-239
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-158.767,-222.5
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-141.677,-205.5
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-134.842,-195
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-104.08,-181
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-77.4196,-172.5
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-65.7985,-167
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-194.314,-241
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-168.338,-227.5
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-143.045,-208.5
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-133.474,-189
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-102.029,-180
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-80.8376,-172.5
RIGHTLUNG,OBLIQUEFISSURE,-95.158,-61.0134,-165
RIGHTLUNG,OBLIQUEFISSURE,-90.3728,-170.388,-230
RIGHTLUNG,OBLIQUEFISSURE,-90.3728,-143.728,-210
RIGHTLUNG,OBLIQUEFISSURE,-90.3728,-132.107,-187
RIGHTLUNG,OBLIQUEFISSURE,-90.3728,-99.2946,-179
RIGHTLUNG,OBLIQUEFISSURE,-90.3728,-74.6853,-169
RIGHTLUNG,OBLIQUEFISSURE,-90.3728,-65.7985,-164.5
RIGHTLUNG,OBLIQUEFISSURE,-86.2712,-188.162,-238
RIGHTLUNG,OBLIQUEFISSURE,-86.2712,-149.197,-219
RIGHTLUNG,OBLIQUEFISSURE,-86.2712,-121.17,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-86.2712,-86.3064,-173
RIGHTLUNG,OBLIQUEFISSURE,-86.2712,-65.1149,-163.5
RIGHTLUNG,OBLIQUEFISSURE,-86.2712,-56.9118,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1189,-122.537,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1189,-102.029,-172
RIGHTLUNG,OBLIQUEFISSURE,-80.1189,-80.154,-167.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1189,-63.0642,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1189,-54.1774,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-73.9666,-184.06,-238
RIGHTLUNG,OBLIQUEFISSURE,-73.9666,-154.666,-222.5
RIGHTLUNG,OBLIQUEFISSURE,-73.9666,-103.396,-166
RIGHTLUNG,OBLIQUEFISSURE,-73.9666,-87.6735,-165.5
RIGHTLUNG,OBLIQUEFISSURE,-73.9666,-67.8493,-159
RIGHTLUNG,OBLIQUEFISSURE,-73.9666,-59.6462,-157
RIGHTLUNG,OBLIQUEFISSURE,-66.447,-104.08,-158
RIGHTLUNG,OBLIQUEFISSURE,-66.447,-87.6735,-160.5
RIGHTLUNG,OBLIQUEFISSURE,-66.447,-63.0642,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-60.9783,-174.49,-234
RIGHTLUNG,OBLIQUEFISSURE,-60.9783,-163.552,-226
RIGHTLUNG,OBLIQUEFISSURE,-60.9783,-154.666,-224.5
RIGHTLUNG,OBLIQUEFISSURE,-60.9783,-88.3571,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-60.9783,-74.6853,-157.5
RIGHTLUNG,OBLIQUEFISSURE,-60.9783,-61.0134,-154.5
