Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-91.5178,-198.819,-553.5
RIGHTLUNG,OBLIQUEFISSURE,-91.5178,-179.826,-536
RIGHTLUNG,OBLIQUEFISSURE,-91.5178,-153.529,-503.5
RIGHTLUNG,OBLIQUEFISSURE,-91.5178,-131.615,-488
RIGHTLUNG,OBLIQUEFISSURE,-91.5178,-100.936,-470
RIGHTLUNG,OBLIQUEFISSURE,-81.2912,-202.471,-555
RIGHTLUNG,OBLIQUEFISSURE,-81.2912,-182.748,-539
RIGHTLUNG,OBLIQUEFISSURE,-81.2912,-165.947,-522.5
RIGHTLUNG,OBLIQUEFISSURE,-81.2912,-146.955,-490
RIGHTLUNG,OBLIQUEFISSURE,-81.2912,-114.084,-476.5
RIGHTLUNG,OBLIQUEFISSURE,-81.2912,-92.9005,-459.5
RIGHTLUNG,OBLIQUEFISSURE,-84.9436,-186.401,-542.5
RIGHTLUNG,OBLIQUEFISSURE,-84.9436,-163.026,-522.5
RIGHTLUNG,OBLIQUEFISSURE,-84.9436,-138.19,-488.5
RIGHTLUNG,OBLIQUEFISSURE,-84.9436,-102.397,-468.5
RIGHTLUNG,OBLIQUEFISSURE,-76.1779,-192.244,-549
RIGHTLUNG,OBLIQUEFISSURE,-76.1779,-179.826,-536.5
RIGHTLUNG,OBLIQUEFISSURE,-73.2561,-134.537,-481
RIGHTLUNG,OBLIQUEFISSURE,-73.2561,-101.666,-466
RIGHTLUNG,OBLIQUEFISSURE,-73.2561,-87.7872,-452.5
RIGHTLUNG,OBLIQUEFISSURE,-68.1428,-190.053,-547
RIGHTLUNG,OBLIQUEFISSURE,-68.1428,-174.713,-533.5
RIGHTLUNG,OBLIQUEFISSURE,-68.1428,-121.389,-475.5
RIGHTLUNG,OBLIQUEFISSURE,-68.1428,-100.205,-464
RIGHTLUNG,OBLIQUEFISSURE,-68.1428,-89.9787,-453
RIGHTLUNG,OBLIQUEFISSURE,-61.5686,-199.549,-553.5
RIGHTLUNG,OBLIQUEFISSURE,-61.5686,-181.287,-542
RIGHTLUNG,OBLIQUEFISSURE,-61.5686,-131.615,-475.5
RIGHTLUNG,OBLIQUEFISSURE,-61.5686,-106.049,-465.5
RIGHTLUNG,OBLIQUEFISSURE,-61.5686,-87.7872,-448.5
RIGHTLUNG,OBLIQUEFISSURE,-53.5334,-198.088,-555.5
RIGHTLUNG,OBLIQUEFISSURE,-53.5334,-176.174,-540.5
RIGHTLUNG,OBLIQUEFISSURE,-53.5334,-127.233,-472.5
RIGHTLUNG,OBLIQUEFISSURE,-53.5334,-104.588,-460.5
RIGHTLUNG,OBLIQUEFISSURE,-53.5334,-88.5177,-445
LEFTLUNG,OBLIQUEFISSURE,119.588,-168.869,-523
LEFTLUNG,OBLIQUEFISSURE,119.588,-144.764,-494.5
LEFTLUNG,OBLIQUEFISSURE,119.588,-125.041,-478.5
LEFTLUNG,OBLIQUEFISSURE,112.283,-168.139,-522.5
LEFTLUNG,OBLIQUEFISSURE,112.283,-139.651,-490.5
LEFTLUNG,OBLIQUEFISSURE,112.283,-117.006,-467
LEFTLUNG,OBLIQUEFISSURE,104.248,-168.869,-522
LEFTLUNG,OBLIQUEFISSURE,104.248,-135.998,-485
LEFTLUNG,OBLIQUEFISSURE,104.248,-114.084,-455.5
LEFTLUNG,OBLIQUEFISSURE,96.9432,-166.678,-520.5
LEFTLUNG,OBLIQUEFISSURE,96.9432,-131.615,-477.5
LEFTLUNG,OBLIQUEFISSURE,96.9432,-105.319,-444
LEFTLUNG,OBLIQUEFISSURE,93.2909,-173.252,-552.5
LEFTLUNG,OBLIQUEFISSURE,93.2909,-154.99,-502.5
LEFTLUNG,OBLIQUEFISSURE,93.2909,-117.736,-452
LEFTLUNG,OBLIQUEFISSURE,123.971,-152.799,-507.5
LEFTLUNG,OBLIQUEFISSURE,123.971,-134.537,-491.5
LEFTLUNG,OBLIQUEFISSURE,123.971,-127.233,-483.5
LEFTLUNG,OBLIQUEFISSURE,119.588,-160.834,-515
LEFTLUNG,OBLIQUEFISSURE,119.588,-141.111,-494
LEFTLUNG,OBLIQUEFISSURE,119.588,-121.389,-476
LEFTLUNG,OBLIQUEFISSURE,110.822,-165.947,-520.5
LEFTLUNG,OBLIQUEFISSURE,110.822,-142.572,-493
LEFTLUNG,OBLIQUEFISSURE,110.822,-119.197,-466
LEFTLUNG,OBLIQUEFISSURE,107.9,-165.217,-515.5
LEFTLUNG,OBLIQUEFISSURE,107.9,-132.346,-482.5
LEFTLUNG,OBLIQUEFISSURE,107.9,-111.893,-457
RIGHTLUNG,OBLIQUEFISSURE,-114.893,-175.444,-535.5
RIGHTLUNG,OBLIQUEFISSURE,-114.893,-159.373,-520.5
RIGHTLUNG,OBLIQUEFISSURE,-114.893,-150.608,-510.5
RIGHTLUNG,OBLIQUEFISSURE,-114.893,-130.154,-495.5
