Region,Type,X point, Y point, Z point
LEFTSUPERIORLOBE,OBLIQUEFISSURE,137.43,-190.398,-32.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,137.43,-163.679,-5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,128.993,-203.054,-59
LEFTSUPERIORLOBE,OBLIQUEFISSURE,128.993,-185.476,-33
LEFTSUPERIORLOBE,OBLIQUEFISSURE,128.993,-162.273,-10
LEFTSUPERIORLOBE,OBLIQUEFISSURE,134.618,-195.32,-39
LEFTSUPERIORLOBE,OBLIQUEFISSURE,134.618,-182.664,-24
LEFTSUPERIORLOBE,OBLIQUEFISSURE,134.618,-154.539,-1.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,123.368,-200.945,-60.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,123.368,-184.773,-36.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,123.368,-151.023,-2
LEFTLUNG,OBLIQUEFISSURE,123.368,-127.117,24.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,114.93,-194.617,-61.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,114.93,-171.414,-22.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,114.93,-148.914,-7.5
LEFTLUNG,OBLIQUEFISSURE,114.93,-106.726,48.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,107.196,-174.929,-32
LEFTSUPERIORLOBE,OBLIQUEFISSURE,107.196,-167.195,-21
LEFTSUPERIORLOBE,OBLIQUEFISSURE,107.196,-146.804,-10.5
LEFTLUNG,OBLIQUEFISSURE,107.196,-136.961,6
LEFTLUNG,OBLIQUEFISSURE,107.196,-125.007,24.5
LEFTLUNG,OBLIQUEFISSURE,107.196,-109.539,44.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,110.008,-192.507,-64
LEFTSUPERIORLOBE,OBLIQUEFISSURE,93.1333,-183.367,-73
LEFTLUNG,OBLIQUEFISSURE,93.1333,-134.851,1
LEFTLUNG,OBLIQUEFISSURE,93.1333,-115.164,39
LEFTLUNG,OBLIQUEFISSURE,93.1333,-93.3668,65
LEFTLUNG,OBLIQUEFISSURE,93.1333,-88.4449,70.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,85.3989,-132.742,0.5
