Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-131.083,-212.276,-217
RIGHTLUNG,OBLIQUEFISSURE,-131.083,-193.087,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-131.083,-168.524,-157.5
RIGHTLUNG,OBLIQUEFISSURE,-131.083,-137.054,-129
RIGHTLUNG,OBLIQUEFISSURE,-131.083,-120.167,-111.5
RIGHTLUNG,OBLIQUEFISSURE,-131.083,-104.048,-105
RIGHTLUNG,OBLIQUEFISSURE,-126.477,-215.346,-214
RIGHTLUNG,OBLIQUEFISSURE,-126.477,-190.784,-177
RIGHTLUNG,OBLIQUEFISSURE,-126.477,-138.589,-129
RIGHTLUNG,OBLIQUEFISSURE,-126.477,-113.259,-108
RIGHTLUNG,OBLIQUEFISSURE,-126.477,-93.3016,-97
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-224.557,-212.5
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-197.692,-182
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-165.454,-153
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-124.005,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-112.491,-106
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-90.9989,-94.5
RIGHTLUNG,OBLIQUEFISSURE,-120.337,-82.5555,-88.5
RIGHTLUNG,OBLIQUEFISSURE,-115.731,-223.79,-209
RIGHTLUNG,OBLIQUEFISSURE,-115.731,-193.087,-178
RIGHTLUNG,OBLIQUEFISSURE,-115.731,-143.962,-132
RIGHTLUNG,OBLIQUEFISSURE,-115.731,-114.026,-104
RIGHTLUNG,OBLIQUEFISSURE,-115.731,-88.6961,-90
RIGHTLUNG,OBLIQUEFISSURE,-115.731,-73.3446,-80
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-228.395,-210
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-206.903,-194
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-193.854,-177.5
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-150.102,-138
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-114.026,-104
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-84.8582,-88
RIGHTLUNG,OBLIQUEFISSURE,-111.126,-68.7391,-75
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-231.466,-212
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-203.065,-190.5
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-183.108,-167.5
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-141.659,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-114.026,-103
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-87.161,-88
RIGHTLUNG,OBLIQUEFISSURE,-105.753,-63.366,-70
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-231.466,-213
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-215.346,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-186.179,-169
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-145.497,-135
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-117.097,-104.5
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-85.6258,-86
RIGHTLUNG,OBLIQUEFISSURE,-101.147,-59.5282,-64
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-226.86,-209.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-212.276,-198
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-190.016,-172.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-149.335,-138.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-116.329,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-82.5555,-83.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3094,-56.4578,-59
RIGHTLUNG,OBLIQUEFISSURE,-92.7039,-219.952,-204.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7039,-195.389,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7039,-150.102,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7039,-117.097,-103.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7039,-82.5555,-81.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7039,-51.8524,-54
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-217.649,-202
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-202.298,-185
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-174.665,-159
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-142.427,-130
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-117.864,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-80.2528,-77
RIGHTLUNG,OBLIQUEFISSURE,-88.0984,-54.1551,-53.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-46.4793,-48.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-77.1825,-76.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-116.329,-101.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-219.952,-201
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-188.481,-168.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-163.151,-151
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-203.065,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-139.356,-129.5
RIGHTLUNG,OBLIQUEFISSURE,-84.2605,-104.815,-95.5
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-222.255,-202
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-209.206,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-182.341,-165
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-152.405,-141
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-119.399,-103
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-77.1825,-74
RIGHTLUNG,OBLIQUEFISSURE,-78.8875,-50.3172,-49.5
RIGHTLUNG,OBLIQUEFISSURE,-75.0496,-213.044,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-75.0496,-183.108,-165
RIGHTLUNG,OBLIQUEFISSURE,-75.0496,-150.102,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-75.0496,-120.167,-103
RIGHTLUNG,OBLIQUEFISSURE,-75.0496,-80.2528,-75.5
RIGHTLUNG,OBLIQUEFISSURE,-71.2117,-211.509,-191.5
RIGHTLUNG,OBLIQUEFISSURE,-71.2117,-185.411,-165.5
RIGHTLUNG,OBLIQUEFISSURE,-71.2117,-147.8,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-71.2117,-121.702,-103.5
RIGHTLUNG,OBLIQUEFISSURE,-71.2117,-87.161,-81
RIGHTLUNG,OBLIQUEFISSURE,-71.2117,-43.409,-42.5
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-213.811,-190
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-186.946,-165.5
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-147.8,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-132.448,-114
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-124.772,-103
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-82.5555,-74.5
RIGHTLUNG,OBLIQUEFISSURE,-65.8387,-41.8739,-40
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-211.509,-189
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-171.595,-158
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-143.962,-132
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-127.075,-105
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-89.4637,-77.5
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-64.1336,-58.5
RIGHTLUNG,OBLIQUEFISSURE,-60.4656,-41.8739,-39.5
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-207.671,-184.5
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-174.665,-159
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-143.962,-133
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-133.216,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-104.815,-84
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-71.8094,-61.5
RIGHTLUNG,OBLIQUEFISSURE,-56.6277,-44.9442,-38.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-203.833,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-166.989,-154.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-152.405,-142
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-143.962,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-128.61,-100.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-96.3719,-75.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-67.9715,-57.5
RIGHTLUNG,OBLIQUEFISSURE,-52.0223,-45.7118,-38
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-205.368,-181
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-171.595,-157
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-155.475,-145.5
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-127.075,-96
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-88.6961,-69.5
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-61.8309,-49
RIGHTLUNG,OBLIQUEFISSURE,-47.4168,-46.4793,-39.5
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-130.145,-93
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-100.21,-71.5
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-71.0418,-56.5
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-48.7821,-36.5
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-196.925,-175
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-170.059,-155
RIGHTLUNG,OBLIQUEFISSURE,-42.8113,-148.567,-142.5
RIGHTLUNG,OBLIQUEFISSURE,-37.4383,-129.378,-87.5
RIGHTLUNG,OBLIQUEFISSURE,-37.4383,-133.983,-88
RIGHTLUNG,OBLIQUEFISSURE,-37.4383,-120.934,-84
RIGHTLUNG,OBLIQUEFISSURE,-37.4383,-97.9071,-70.5
RIGHTLUNG,OBLIQUEFISSURE,-37.4383,-76.4149,-57
RIGHTLUNG,OBLIQUEFISSURE,-37.4383,-55.6903,-40
RIGHTLUNG,OBLIQUEFISSURE,-38.2059,-198.46,-177
RIGHTLUNG,OBLIQUEFISSURE,-38.2059,-173.13,-160.5
RIGHTLUNG,OBLIQUEFISSURE,-38.2059,-157.011,-146
RIGHTLUNG,OBLIQUEFISSURE,-33.6004,-173.897,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-33.6004,-159.313,-148
RIGHTLUNG,OBLIQUEFISSURE,-33.6004,-153.173,-144
RIGHTLUNG,OBLIQUEFISSURE,-29.7625,-164.686,-151
RIGHTLUNG,OBLIQUEFISSURE,-29.7625,-157.011,-145.5
RIGHTLUNG,OBLIQUEFISSURE,-25.157,-119.399,-76.5
RIGHTLUNG,OBLIQUEFISSURE,-25.157,-102.513,-64
RIGHTLUNG,OBLIQUEFISSURE,-25.157,-82.5555,-52
RIGHTLUNG,OBLIQUEFISSURE,-25.157,-64.1336,-39.5
RIGHTLUNG,OBLIQUEFISSURE,-19.784,-120.167,-70.5
RIGHTLUNG,OBLIQUEFISSURE,-19.784,-94.0692,-54
RIGHTLUNG,OBLIQUEFISSURE,-19.784,-71.8094,-40.5
RIGHTLUNG,OBLIQUEFISSURE,-10.5731,-122.47,-55.5
RIGHTLUNG,OBLIQUEFISSURE,-10.5731,-110.188,-55
RIGHTLUNG,OBLIQUEFISSURE,-10.5731,-100.21,-49
RIGHTLUNG,OBLIQUEFISSURE,-10.5731,-92.534,-46.5
RIGHTLUNG,OBLIQUEFISSURE,-7.50275,-124.005,-51
RIGHTLUNG,OBLIQUEFISSURE,-7.50275,-113.259,-51
RIGHTLUNG,OBLIQUEFISSURE,-7.50275,-103.28,-46.5
RIGHTLUNG,OBLIQUEFISSURE,-7.50275,-95.6043,-46
RIGHTLUNG,OBLIQUEFISSURE,-5.20001,-121.702,-46.5
RIGHTLUNG,OBLIQUEFISSURE,-5.20001,-111.723,-48
RIGHTLUNG,OBLIQUEFISSURE,-5.20001,-104.815,-44
RIGHTLUNG,OBLIQUEFISSURE,-5.20001,-100.977,-44
RIGHTLUNG,OBLIQUEFISSURE,-2.1297,-117.097,-44
RIGHTLUNG,OBLIQUEFISSURE,-2.1297,-107.886,-41.5
LEFTLUNG,OBLIQUEFISSURE,159.062,-201.53,-233.5
LEFTLUNG,OBLIQUEFISSURE,159.062,-194.622,-219
LEFTLUNG,OBLIQUEFISSURE,159.062,-190.784,-180
LEFTLUNG,OBLIQUEFISSURE,159.062,-175.432,-160
LEFTLUNG,OBLIQUEFISSURE,159.062,-153.94,-143.5
UNDEFINEDREGION,UNDEFINEDTYPE,159.062,-138.589,-139
LEFTLUNG,OBLIQUEFISSURE,152.921,-204.6,-235
LEFTLUNG,OBLIQUEFISSURE,152.921,-196.925,-216.5
LEFTLUNG,OBLIQUEFISSURE,152.921,-188.481,-176
LEFTLUNG,OBLIQUEFISSURE,152.921,-160.081,-146.5
LEFTLUNG,OBLIQUEFISSURE,152.921,-140.891,-133.5
LEFTLUNG,OBLIQUEFISSURE,152.921,-121.702,-124.5
LEFTLUNG,OBLIQUEFISSURE,145.245,-210.741,-233.5
LEFTLUNG,OBLIQUEFISSURE,145.245,-202.298,-223
LEFTLUNG,OBLIQUEFISSURE,145.245,-193.854,-188.5
LEFTLUNG,OBLIQUEFISSURE,145.245,-160.081,-147
LEFTLUNG,OBLIQUEFISSURE,145.245,-124.005,-123.5
LEFTLUNG,OBLIQUEFISSURE,145.245,-95.6043,-99.5
LEFTLUNG,OBLIQUEFISSURE,139.872,-212.276,-229
LEFTLUNG,OBLIQUEFISSURE,139.872,-202.298,-213
LEFTLUNG,OBLIQUEFISSURE,139.872,-185.411,-174
LEFTLUNG,OBLIQUEFISSURE,139.872,-163.151,-147
LEFTLUNG,OBLIQUEFISSURE,139.872,-117.864,-114.5
LEFTLUNG,OBLIQUEFISSURE,139.872,-90.9989,-92.5
LEFTLUNG,OBLIQUEFISSURE,133.732,-210.741,-222
LEFTLUNG,OBLIQUEFISSURE,133.732,-195.389,-198
LEFTLUNG,OBLIQUEFISSURE,133.732,-166.221,-150
LEFTLUNG,OBLIQUEFISSURE,133.732,-130.145,-122.5
LEFTLUNG,OBLIQUEFISSURE,133.732,-84.0907,-83.5
LEFTLUNG,OBLIQUEFISSURE,129.126,-206.136,-218
LEFTLUNG,OBLIQUEFISSURE,129.126,-194.622,-195.5
LEFTLUNG,OBLIQUEFISSURE,129.126,-169.292,-153
LEFTLUNG,OBLIQUEFISSURE,129.126,-133.216,-123
LEFTLUNG,OBLIQUEFISSURE,129.126,-102.513,-97.5
LEFTLUNG,OBLIQUEFISSURE,129.126,-76.4149,-75
LEFTLUNG,OBLIQUEFISSURE,123.753,-205.368,-217
LEFTLUNG,OBLIQUEFISSURE,123.753,-193.087,-195
LEFTLUNG,OBLIQUEFISSURE,123.753,-170.827,-154.5
LEFTLUNG,OBLIQUEFISSURE,123.753,-145.497,-132
LEFTLUNG,OBLIQUEFISSURE,123.753,-116.329,-107.5
LEFTLUNG,OBLIQUEFISSURE,123.753,-85.6258,-79.5
LEFTLUNG,OBLIQUEFISSURE,123.753,-70.2742,-67
LEFTLUNG,OBLIQUEFISSURE,119.148,-205.368,-215.5
LEFTLUNG,OBLIQUEFISSURE,119.148,-192.319,-193.5
LEFTLUNG,OBLIQUEFISSURE,119.148,-157.778,-144
LEFTLUNG,OBLIQUEFISSURE,119.148,-135.518,-122
LEFTLUNG,OBLIQUEFISSURE,119.148,-93.3016,-86
LEFTLUNG,OBLIQUEFISSURE,119.148,-65.6688,-62.5
LEFTLUNG,OBLIQUEFISSURE,113.007,-199.995,-210.5
LEFTLUNG,OBLIQUEFISSURE,113.007,-185.411,-183.5
LEFTLUNG,OBLIQUEFISSURE,113.007,-150.102,-134
LEFTLUNG,OBLIQUEFISSURE,113.007,-124.005,-110
LEFTLUNG,OBLIQUEFISSURE,113.007,-90.9989,-80
LEFTLUNG,OBLIQUEFISSURE,113.007,-60.2957,-54.5
LEFTLUNG,OBLIQUEFISSURE,107.634,-198.46,-208
LEFTLUNG,OBLIQUEFISSURE,107.634,-182.341,-181.5
LEFTLUNG,OBLIQUEFISSURE,107.634,-154.708,-143
LEFTLUNG,OBLIQUEFISSURE,107.634,-114.794,-99
LEFTLUNG,OBLIQUEFISSURE,107.634,-77.95,-68
LEFTLUNG,OBLIQUEFISSURE,107.634,-59.5282,-50.5
LEFTLUNG,OBLIQUEFISSURE,99.9582,-190.784,-197
LEFTLUNG,OBLIQUEFISSURE,99.9582,-161.616,-154.5
