Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-120.185,-177.224,1062
RIGHTLUNG,OBLIQUEFISSURE,-120.185,-145.779,1099
RIGHTLUNG,OBLIQUEFISSURE,-120.185,-128.006,1121.5
RIGHTLUNG,OBLIQUEFISSURE,-120.185,-99.2946,1134.5
RIGHTLUNG,OBLIQUEFISSURE,-115.4,-184.06,1051
RIGHTLUNG,OBLIQUEFISSURE,-115.4,-153.299,1092
RIGHTLUNG,OBLIQUEFISSURE,-115.4,-125.955,1124
RIGHTLUNG,OBLIQUEFISSURE,-115.4,-103.396,1135.5
RIGHTLUNG,OBLIQUEFISSURE,-110.615,-196.365,1029
RIGHTLUNG,OBLIQUEFISSURE,-110.615,-175.857,1065
RIGHTLUNG,OBLIQUEFISSURE,-110.615,-139.627,1110
RIGHTLUNG,OBLIQUEFISSURE,-110.615,-115.701,1132.5
RIGHTLUNG,OBLIQUEFISSURE,-110.615,-86.9899,1143
RIGHTLUNG,OBLIQUEFISSURE,-105.83,-187.478,1048
RIGHTLUNG,OBLIQUEFISSURE,-105.83,-153.299,1094
RIGHTLUNG,OBLIQUEFISSURE,-105.83,-118.435,1132
RIGHTLUNG,OBLIQUEFISSURE,-105.83,-83.572,1145
RIGHTLUNG,OBLIQUEFISSURE,-101.045,-194.998,1035
RIGHTLUNG,OBLIQUEFISSURE,-101.045,-171.072,1070.5
RIGHTLUNG,OBLIQUEFISSURE,-101.045,-134.842,1117.5
RIGHTLUNG,OBLIQUEFISSURE,-101.045,-109.549,1138
RIGHTLUNG,OBLIQUEFISSURE,-101.045,-77.4196,1148.5
RIGHTLUNG,OBLIQUEFISSURE,-96.2595,-182.693,1056
RIGHTLUNG,OBLIQUEFISSURE,-96.2595,-150.564,1095.5
RIGHTLUNG,OBLIQUEFISSURE,-96.2595,-126.638,1130
RIGHTLUNG,OBLIQUEFISSURE,-96.2595,-102.713,1141
