Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-109.545,-211.654,-966
RIGHTLUNG,OBLIQUEFISSURE,-109.545,-194.854,-954.5
RIGHTLUNG,OBLIQUEFISSURE,-109.545,-182.436,-945.5
RIGHTLUNG,OBLIQUEFISSURE,-109.545,-172.94,-938.5
RIGHTLUNG,OBLIQUEFISSURE,-109.545,-156.139,-933.5
RIGHTLUNG,OBLIQUEFISSURE,-109.545,-144.451,-933.5
RIGHTLUNG,OBLIQUEFISSURE,-105.162,-210.924,-968.5
RIGHTLUNG,OBLIQUEFISSURE,-105.162,-189.01,-952.5
RIGHTLUNG,OBLIQUEFISSURE,-105.162,-175.131,-940.5
RIGHTLUNG,OBLIQUEFISSURE,-105.162,-147.373,-933.5
RIGHTLUNG,OBLIQUEFISSURE,-105.162,-130.572,-930.5
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-222.612,-975
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-203.619,-967.5
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-183.897,-951
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-171.479,-941.5
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-155.408,-937.5
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-137.147,-931
RIGHTLUNG,OBLIQUEFISSURE,-100.78,-122.537,-928
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-229.186,-980.5
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-205.811,-971
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-186.088,-956
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-172.209,-943
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-153.947,-938
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-134.955,-930.5
RIGHTLUNG,OBLIQUEFISSURE,-95.6662,-115.233,-925
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-232.108,-986.5
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-205.811,-974
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-187.549,-961
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-169.287,-944
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-156.869,-942
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-139.338,-933
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-118.885,-925
RIGHTLUNG,OBLIQUEFISSURE,-90.5529,-110.85,-924
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-233.569,-991
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-199.967,-971.5
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-173.67,-952
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-166.365,-944.5
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-153.947,-942.5
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-142.26,-935
RIGHTLUNG,OBLIQUEFISSURE,-86.1701,-125.459,-926.5
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-126.92,-924.5
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-114.502,-911
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-105.736,-906.5
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-97.7013,-902
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-240.143,-1008
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-223.342,-993
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-195.584,-977.5
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-175.131,-959
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-163.444,-948
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-140.799,-932
RIGHTLUNG,OBLIQUEFISSURE,-75.9436,-122.537,-919.5
RIGHTLUNG,OBLIQUEFISSURE,-70.8303,-239.412,-1024.5
RIGHTLUNG,OBLIQUEFISSURE,-70.8303,-227.725,-999
RIGHTLUNG,OBLIQUEFISSURE,-70.8303,-201.428,-984.5
