Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-118.603,-141.615,-441.5
RIGHTLUNG,OBLIQUEFISSURE,-118.603,-129.994,-426.5
RIGHTLUNG,OBLIQUEFISSURE,-118.603,-123.158,-416
RIGHTLUNG,OBLIQUEFISSURE,-118.603,-98.5486,-400.5
RIGHTLUNG,OBLIQUEFISSURE,-118.603,-82.1423,-388
RIGHTLUNG,OBLIQUEFISSURE,-111.084,-150.502,-459
RIGHTLUNG,OBLIQUEFISSURE,-111.084,-137.513,-439
RIGHTLUNG,OBLIQUEFISSURE,-111.084,-121.791,-415
RIGHTLUNG,OBLIQUEFISSURE,-111.084,-93.7634,-396
RIGHTLUNG,OBLIQUEFISSURE,-111.084,-70.5212,-375
RIGHTLUNG,OBLIQUEFISSURE,-102.197,-157.338,-469.5
RIGHTLUNG,OBLIQUEFISSURE,-102.197,-138.881,-442.5
RIGHTLUNG,OBLIQUEFISSURE,-102.197,-117.689,-412
RIGHTLUNG,OBLIQUEFISSURE,-102.197,-85.5603,-388
RIGHTLUNG,OBLIQUEFISSURE,-102.197,-63.6853,-369.5
RIGHTLUNG,OBLIQUEFISSURE,-93.9939,-162.806,-485
RIGHTLUNG,OBLIQUEFISSURE,-93.9939,-150.502,-462
RIGHTLUNG,OBLIQUEFISSURE,-93.9939,-127.26,-430
RIGHTLUNG,OBLIQUEFISSURE,-93.9939,-90.3454,-391.5
RIGHTLUNG,OBLIQUEFISSURE,-93.9939,-56.8493,-360
RIGHTLUNG,OBLIQUEFISSURE,-84.4236,-164.174,-493
RIGHTLUNG,OBLIQUEFISSURE,-84.4236,-146.4,-459.5
RIGHTLUNG,OBLIQUEFISSURE,-84.4236,-121.107,-422
RIGHTLUNG,OBLIQUEFISSURE,-84.4236,-88.2946,-387
RIGHTLUNG,OBLIQUEFISSURE,-84.4236,-60.9509,-362.5
RIGHTLUNG,OBLIQUEFISSURE,-76.9041,-165.541,-496
RIGHTLUNG,OBLIQUEFISSURE,-76.9041,-151.869,-468.5
RIGHTLUNG,OBLIQUEFISSURE,-76.9041,-125.892,-427.5
RIGHTLUNG,OBLIQUEFISSURE,-76.9041,-85.5603,-385
RIGHTLUNG,OBLIQUEFISSURE,-76.9041,-56.1657,-357
RIGHTLUNG,OBLIQUEFISSURE,-68.0173,-161.439,-492
RIGHTLUNG,OBLIQUEFISSURE,-68.0173,-147.767,-462
