Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,115.138,-158.584,2.5
LEFTLUNG,OBLIQUEFISSURE,115.138,-151.221,10.5
LEFTLUNG,OBLIQUEFISSURE,115.138,-142.725,19
LEFTLUNG,OBLIQUEFISSURE,110.041,-176.709,-29.5
LEFTLUNG,OBLIQUEFISSURE,110.041,-156.319,6
LEFTLUNG,OBLIQUEFISSURE,110.041,-138.194,26
LEFTLUNG,OBLIQUEFISSURE,110.041,-125.733,44.5
LEFTLUNG,OBLIQUEFISSURE,110.041,-119.502,49.5
LEFTLUNG,OBLIQUEFISSURE,100.412,-184.073,-40
LEFTLUNG,OBLIQUEFISSURE,100.412,-168.213,-18.5
LEFTLUNG,OBLIQUEFISSURE,100.412,-154.053,8.5
LEFTLUNG,OBLIQUEFISSURE,100.412,-132.53,33
LEFTLUNG,OBLIQUEFISSURE,100.412,-118.936,54.5
LEFTLUNG,OBLIQUEFISSURE,100.412,-114.971,63.5
LEFTLUNG,OBLIQUEFISSURE,100.412,-107.608,69
LEFTLUNG,OBLIQUEFISSURE,91.3493,-172.178,-28
LEFTLUNG,OBLIQUEFISSURE,91.3493,-162.549,-11
LEFTLUNG,OBLIQUEFISSURE,91.3493,-144.991,19
LEFTLUNG,OBLIQUEFISSURE,91.3493,-127.998,42
LEFTLUNG,OBLIQUEFISSURE,91.3493,-116.67,62
LEFTLUNG,OBLIQUEFISSURE,91.3493,-101.944,80
LEFTLUNG,OBLIQUEFISSURE,81.154,-129.131,34.5
LEFTLUNG,OBLIQUEFISSURE,81.154,-120.635,53
LEFTLUNG,OBLIQUEFISSURE,81.154,-110.44,71.5
LEFTLUNG,OBLIQUEFISSURE,81.154,-98.5452,84
LEFTLUNG,OBLIQUEFISSURE,81.154,-97.4124,87
LEFTLUNG,OBLIQUEFISSURE,72.6579,-126.299,40
LEFTLUNG,OBLIQUEFISSURE,72.6579,-123.467,50.5
LEFTLUNG,OBLIQUEFISSURE,72.6579,-110.44,71.5
LEFTLUNG,OBLIQUEFISSURE,72.6579,-101.377,81.5
LEFTLUNG,OBLIQUEFISSURE,72.6579,-95.1468,90.5
LEFTLUNG,OBLIQUEFISSURE,63.029,-127.998,44.5
LEFTLUNG,OBLIQUEFISSURE,63.029,-114.405,64.5
LEFTLUNG,OBLIQUEFISSURE,63.029,-102.51,80.5
LEFTLUNG,OBLIQUEFISSURE,63.029,-96.2796,89.5
LEFTLUNG,OBLIQUEFISSURE,63.029,-92.3148,98.5
LEFTLUNG,OBLIQUEFISSURE,50.5681,-121.768,66
LEFTLUNG,OBLIQUEFISSURE,50.5681,-109.307,73.5
LEFTLUNG,OBLIQUEFISSURE,50.5681,-97.4124,86.5
LEFTLUNG,OBLIQUEFISSURE,50.5681,-94.5804,96.5
LEFTLUNG,OBLIQUEFISSURE,40.9392,-129.698,68.5
LEFTLUNG,OBLIQUEFISSURE,40.9392,-128.565,69
LEFTLUNG,OBLIQUEFISSURE,40.9392,-107.608,77.5
LEFTLUNG,OBLIQUEFISSURE,40.9392,-102.51,83.5
LEFTLUNG,OBLIQUEFISSURE,40.9392,-99.1116,95.5
UNDEFINEDREGION,UNDEFINEDTYPE,31.3103,-108.174,79
LEFTLUNG,OBLIQUEFISSURE,31.3103,-103.643,89.5
LEFTLUNG,OBLIQUEFISSURE,31.3103,-100.244,96.5
LEFTLUNG,OBLIQUEFISSURE,26.779,-105.342,84
LEFTLUNG,OBLIQUEFISSURE,26.779,-104.776,91
RIGHTLUNG,OBLIQUEFISSURE,-100.662,-158.584,-32
RIGHTLUNG,OBLIQUEFISSURE,-100.662,-139.893,-12.5
RIGHTLUNG,OBLIQUEFISSURE,-100.662,-123.467,-2.5
RIGHTLUNG,OBLIQUEFISSURE,-94.4319,-168.78,-34.5
RIGHTLUNG,OBLIQUEFISSURE,-94.4319,-136.494,-7
RIGHTLUNG,OBLIQUEFISSURE,-94.4319,-109.873,15.5
RIGHTLUNG,OBLIQUEFISSURE,-94.4319,-103.643,20.5
RIGHTLUNG,OBLIQUEFISSURE,-88.7678,-164.248,-27.5
RIGHTLUNG,OBLIQUEFISSURE,-88.7678,-134.229,1
RIGHTLUNG,OBLIQUEFISSURE,-88.7678,-107.608,23.5
RIGHTLUNG,OBLIQUEFISSURE,-88.7678,-90.6155,39
RIGHTLUNG,OBLIQUEFISSURE,-75.7405,-164.248,-24
RIGHTLUNG,OBLIQUEFISSURE,-75.7405,-136.494,-2.5
RIGHTLUNG,OBLIQUEFISSURE,-75.7405,-112.705,21.5
RIGHTLUNG,OBLIQUEFISSURE,-75.7405,-89.4827,47
RIGHTLUNG,OBLIQUEFISSURE,-75.7405,-80.9866,61.5
RIGHTLUNG,OBLIQUEFISSURE,-62.1467,-163.682,-24
RIGHTLUNG,OBLIQUEFISSURE,-62.1467,-144.991,-11
RIGHTLUNG,OBLIQUEFISSURE,-62.1467,-111.573,19
RIGHTLUNG,OBLIQUEFISSURE,-62.1467,-97.4124,42.5
RIGHTLUNG,OBLIQUEFISSURE,-62.1467,-86.6507,60.5
RIGHTLUNG,OBLIQUEFISSURE,-62.1467,-75.889,76.5
RIGHTLUNG,OBLIQUEFISSURE,-53.0842,-163.116,-22.5
RIGHTLUNG,OBLIQUEFISSURE,-53.0842,-130.83,-3.5
RIGHTLUNG,OBLIQUEFISSURE,-53.0842,-108.741,21
RIGHTLUNG,OBLIQUEFISSURE,-53.0842,-92.8812,56.5
RIGHTLUNG,OBLIQUEFISSURE,-53.0842,-74.1898,81
RIGHTLUNG,OBLIQUEFISSURE,-41.7561,-157.451,-24
RIGHTLUNG,OBLIQUEFISSURE,-41.7561,-135.928,-8.5
RIGHTLUNG,OBLIQUEFISSURE,-41.7561,-111.006,8
RIGHTLUNG,OBLIQUEFISSURE,-41.7561,-105.342,40
RIGHTLUNG,OBLIQUEFISSURE,-41.7561,-92.3148,66
RIGHTLUNG,OBLIQUEFISSURE,-41.7561,-75.3226,88.5
RIGHTLUNG,OBLIQUEFISSURE,-29.8616,-139.326,-10
RIGHTLUNG,OBLIQUEFISSURE,-29.8616,-124.033,-4
