Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-121.869,-138.494,-176
RIGHTLUNG,OBLIQUEFISSURE,-121.869,-122.088,-157
RIGHTLUNG,OBLIQUEFISSURE,-121.869,-113.201,-153
RIGHTLUNG,OBLIQUEFISSURE,-119.135,-151.482,-192
RIGHTLUNG,OBLIQUEFISSURE,-119.135,-127.556,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-119.135,-104.314,-144
RIGHTLUNG,OBLIQUEFISSURE,-114.349,-165.154,-207.5
RIGHTLUNG,OBLIQUEFISSURE,-114.349,-144.646,-183
RIGHTLUNG,OBLIQUEFISSURE,-114.349,-111.15,-148
RIGHTLUNG,OBLIQUEFISSURE,-114.349,-92.6931,-134
RIGHTLUNG,OBLIQUEFISSURE,-109.564,-170.623,-212.5
RIGHTLUNG,OBLIQUEFISSURE,-109.564,-141.228,-181
RIGHTLUNG,OBLIQUEFISSURE,-109.564,-106.365,-140
RIGHTLUNG,OBLIQUEFISSURE,-109.564,-79.7048,-123.5
RIGHTLUNG,OBLIQUEFISSURE,-102.045,-174.724,-216
RIGHTLUNG,OBLIQUEFISSURE,-102.045,-143.279,-185
RIGHTLUNG,OBLIQUEFISSURE,-102.045,-107.049,-140
RIGHTLUNG,OBLIQUEFISSURE,-102.045,-71.5017,-114.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2595,-178.826,-220
RIGHTLUNG,OBLIQUEFISSURE,-97.2595,-145.33,-189
RIGHTLUNG,OBLIQUEFISSURE,-97.2595,-111.834,-144
RIGHTLUNG,OBLIQUEFISSURE,-97.2595,-79.0212,-118
RIGHTLUNG,OBLIQUEFISSURE,-97.2595,-67.4001,-111
RIGHTLUNG,OBLIQUEFISSURE,-91.7908,-180.877,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-91.7908,-146.697,-190
RIGHTLUNG,OBLIQUEFISSURE,-91.7908,-111.834,-149
RIGHTLUNG,OBLIQUEFISSURE,-91.7908,-72.8689,-113
RIGHTLUNG,OBLIQUEFISSURE,-91.7908,-61.9313,-104.5
RIGHTLUNG,OBLIQUEFISSURE,-87.6892,-180.877,-226.5
RIGHTLUNG,OBLIQUEFISSURE,-87.6892,-90.6423,-126
RIGHTLUNG,OBLIQUEFISSURE,-87.6892,-57.1462,-99
RIGHTLUNG,OBLIQUEFISSURE,-82.2205,-174.041,-216
RIGHTLUNG,OBLIQUEFISSURE,-82.2205,-143.963,-198
RIGHTLUNG,OBLIQUEFISSURE,-82.2205,-118.67,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-82.2205,-89.2751,-123.5
RIGHTLUNG,OBLIQUEFISSURE,-82.2205,-57.8298,-98
RIGHTLUNG,OBLIQUEFISSURE,-78.1189,-166.521,-210.5
RIGHTLUNG,OBLIQUEFISSURE,-78.1189,-142.595,-198.5
RIGHTLUNG,OBLIQUEFISSURE,-78.1189,-132.342,-193
RIGHTLUNG,OBLIQUEFISSURE,-78.1189,-116.619,-164
RIGHTLUNG,OBLIQUEFISSURE,-78.1189,-91.3259,-121.5
RIGHTLUNG,OBLIQUEFISSURE,-78.1189,-55.779,-92
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-158.318,-208
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-125.506,-195
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-113.201,-168
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-99.529,-133
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-68.0837,-105
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-55.0954,-92
RIGHTLUNG,OBLIQUEFISSURE,-73.3337,-120.72,-190
RIGHTLUNG,OBLIQUEFISSURE,-69.2322,-160.369,-212
RIGHTLUNG,OBLIQUEFISSURE,-69.2322,-128.24,-198
RIGHTLUNG,OBLIQUEFISSURE,-69.2322,-96.111,-128.5
RIGHTLUNG,OBLIQUEFISSURE,-69.2322,-67.4001,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-69.2322,-54.4118,-87
RIGHTLUNG,OBLIQUEFISSURE,-65.1306,-150.799,-209.5
RIGHTLUNG,OBLIQUEFISSURE,-65.1306,-129.607,-200
RIGHTLUNG,OBLIQUEFISSURE,-65.1306,-86.5407,-118
RIGHTLUNG,OBLIQUEFISSURE,-65.1306,-62.6149,-100
RIGHTLUNG,OBLIQUEFISSURE,-65.1306,-56.4626,-84
RIGHTLUNG,OBLIQUEFISSURE,-61.029,-152.849,-209
RIGHTLUNG,OBLIQUEFISSURE,-61.029,-127.556,-199
RIGHTLUNG,OBLIQUEFISSURE,-61.029,-80.3884,-111
RIGHTLUNG,OBLIQUEFISSURE,-61.029,-57.1462,-85
RIGHTLUNG,OBLIQUEFISSURE,-61.029,-66.0329,-101
RIGHTLUNG,OBLIQUEFISSURE,-56.2439,-161.052,-215.5
RIGHTLUNG,OBLIQUEFISSURE,-56.2439,-135.76,-204.5
RIGHTLUNG,OBLIQUEFISSURE,-56.2439,-118.67,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-56.2439,-83.8064,-110.5
RIGHTLUNG,OBLIQUEFISSURE,-56.2439,-59.197,-86
RIGHTLUNG,OBLIQUEFISSURE,-56.2439,-65.3493,-98
RIGHTLUNG,OBLIQUEFISSURE,-50.7751,-147.381,-208
RIGHTLUNG,OBLIQUEFISSURE,-50.7751,-128.924,-199
RIGHTLUNG,OBLIQUEFISSURE,-50.7751,-75.6032,-106
RIGHTLUNG,OBLIQUEFISSURE,-50.7751,-65.3493,-97
RIGHTLUNG,OBLIQUEFISSURE,-50.7751,-59.197,-86.5
RIGHTLUNG,OBLIQUEFISSURE,-45.99,-74.9196,-106.5
RIGHTLUNG,OBLIQUEFISSURE,-45.99,-61.9313,-88.5
RIGHTLUNG,OBLIQUEFISSURE,-39.8376,-77.654,-111
RIGHTLUNG,OBLIQUEFISSURE,-39.8376,-65.3493,-90
RIGHTLUNG,OBLIQUEFISSURE,-30.9509,-89.2751,-115
RIGHTLUNG,OBLIQUEFISSURE,-30.9509,-71.5017,-94
RIGHTLUNG,OBLIQUEFISSURE,-26.8493,-96.7946,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-26.8493,-81.7556,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-22.7478,-96.111,-112.5
RIGHTLUNG,OBLIQUEFISSURE,-22.7478,-89.2751,-107.5
