Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-115.92,-168.197,-109
RIGHTLUNG,OBLIQUEFISSURE,-115.92,-137.435,-83
RIGHTLUNG,OBLIQUEFISSURE,-115.92,-117.611,-66
RIGHTLUNG,OBLIQUEFISSURE,-115.92,-107.357,-63.5
RIGHTLUNG,OBLIQUEFISSURE,-109.084,-171.615,-110
RIGHTLUNG,OBLIQUEFISSURE,-109.084,-146.322,-90
RIGHTLUNG,OBLIQUEFISSURE,-109.084,-115.56,-65
RIGHTLUNG,OBLIQUEFISSURE,-109.084,-97.7868,-56.5
RIGHTLUNG,OBLIQUEFISSURE,-102.248,-165.463,-105
RIGHTLUNG,OBLIQUEFISSURE,-102.248,-138.802,-82.5
RIGHTLUNG,OBLIQUEFISSURE,-102.248,-116.244,-65.5
RIGHTLUNG,OBLIQUEFISSURE,-102.248,-91.6345,-51
RIGHTLUNG,OBLIQUEFISSURE,-96.0955,-163.412,-103
RIGHTLUNG,OBLIQUEFISSURE,-96.0955,-132.65,-77.5
RIGHTLUNG,OBLIQUEFISSURE,-96.0955,-112.142,-62
RIGHTLUNG,OBLIQUEFISSURE,-96.0955,-85.4821,-47
RIGHTLUNG,OBLIQUEFISSURE,-91.9939,-166.83,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-91.9939,-136.068,-79.5
RIGHTLUNG,OBLIQUEFISSURE,-91.9939,-118.978,-66
RIGHTLUNG,OBLIQUEFISSURE,-91.9939,-92.3181,-48
RIGHTLUNG,OBLIQUEFISSURE,-91.9939,-81.3806,-44.5
RIGHTLUNG,OBLIQUEFISSURE,-85.158,-168.197,-105.5
RIGHTLUNG,OBLIQUEFISSURE,-85.158,-141.537,-85
RIGHTLUNG,OBLIQUEFISSURE,-85.158,-119.662,-64
RIGHTLUNG,OBLIQUEFISSURE,-85.158,-86.1657,-42.5
RIGHTLUNG,OBLIQUEFISSURE,-85.158,-77.9626,-39
RIGHTLUNG,OBLIQUEFISSURE,-77.6384,-168.197,-107
RIGHTLUNG,OBLIQUEFISSURE,-77.6384,-144.271,-86.5
RIGHTLUNG,OBLIQUEFISSURE,-77.6384,-126.498,-69
RIGHTLUNG,OBLIQUEFISSURE,-77.6384,-95.0524,-46
RIGHTLUNG,OBLIQUEFISSURE,-77.6384,-72.4938,-34
RIGHTLUNG,OBLIQUEFISSURE,-71.4861,-162.045,-104.5
RIGHTLUNG,OBLIQUEFISSURE,-71.4861,-144.271,-83.5
RIGHTLUNG,OBLIQUEFISSURE,-71.4861,-127.865,-67
RIGHTLUNG,OBLIQUEFISSURE,-71.4861,-88.9001,-42
RIGHTLUNG,OBLIQUEFISSURE,-71.4861,-69.7595,-29.5
RIGHTLUNG,OBLIQUEFISSURE,-65.3337,-168.197,-108
RIGHTLUNG,OBLIQUEFISSURE,-65.3337,-146.322,-89.5
RIGHTLUNG,OBLIQUEFISSURE,-65.3337,-129.916,-67.5
RIGHTLUNG,OBLIQUEFISSURE,-65.3337,-90.2673,-41.5
RIGHTLUNG,OBLIQUEFISSURE,-65.3337,-68.3923,-27
RIGHTLUNG,OBLIQUEFISSURE,-59.1814,-172.299,-112
RIGHTLUNG,OBLIQUEFISSURE,-59.1814,-147.689,-93.5
RIGHTLUNG,OBLIQUEFISSURE,-59.1814,-125.131,-62
RIGHTLUNG,OBLIQUEFISSURE,-59.1814,-86.8493,-38
RIGHTLUNG,OBLIQUEFISSURE,-59.1814,-67.0251,-23.5
RIGHTLUNG,OBLIQUEFISSURE,-54.3962,-172.299,-114.5
RIGHTLUNG,OBLIQUEFISSURE,-54.3962,-153.842,-99
RIGHTLUNG,OBLIQUEFISSURE,-54.3962,-133.334,-66
RIGHTLUNG,OBLIQUEFISSURE,-54.3962,-95.0524,-43
RIGHTLUNG,OBLIQUEFISSURE,-54.3962,-71.1267,-22.5
RIGHTLUNG,OBLIQUEFISSURE,-50.2947,-175.033,-119.5
RIGHTLUNG,OBLIQUEFISSURE,-50.2947,-156.576,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-50.2947,-134.017,-66.5
RIGHTLUNG,OBLIQUEFISSURE,-50.2947,-92.3181,-39.5
RIGHTLUNG,OBLIQUEFISSURE,-50.2947,-67.7087,-20
RIGHTLUNG,OBLIQUEFISSURE,-46.8767,-175.717,-120
RIGHTLUNG,OBLIQUEFISSURE,-46.8767,-153.158,-98.5
RIGHTLUNG,OBLIQUEFISSURE,-46.8767,-128.549,-62.5
RIGHTLUNG,OBLIQUEFISSURE,-46.8767,-86.8493,-35.5
RIGHTLUNG,OBLIQUEFISSURE,-46.8767,-67.0251,-16.5
RIGHTLUNG,OBLIQUEFISSURE,-41.408,-172.299,-116.5
RIGHTLUNG,OBLIQUEFISSURE,-41.408,-156.576,-98.5
RIGHTLUNG,OBLIQUEFISSURE,-41.408,-124.447,-60
RIGHTLUNG,OBLIQUEFISSURE,-41.408,-96.4196,-39
RIGHTLUNG,OBLIQUEFISSURE,-41.408,-71.1267,-17
RIGHTLUNG,OBLIQUEFISSURE,-37.99,-175.033,-116.5
RIGHTLUNG,OBLIQUEFISSURE,-37.99,-162.045,-100.5
RIGHTLUNG,OBLIQUEFISSURE,-37.99,-128.549,-60.5
RIGHTLUNG,OBLIQUEFISSURE,-37.99,-95.0524,-38.5
RIGHTLUNG,OBLIQUEFISSURE,-37.99,-72.4938,-17.5
RIGHTLUNG,OBLIQUEFISSURE,-33.2048,-171.615,-108.5
RIGHTLUNG,OBLIQUEFISSURE,-33.2048,-161.361,-95.5
RIGHTLUNG,OBLIQUEFISSURE,-33.2048,-126.498,-58.5
RIGHTLUNG,OBLIQUEFISSURE,-33.2048,-91.6345,-32.5
RIGHTLUNG,OBLIQUEFISSURE,-33.2048,-73.861,-15.5
RIGHTLUNG,OBLIQUEFISSURE,-27.7361,-128.549,-58
RIGHTLUNG,OBLIQUEFISSURE,-27.7361,-101.205,-38.5
RIGHTLUNG,OBLIQUEFISSURE,-27.7361,-77.279,-12.5
RIGHTLUNG,OBLIQUEFISSURE,-22.2673,-124.447,-54
RIGHTLUNG,OBLIQUEFISSURE,-22.2673,-97.1032,-31.5
RIGHTLUNG,OBLIQUEFISSURE,-22.2673,-81.3806,-11
RIGHTLUNG,OBLIQUEFISSURE,-14.7478,-123.08,-48
RIGHTLUNG,OBLIQUEFISSURE,-14.7478,-105.99,-37
RIGHTLUNG,OBLIQUEFISSURE,-14.7478,-92.3181,-15.5
RIGHTLUNG,OBLIQUEFISSURE,-10.6462,-116.244,-43
RIGHTLUNG,OBLIQUEFISSURE,-10.6462,-104.623,-28.5
RIGHTLUNG,OBLIQUEFISSURE,-10.6462,-97.1032,-17
RIGHTLUNG,OBLIQUEFISSURE,-7.22825,-112.826,-40.5
RIGHTLUNG,OBLIQUEFISSURE,-7.22825,-103.939,-24.5
RIGHTLUNG,OBLIQUEFISSURE,-4.49388,-116.927,-35.5
RIGHTLUNG,OBLIQUEFISSURE,-4.49388,-111.459,-36.5
RIGHTLUNG,OBLIQUEFISSURE,-4.49388,-105.99,-26.5
RIGHTLUNG,OBLIQUEFISSURE,-1.07591,-111.459,-30.5
RIGHTLUNG,OBLIQUEFISSURE,-1.07591,-110.092,-27.5
LEFTLUNG,OBLIQUEFISSURE,141.112,-188.021,-149.5
LEFTLUNG,OBLIQUEFISSURE,141.112,-179.135,-140
LEFTLUNG,OBLIQUEFISSURE,141.112,-168.197,-114.5
LEFTLUNG,OBLIQUEFISSURE,141.112,-155.892,-98.5
LEFTLUNG,OBLIQUEFISSURE,134.276,-185.97,-148
LEFTLUNG,OBLIQUEFISSURE,134.276,-174.349,-131
LEFTLUNG,OBLIQUEFISSURE,134.276,-159.994,-104
LEFTLUNG,OBLIQUEFISSURE,134.276,-138.119,-78
LEFTLUNG,OBLIQUEFISSURE,134.276,-133.334,-73.5
LEFTLUNG,OBLIQUEFISSURE,130.174,-182.552,-144
LEFTLUNG,OBLIQUEFISSURE,130.174,-172.982,-125
