Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-105.137,-182.894,817.5
RIGHTLUNG,OBLIQUEFISSURE,-105.137,-153.012,848
RIGHTLUNG,OBLIQUEFISSURE,-105.137,-124.887,873
RIGHTLUNG,OBLIQUEFISSURE,-105.137,-111.41,878.5
RIGHTLUNG,OBLIQUEFISSURE,-105.137,-103.793,880
RIGHTLUNG,OBLIQUEFISSURE,-99.2773,-190.512,812
RIGHTLUNG,OBLIQUEFISSURE,-99.2773,-155.941,844
RIGHTLUNG,OBLIQUEFISSURE,-99.2773,-122.543,877.5
RIGHTLUNG,OBLIQUEFISSURE,-99.2773,-107.308,882.5
RIGHTLUNG,OBLIQUEFISSURE,-99.2773,-96.1756,886
RIGHTLUNG,OBLIQUEFISSURE,-91.6601,-196.371,803.5
RIGHTLUNG,OBLIQUEFISSURE,-91.6601,-180.551,822.5
RIGHTLUNG,OBLIQUEFISSURE,-91.6601,-151.254,847.5
RIGHTLUNG,OBLIQUEFISSURE,-91.6601,-121.371,880.5
RIGHTLUNG,OBLIQUEFISSURE,-91.6601,-92.074,891
RIGHTLUNG,OBLIQUEFISSURE,-91.6601,-82.1131,891.5
RIGHTLUNG,OBLIQUEFISSURE,-86.9726,-199.887,801
RIGHTLUNG,OBLIQUEFISSURE,-86.9726,-172.933,827
RIGHTLUNG,OBLIQUEFISSURE,-86.9726,-145.98,854
RIGHTLUNG,OBLIQUEFISSURE,-86.9726,-121.371,881.5
RIGHTLUNG,OBLIQUEFISSURE,-86.9726,-102.621,888.5
RIGHTLUNG,OBLIQUEFISSURE,-86.9726,-82.699,895
RIGHTLUNG,OBLIQUEFISSURE,-80.5273,-198.715,802.5
RIGHTLUNG,OBLIQUEFISSURE,-80.5273,-171.176,827
RIGHTLUNG,OBLIQUEFISSURE,-80.5273,-150.668,846.5
RIGHTLUNG,OBLIQUEFISSURE,-80.5273,-121.957,881.5
RIGHTLUNG,OBLIQUEFISSURE,-80.5273,-102.035,891
RIGHTLUNG,OBLIQUEFISSURE,-80.5273,-72.7381,900
RIGHTLUNG,OBLIQUEFISSURE,-76.4257,-196.371,803.5
RIGHTLUNG,OBLIQUEFISSURE,-76.4257,-157.113,837.5
RIGHTLUNG,OBLIQUEFISSURE,-76.4257,-138.363,860
RIGHTLUNG,OBLIQUEFISSURE,-76.4257,-121.957,882
RIGHTLUNG,OBLIQUEFISSURE,-76.4257,-96.7615,894
RIGHTLUNG,OBLIQUEFISSURE,-76.4257,-72.7381,902
RIGHTLUNG,OBLIQUEFISSURE,-72.9101,-198.715,800.5
RIGHTLUNG,OBLIQUEFISSURE,-72.9101,-173.519,824
RIGHTLUNG,OBLIQUEFISSURE,-72.9101,-149.496,845.5
RIGHTLUNG,OBLIQUEFISSURE,-72.9101,-127.23,879
RIGHTLUNG,OBLIQUEFISSURE,-72.9101,-100.863,893.5
RIGHTLUNG,OBLIQUEFISSURE,-72.9101,-70.9803,903.5
RIGHTLUNG,OBLIQUEFISSURE,-68.8085,-188.754,807
RIGHTLUNG,OBLIQUEFISSURE,-68.8085,-162.387,830
RIGHTLUNG,OBLIQUEFISSURE,-68.8085,-140.707,858
RIGHTLUNG,OBLIQUEFISSURE,-68.8085,-125.472,879
RIGHTLUNG,OBLIQUEFISSURE,-68.8085,-90.3162,898.5
RIGHTLUNG,OBLIQUEFISSURE,-68.8085,-68.0506,906
RIGHTLUNG,OBLIQUEFISSURE,-64.7069,-169.418,823
RIGHTLUNG,OBLIQUEFISSURE,-64.7069,-146.566,847.5
RIGHTLUNG,OBLIQUEFISSURE,-64.7069,-126.644,879.5
RIGHTLUNG,OBLIQUEFISSURE,-64.7069,-89.1443,900
RIGHTLUNG,OBLIQUEFISSURE,-64.7069,-65.7068,908
RIGHTLUNG,OBLIQUEFISSURE,-60.0194,-175.277,819.5
RIGHTLUNG,OBLIQUEFISSURE,-60.0194,-167.074,826
RIGHTLUNG,OBLIQUEFISSURE,-60.0194,-127.23,877
RIGHTLUNG,OBLIQUEFISSURE,-60.0194,-116.097,889.5
RIGHTLUNG,OBLIQUEFISSURE,-60.0194,-75.6678,906.5
RIGHTLUNG,OBLIQUEFISSURE,-60.0194,-62.1912,911
