Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-125.691,-15.4688,-225.25
RIGHTLUNG,OBLIQUEFISSURE,-125.691,2.8125,-201.5
RIGHTLUNG,OBLIQUEFISSURE,-125.691,8.4375,-195.875
RIGHTLUNG,OBLIQUEFISSURE,-122.175,-23.2031,-234
RIGHTLUNG,OBLIQUEFISSURE,-122.175,-7.73438,-217.75
RIGHTLUNG,OBLIQUEFISSURE,-122.175,10.5469,-190.875
RIGHTLUNG,OBLIQUEFISSURE,-122.175,18.2813,-178.375
RIGHTLUNG,OBLIQUEFISSURE,-113.738,-19.6875,-225.25
RIGHTLUNG,OBLIQUEFISSURE,-113.738,9.84375,-182.75
RIGHTLUNG,OBLIQUEFISSURE,-113.738,31.6406,-158.375
RIGHTLUNG,OBLIQUEFISSURE,-113.738,35.1563,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-110.222,-22.5,-228.375
RIGHTLUNG,OBLIQUEFISSURE,-110.222,1.40625,-194.625
RIGHTLUNG,OBLIQUEFISSURE,-110.222,30.9375,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-110.222,43.5938,-147.125
RIGHTLUNG,OBLIQUEFISSURE,-102.488,-14.7656,-219
RIGHTLUNG,OBLIQUEFISSURE,-102.488,14.0625,-172.75
RIGHTLUNG,OBLIQUEFISSURE,-102.488,32.3438,-150.875
RIGHTLUNG,OBLIQUEFISSURE,-102.488,51.3281,-137.75
RIGHTLUNG,OBLIQUEFISSURE,-94.05,-23.2031,-226.5
RIGHTLUNG,OBLIQUEFISSURE,-94.05,5.625,-184
RIGHTLUNG,OBLIQUEFISSURE,-94.05,47.1094,-136.5
RIGHTLUNG,OBLIQUEFISSURE,-94.05,64.6875,-127.125
RIGHTLUNG,OBLIQUEFISSURE,-87.0188,-16.875,-215.875
RIGHTLUNG,OBLIQUEFISSURE,-87.0188,20.3906,-160.875
RIGHTLUNG,OBLIQUEFISSURE,-79.9875,-14.0625,-212.125
RIGHTLUNG,OBLIQUEFISSURE,-79.9875,39.375,-137.75
RIGHTLUNG,OBLIQUEFISSURE,-79.9875,75.9375,-113.375
RIGHTLUNG,OBLIQUEFISSURE,-71.55,-2.10938,-198.375
RIGHTLUNG,OBLIQUEFISSURE,-71.55,33.75,-137.125
RIGHTLUNG,OBLIQUEFISSURE,-71.55,67.5,-114.625
RIGHTLUNG,OBLIQUEFISSURE,-71.55,75.2344,-112.75
RIGHTLUNG,OBLIQUEFISSURE,-67.3313,-25.3125,-223.375
RIGHTLUNG,OBLIQUEFISSURE,-67.3313,7.03125,-186.5
RIGHTLUNG,OBLIQUEFISSURE,-67.3313,39.375,-129
RIGHTLUNG,OBLIQUEFISSURE,-67.3313,66.7969,-112.75
RIGHTLUNG,OBLIQUEFISSURE,-67.3313,80.1563,-104.625
RIGHTLUNG,OBLIQUEFISSURE,-61.7063,-29.5313,-229.625
RIGHTLUNG,OBLIQUEFISSURE,-61.7063,14.0625,-179
RIGHTLUNG,OBLIQUEFISSURE,-61.7063,28.125,-142.75
RIGHTLUNG,OBLIQUEFISSURE,-61.7063,55.5469,-115.875
RIGHTLUNG,OBLIQUEFISSURE,-61.7063,87.1875,-102.125
RIGHTLUNG,OBLIQUEFISSURE,-54.675,-14.7656,-214
RIGHTLUNG,OBLIQUEFISSURE,-54.675,11.9531,-180.875
RIGHTLUNG,OBLIQUEFISSURE,-54.675,30.2344,-135.25
RIGHTLUNG,OBLIQUEFISSURE,-54.675,59.7656,-110.25
RIGHTLUNG,OBLIQUEFISSURE,-54.675,87.1875,-100.25
RIGHTLUNG,OBLIQUEFISSURE,-47.6438,-18.9844,-219
RIGHTLUNG,OBLIQUEFISSURE,-47.6438,0.703125,-193.375
RIGHTLUNG,OBLIQUEFISSURE,-47.6438,64.6875,-105.875
RIGHTLUNG,OBLIQUEFISSURE,-47.6438,78.0469,-103.375
RIGHTLUNG,OBLIQUEFISSURE,-47.6438,85.0781,-99
RIGHTLUNG,OBLIQUEFISSURE,-44.1281,-15.4688,-215.875
RIGHTLUNG,OBLIQUEFISSURE,-44.1281,2.8125,-191.5
RIGHTLUNG,OBLIQUEFISSURE,-38.5031,-23.2031,-220.25
RIGHTLUNG,OBLIQUEFISSURE,-38.5031,-3.51563,-192.125
RIGHTLUNG,OBLIQUEFISSURE,-32.8781,-20.3906,-219
RIGHTLUNG,OBLIQUEFISSURE,-32.8781,-7.73438,-205.875
RIGHTLUNG,OBLIQUEFISSURE,-32.8781,-6.32813,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-28.6594,-6.32813,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-28.6594,-1.40625,-190.25
RIGHTLUNG,OBLIQUEFISSURE,-40.6125,-20.3906,-217.75
RIGHTLUNG,OBLIQUEFISSURE,-40.6125,-1.40625,-194
RIGHTLUNG,OBLIQUEFISSURE,-46.2375,-12.6563,-212.125
RIGHTLUNG,OBLIQUEFISSURE,-46.2375,7.03125,-187.125
RIGHTLUNG,OBLIQUEFISSURE,-46.2375,12.6563,-172.75
RIGHTLUNG,OBLIQUEFISSURE,-59.5969,29.5313,-142.125
RIGHTLUNG,OBLIQUEFISSURE,-59.5969,59.7656,-114
RIGHTLUNG,OBLIQUEFISSURE,-59.5969,78.75,-105.875
RIGHTLUNG,OBLIQUEFISSURE,-63.8156,45,-124.625
LEFTLUNG,OBLIQUEFISSURE,145.716,-22.5,-237.75
LEFTLUNG,OBLIQUEFISSURE,145.716,-7.03125,-212.75
UNDEFINEDREGION,UNDEFINEDTYPE,145.716,0.703125,-170.875
LEFTLUNG,OBLIQUEFISSURE,140.091,-25.3125,-235.25
LEFTLUNG,OBLIQUEFISSURE,140.091,-7.73438,-202.125
LEFTLUNG,OBLIQUEFISSURE,140.091,9.14063,-151.5
LEFTLUNG,OBLIQUEFISSURE,140.091,19.6875,-134.625
LEFTLUNG,OBLIQUEFISSURE,133.059,-31.6406,-241.5
LEFTLUNG,OBLIQUEFISSURE,133.059,-9.14063,-199.625
LEFTLUNG,OBLIQUEFISSURE,133.059,4.21875,-160.25
LEFTLUNG,OBLIQUEFISSURE,133.059,28.8281,-108.375
LEFTLUNG,OBLIQUEFISSURE,128.841,-19.6875,-220.25
LEFTLUNG,OBLIQUEFISSURE,128.841,-8.4375,-192.125
LEFTLUNG,OBLIQUEFISSURE,128.841,-2.8125,-167.125
LEFTLUNG,OBLIQUEFISSURE,128.841,23.2031,-119.625
LEFTLUNG,OBLIQUEFISSURE,128.841,35.8594,-87.75
LEFTLUNG,OBLIQUEFISSURE,121.809,-21.7969,-221.5
LEFTLUNG,OBLIQUEFISSURE,121.809,-9.84375,-197.75
LEFTLUNG,OBLIQUEFISSURE,121.809,2.10938,-159.625
LEFTLUNG,OBLIQUEFISSURE,121.809,27.4219,-102.125
LEFTLUNG,OBLIQUEFISSURE,115.481,-18.2813,-221.5
LEFTLUNG,OBLIQUEFISSURE,115.481,-4.21875,-178.375
LEFTLUNG,OBLIQUEFISSURE,115.481,17.5781,-124.625
LEFTLUNG,OBLIQUEFISSURE,115.481,40.7813,-67.75
LEFTLUNG,OBLIQUEFISSURE,109.153,-11.25,-215.875
