Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-110.391,-37.9688,-156.875
RIGHTLUNG,OBLIQUEFISSURE,-110.391,-7.73438,-125.625
RIGHTLUNG,OBLIQUEFISSURE,-110.391,14.7656,-103.75
RIGHTLUNG,OBLIQUEFISSURE,-106.875,-45.7031,-171.875
RIGHTLUNG,OBLIQUEFISSURE,-106.875,-22.5,-138.125
RIGHTLUNG,OBLIQUEFISSURE,-106.875,8.4375,-108.125
RIGHTLUNG,OBLIQUEFISSURE,-106.875,20.3906,-96.875
RIGHTLUNG,OBLIQUEFISSURE,-99.1406,-40.7813,-165
RIGHTLUNG,OBLIQUEFISSURE,-99.1406,-13.3594,-128.75
RIGHTLUNG,OBLIQUEFISSURE,-99.1406,-49.9219,-186.25
RIGHTLUNG,OBLIQUEFISSURE,-99.1406,26.7188,-91.25
RIGHTLUNG,OBLIQUEFISSURE,-91.4063,-49.9219,-189.375
RIGHTLUNG,OBLIQUEFISSURE,-91.4063,-25.3125,-146.25
RIGHTLUNG,OBLIQUEFISSURE,-91.4063,18.9844,-97.5
RIGHTLUNG,OBLIQUEFISSURE,-91.4063,33.75,-81.25
RIGHTLUNG,OBLIQUEFISSURE,-84.375,-50.625,-193.125
RIGHTLUNG,OBLIQUEFISSURE,-84.375,-21.7969,-146.25
RIGHTLUNG,OBLIQUEFISSURE,-84.375,17.5781,-99.375
RIGHTLUNG,OBLIQUEFISSURE,-77.3438,-50.625,-198.125
RIGHTLUNG,OBLIQUEFISSURE,-77.3438,-27.4219,-157.5
RIGHTLUNG,OBLIQUEFISSURE,-77.3438,5.625,-108.125
RIGHTLUNG,OBLIQUEFISSURE,-77.3438,36.5625,-75.625
RIGHTLUNG,OBLIQUEFISSURE,-69.6094,-45,-190
RIGHTLUNG,OBLIQUEFISSURE,-69.6094,-14.0625,-139.375
RIGHTLUNG,OBLIQUEFISSURE,-69.6094,40.0781,-70.625
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,-40.0781,-183.125
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,3.51563,-110
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,40.7813,-69.375
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,-41.4844,-190
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,-23.9063,-166.875
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,4.92188,-109.375
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,34.4531,-73.75
RIGHTLUNG,OBLIQUEFISSURE,-45,-37.2656,-185
RIGHTLUNG,OBLIQUEFISSURE,-45,-19.6875,-163.75
RIGHTLUNG,OBLIQUEFISSURE,-45,13.3594,-97.5
RIGHTLUNG,OBLIQUEFISSURE,-45,35.8594,-70.625
RIGHTLUNG,OBLIQUEFISSURE,-40.7813,15.4688,-94.375
RIGHTLUNG,OBLIQUEFISSURE,-40.7813,31.6406,-76.25
RIGHTLUNG,OBLIQUEFISSURE,-37.2656,4.92188,-100.625
RIGHTLUNG,OBLIQUEFISSURE,-37.2656,25.3125,-80.625
RIGHTLUNG,OBLIQUEFISSURE,-30.2344,10.5469,-95
RIGHTLUNG,OBLIQUEFISSURE,-30.2344,27.4219,-71.25
RIGHTLUNG,OBLIQUEFISSURE,-30.2344,32.3438,-58.75
RIGHTLUNG,OBLIQUEFISSURE,-24.6094,7.73438,-93.75
RIGHTLUNG,OBLIQUEFISSURE,-24.6094,18.9844,-83.75
RIGHTLUNG,OBLIQUEFISSURE,-21.0938,9.14063,-90
RIGHTLUNG,OBLIQUEFISSURE,-21.0938,16.875,-83.75
RIGHTLUNG,OBLIQUEFISSURE,-17.5781,5.625,-89.375
RIGHTLUNG,OBLIQUEFISSURE,-17.5781,14.0625,-83.75
RIGHTLUNG,OBLIQUEFISSURE,-39.375,-18.9844,-175
LEFTLUNG,OBLIQUEFISSURE,108.984,-27.4219,-137.5
LEFTLUNG,OBLIQUEFISSURE,108.984,-4.21875,-116.875
LEFTLUNG,OBLIQUEFISSURE,105.469,-35.8594,-147.5
LEFTLUNG,OBLIQUEFISSURE,105.469,-7.73438,-121.25
LEFTLUNG,OBLIQUEFISSURE,98.4375,-45,-156.25
LEFTLUNG,OBLIQUEFISSURE,98.4375,9.84375,-105.625
LEFTLUNG,OBLIQUEFISSURE,94.2188,-50.625,-170
LEFTLUNG,OBLIQUEFISSURE,94.2188,0,-115
LEFTLUNG,OBLIQUEFISSURE,94.2188,27.4219,-87.5
LEFTLUNG,OBLIQUEFISSURE,87.1875,-56.25,-181.25
LEFTLUNG,OBLIQUEFISSURE,87.1875,-21.0938,-136.875
LEFTLUNG,OBLIQUEFISSURE,87.1875,28.125,-89.375
LEFTLUNG,OBLIQUEFISSURE,79.4531,-52.0313,-183.125
LEFTLUNG,OBLIQUEFISSURE,79.4531,-26.7188,-146.25
LEFTLUNG,OBLIQUEFISSURE,79.4531,25.3125,-91.875
LEFTLUNG,OBLIQUEFISSURE,74.5313,-34.4531,-161.25
LEFTLUNG,OBLIQUEFISSURE,74.5313,-4.92188,-125
LEFTLUNG,OBLIQUEFISSURE,74.5313,33.75,-80
LEFTLUNG,OBLIQUEFISSURE,68.9063,-33.75,-174.375
LEFTLUNG,OBLIQUEFISSURE,68.9063,-11.9531,-140
