Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-118.83,-136.646,-452
RIGHTLUNG,OBLIQUEFISSURE,-118.83,-109.662,-428.5
RIGHTLUNG,OBLIQUEFISSURE,-115.763,-124.994,-438.5
RIGHTLUNG,OBLIQUEFISSURE,-115.763,-104.142,-420
RIGHTLUNG,OBLIQUEFISSURE,-112.697,-149.525,-461.5
RIGHTLUNG,OBLIQUEFISSURE,-112.697,-120.701,-433.5
RIGHTLUNG,OBLIQUEFISSURE,-112.697,-96.7829,-414.5
RIGHTLUNG,OBLIQUEFISSURE,-108.404,-132.967,-443.5
RIGHTLUNG,OBLIQUEFISSURE,-108.404,-110.275,-422.5
RIGHTLUNG,OBLIQUEFISSURE,-108.404,-88.197,-409
RIGHTLUNG,OBLIQUEFISSURE,-105.338,-124.994,-434.5
RIGHTLUNG,OBLIQUEFISSURE,-105.338,-101.689,-413
RIGHTLUNG,OBLIQUEFISSURE,-105.338,-83.2907,-403.5
RIGHTLUNG,OBLIQUEFISSURE,-99.2047,-139.099,-448
RIGHTLUNG,OBLIQUEFISSURE,-99.2047,-109.662,-421.5
RIGHTLUNG,OBLIQUEFISSURE,-99.2047,-92.49,-406.5
RIGHTLUNG,OBLIQUEFISSURE,-99.2047,-78.9978,-399
RIGHTLUNG,OBLIQUEFISSURE,-95.5251,-123.154,-433
RIGHTLUNG,OBLIQUEFISSURE,-95.5251,-97.3962,-410
RIGHTLUNG,OBLIQUEFISSURE,-91.2321,-124.994,-435.5
RIGHTLUNG,OBLIQUEFISSURE,-91.2321,-90.0368,-406.5
RIGHTLUNG,OBLIQUEFISSURE,-91.2321,-78.3845,-394.5
RIGHTLUNG,OBLIQUEFISSURE,-86.9391,-128.674,-439
RIGHTLUNG,OBLIQUEFISSURE,-86.9391,-91.8767,-405
RIGHTLUNG,OBLIQUEFISSURE,-83.2594,-77.1579,-390
RIGHTLUNG,OBLIQUEFISSURE,-83.2594,-66.1189,-375.5
RIGHTLUNG,OBLIQUEFISSURE,-77.1266,-117.021,-428
RIGHTLUNG,OBLIQUEFISSURE,-77.1266,-85.1306,-398
RIGHTLUNG,OBLIQUEFISSURE,-77.1266,-66.7322,-373
RIGHTLUNG,OBLIQUEFISSURE,-71.6071,-99.236,-411.5
RIGHTLUNG,OBLIQUEFISSURE,-71.6071,-76.5446,-385
RIGHTLUNG,OBLIQUEFISSURE,-71.6071,-59.9861,-361
RIGHTLUNG,OBLIQUEFISSURE,-68.5407,-124.381,-440
RIGHTLUNG,OBLIQUEFISSURE,-68.5407,-97.3962,-414
RIGHTLUNG,OBLIQUEFISSURE,-68.5407,-75.9314,-383
RIGHTLUNG,OBLIQUEFISSURE,-68.5407,-59.3728,-362
RIGHTLUNG,OBLIQUEFISSURE,-64.861,-114.568,-433
RIGHTLUNG,OBLIQUEFISSURE,-64.861,-87.5837,-405
RIGHTLUNG,OBLIQUEFISSURE,-64.861,-73.4782,-377
RIGHTLUNG,OBLIQUEFISSURE,-64.861,-58.1462,-359
RIGHTLUNG,OBLIQUEFISSURE,-60.568,-116.408,-437
RIGHTLUNG,OBLIQUEFISSURE,-60.568,-91.8767,-413
RIGHTLUNG,OBLIQUEFISSURE,-60.568,-77.1579,-380.5
RIGHTLUNG,OBLIQUEFISSURE,-60.568,-61.2126,-360
RIGHTLUNG,OBLIQUEFISSURE,-56.8884,-72.865,-374.5
RIGHTLUNG,OBLIQUEFISSURE,-56.8884,-60.5993,-360.5
RIGHTLUNG,OBLIQUEFISSURE,-56.8884,-55.0798,-349.5
RIGHTLUNG,OBLIQUEFISSURE,-52.5954,-76.5446,-378.5
RIGHTLUNG,OBLIQUEFISSURE,-52.5954,-68.572,-369
RIGHTLUNG,OBLIQUEFISSURE,-52.5954,-57.5329,-355
RIGHTLUNG,OBLIQUEFISSURE,-48.9157,-74.7048,-376.5
RIGHTLUNG,OBLIQUEFISSURE,-48.9157,-67.9587,-369
RIGHTLUNG,OBLIQUEFISSURE,-48.9157,-55.0798,-349.5
RIGHTLUNG,OBLIQUEFISSURE,-45.236,-73.4782,-375.5
RIGHTLUNG,OBLIQUEFISSURE,-45.236,-59.9861,-355.5
RIGHTLUNG,OBLIQUEFISSURE,-40.943,-71.6384,-373
RIGHTLUNG,OBLIQUEFISSURE,-40.943,-58.7595,-351.5
RIGHTLUNG,OBLIQUEFISSURE,-37.2634,-65.5056,-367.5
RIGHTLUNG,OBLIQUEFISSURE,-37.2634,-58.7595,-350.5
RIGHTLUNG,OBLIQUEFISSURE,-32.9704,-63.0525,-355.5
RIGHTLUNG,OBLIQUEFISSURE,-50.7555,-109.662,-437
RIGHTLUNG,OBLIQUEFISSURE,-50.7555,-90.6501,-423
RIGHTLUNG,OBLIQUEFISSURE,-52.5954,-95.5564,-423.5
RIGHTLUNG,OBLIQUEFISSURE,-52.5954,-91.2634,-417.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0485,-115.795,-438.5
RIGHTLUNG,OBLIQUEFISSURE,-55.0485,-91.8767,-418
RIGHTLUNG,OBLIQUEFISSURE,-55.0485,-99.236,-426.5
RIGHTLUNG,OBLIQUEFISSURE,-50.1423,-107.209,-433.5
RIGHTLUNG,OBLIQUEFISSURE,-50.1423,-91.2634,-422.5
RIGHTLUNG,OBLIQUEFISSURE,-46.4626,-108.435,-440.5
RIGHTLUNG,OBLIQUEFISSURE,-46.4626,-92.49,-425.5
RIGHTLUNG,OBLIQUEFISSURE,-43.3962,-101.076,-434
RIGHTLUNG,OBLIQUEFISSURE,-43.3962,-90.6501,-424
RIGHTLUNG,OBLIQUEFISSURE,-40.3298,-101.689,-435.5
RIGHTLUNG,OBLIQUEFISSURE,-40.3298,-86.3571,-422
RIGHTLUNG,OBLIQUEFISSURE,-37.2634,-101.689,-435.5
RIGHTLUNG,OBLIQUEFISSURE,-37.2634,-93.7165,-431
RIGHTLUNG,OBLIQUEFISSURE,-34.197,-59.9861,-352.5
RIGHTLUNG,OBLIQUEFISSURE,-34.197,-64.8923,-362.5
LEFTLUNG,OBLIQUEFISSURE,106.244,-108.435,-421.5
LEFTLUNG,OBLIQUEFISSURE,106.244,-95.5564,-403
LEFTLUNG,OBLIQUEFISSURE,101.951,-102.302,-414
LEFTLUNG,OBLIQUEFISSURE,101.951,-90.6501,-390.5
LEFTLUNG,OBLIQUEFISSURE,97.6585,-102.916,-414.5
LEFTLUNG,OBLIQUEFISSURE,97.6585,-85.7439,-383
UNDEFINEDREGION,UNDEFINEDTYPE,97.6585,-74.7048,-369.5
LEFTLUNG,OBLIQUEFISSURE,93.3655,-97.3962,-395
LEFTLUNG,OBLIQUEFISSURE,93.3655,-82.0642,-373
LEFTLUNG,OBLIQUEFISSURE,89.0725,-100.463,-402.5
LEFTLUNG,OBLIQUEFISSURE,89.0725,-87.5837,-375
LEFTLUNG,OBLIQUEFISSURE,89.0725,-74.7048,-354
LEFTLUNG,OBLIQUEFISSURE,84.1663,-101.076,-399.5
LEFTLUNG,OBLIQUEFISSURE,84.1663,-82.6775,-367
LEFTLUNG,OBLIQUEFISSURE,84.1663,-74.7048,-347
LEFTLUNG,OBLIQUEFISSURE,77.4202,-101.076,-401.5
LEFTLUNG,OBLIQUEFISSURE,77.4202,-83.2907,-366.5
LEFTLUNG,OBLIQUEFISSURE,77.4202,-71.6384,-338
LEFTLUNG,OBLIQUEFISSURE,71.2874,-99.8493,-396.5
LEFTLUNG,OBLIQUEFISSURE,71.2874,-83.2907,-363.5
LEFTLUNG,OBLIQUEFISSURE,71.2874,-73.4782,-333.5
LEFTLUNG,OBLIQUEFISSURE,63.928,-91.8767,-384.5
LEFTLUNG,OBLIQUEFISSURE,63.928,-78.3845,-350
LEFTLUNG,OBLIQUEFISSURE,63.928,-74.0915,-331.5
LEFTLUNG,OBLIQUEFISSURE,60.2483,-84.5173,-369.5
LEFTLUNG,OBLIQUEFISSURE,60.2483,-74.7048,-338
LEFTLUNG,OBLIQUEFISSURE,53.5022,-80.8376,-357
LEFTLUNG,OBLIQUEFISSURE,53.5022,-74.7048,-334
LEFTLUNG,OBLIQUEFISSURE,50.4358,-80.8376,-354
LEFTLUNG,OBLIQUEFISSURE,50.4358,-72.865,-332
LEFTLUNG,OBLIQUEFISSURE,44.303,-78.9978,-345
LEFTLUNG,OBLIQUEFISSURE,44.303,-72.2517,-331
LEFTLUNG,OBLIQUEFISSURE,37.5569,-74.0915,-338
LEFTLUNG,OBLIQUEFISSURE,37.5569,-72.865,-327
LEFTLUNG,OBLIQUEFISSURE,109.924,-112.728,-436
LEFTLUNG,OBLIQUEFISSURE,109.924,-112.115,-432
RIGHTLUNG,HORIZONTALFISSURE,-118.216,-137.259,-413
RIGHTLUNG,HORIZONTALFISSURE,-118.216,-118.248,-414
RIGHTLUNG,HORIZONTALFISSURE,-115.15,-144.619,-411
RIGHTLUNG,HORIZONTALFISSURE,-115.15,-128.674,-411
RIGHTLUNG,HORIZONTALFISSURE,-115.15,-107.209,-415
RIGHTLUNG,HORIZONTALFISSURE,-109.017,-142.779,-411
RIGHTLUNG,HORIZONTALFISSURE,-109.017,-126.22,-411.5
RIGHTLUNG,HORIZONTALFISSURE,-105.338,-152.591,-412
RIGHTLUNG,HORIZONTALFISSURE,-105.338,-124.381,-410.5
RIGHTLUNG,HORIZONTALFISSURE,-105.338,-106.595,-413.5
RIGHTLUNG,HORIZONTALFISSURE,-97.9782,-151.978,-411.5
RIGHTLUNG,HORIZONTALFISSURE,-97.9782,-123.767,-411
RIGHTLUNG,HORIZONTALFISSURE,-97.9782,-105.982,-410.5
RIGHTLUNG,HORIZONTALFISSURE,-91.2321,-152.591,-413.5
RIGHTLUNG,HORIZONTALFISSURE,-91.2321,-129.287,-409.5
RIGHTLUNG,HORIZONTALFISSURE,-91.2321,-117.634,-408.5
RIGHTLUNG,HORIZONTALFISSURE,-91.2321,-104.756,-410.5
RIGHTLUNG,HORIZONTALFISSURE,-83.8727,-158.724,-414.5
RIGHTLUNG,HORIZONTALFISSURE,-83.8727,-140.939,-414
RIGHTLUNG,HORIZONTALFISSURE,-83.8727,-126.834,-409
RIGHTLUNG,HORIZONTALFISSURE,-83.8727,-110.888,-407.5
RIGHTLUNG,HORIZONTALFISSURE,-83.8727,-100.463,-409
RIGHTLUNG,HORIZONTALFISSURE,-78.9665,-159.951,-414.5
RIGHTLUNG,HORIZONTALFISSURE,-78.9665,-137.873,-414
RIGHTLUNG,HORIZONTALFISSURE,-78.9665,-119.474,-409.5
RIGHTLUNG,HORIZONTALFISSURE,-74.6735,-160.564,-417
RIGHTLUNG,HORIZONTALFISSURE,-74.6735,-145.845,-418.5
RIGHTLUNG,HORIZONTALFISSURE,-70.9938,-164.244,-417
RIGHTLUNG,HORIZONTALFISSURE,-70.9938,-154.431,-419.5
RIGHTLUNG,HORIZONTALFISSURE,-84.486,-144.006,-415.5
RIGHTLUNG,HORIZONTALFISSURE,-84.486,-121.927,-407.5
RIGHTLUNG,HORIZONTALFISSURE,-84.486,-114.568,-407.5
RIGHTLUNG,HORIZONTALFISSURE,-80.8063,-128.674,-411.5
RIGHTLUNG,HORIZONTALFISSURE,-80.8063,-116.408,-406
RIGHTLUNG,HORIZONTALFISSURE,-73.4469,-133.58,-414.5
RIGHTLUNG,HORIZONTALFISSURE,-64.2477,-161.177,-420.5
RIGHTLUNG,HORIZONTALFISSURE,-64.2477,-155.658,-421
RIGHTLUNG,HORIZONTALFISSURE,-121.896,-137.259,-409.5
RIGHTLUNG,HORIZONTALFISSURE,-121.896,-128.06,-411
RIGHTLUNG,HORIZONTALFISSURE,-121.896,-120.701,-411
RIGHTLUNG,HORIZONTALFISSURE,-118.83,-132.967,-411
RIGHTLUNG,HORIZONTALFISSURE,-118.83,-125.607,-411
RIGHTLUNG,HORIZONTALFISSURE,-118.83,-113.342,-413.5
