Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-120.938,-35.8594,-211.25
RIGHTLUNG,OBLIQUEFISSURE,-120.938,1.40625,-170.625
RIGHTLUNG,OBLIQUEFISSURE,-120.938,22.5,-152.5
RIGHTLUNG,OBLIQUEFISSURE,-116.016,-42.1875,-215.625
RIGHTLUNG,OBLIQUEFISSURE,-116.016,-53.4375,-233.75
RIGHTLUNG,OBLIQUEFISSURE,-116.016,7.73438,-163.75
RIGHTLUNG,OBLIQUEFISSURE,-116.016,40.0781,-136.25
RIGHTLUNG,OBLIQUEFISSURE,-108.281,-50.625,-223.75
RIGHTLUNG,OBLIQUEFISSURE,-108.281,-14.7656,-183.125
RIGHTLUNG,OBLIQUEFISSURE,-108.281,33.75,-138.125
RIGHTLUNG,OBLIQUEFISSURE,-108.281,52.7344,-123.75
RIGHTLUNG,OBLIQUEFISSURE,-100.547,-29.5313,-194.375
RIGHTLUNG,OBLIQUEFISSURE,-100.547,14.0625,-151.875
RIGHTLUNG,OBLIQUEFISSURE,-92.8125,-23.2031,-186.875
RIGHTLUNG,OBLIQUEFISSURE,-92.8125,49.2188,-126.25
RIGHTLUNG,OBLIQUEFISSURE,-92.8125,71.7188,-98.75
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,-27.4219,-191.25
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,5.625,-160
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,36.5625,-133.125
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,73.8281,-95
RIGHTLUNG,OBLIQUEFISSURE,-79.4531,-30.2344,-195
RIGHTLUNG,OBLIQUEFISSURE,-79.4531,4.21875,-161.875
RIGHTLUNG,OBLIQUEFISSURE,-79.4531,52.7344,-116.25
RIGHTLUNG,OBLIQUEFISSURE,-79.4531,75.2344,-90.625
RIGHTLUNG,OBLIQUEFISSURE,-71.7188,-28.8281,-194.375
RIGHTLUNG,OBLIQUEFISSURE,-71.7188,13.3594,-155.625
RIGHTLUNG,OBLIQUEFISSURE,-71.7188,55.5469,-114.375
RIGHTLUNG,OBLIQUEFISSURE,-71.7188,79.4531,-81.875
RIGHTLUNG,OBLIQUEFISSURE,-62.5781,-26.7188,-196.875
RIGHTLUNG,OBLIQUEFISSURE,-62.5781,2.8125,-173.75
RIGHTLUNG,OBLIQUEFISSURE,-62.5781,23.9063,-141.875
RIGHTLUNG,OBLIQUEFISSURE,-62.5781,56.25,-111.875
RIGHTLUNG,OBLIQUEFISSURE,-62.5781,82.2656,-78.75
RIGHTLUNG,OBLIQUEFISSURE,-57.6563,-22.5,-194.375
