Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-114.257,-169.711,-178.5
RIGHTLUNG,OBLIQUEFISSURE,-114.257,-164.789,-158
RIGHTLUNG,OBLIQUEFISSURE,-114.257,-156.351,-134.5
RIGHTLUNG,OBLIQUEFISSURE,-110.039,-165.492,-169
RIGHTLUNG,OBLIQUEFISSURE,-110.039,-159.164,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-110.039,-146.507,-127.5
RIGHTLUNG,OBLIQUEFISSURE,-110.039,-138.07,-123.5
RIGHTLUNG,OBLIQUEFISSURE,-100.898,-166.195,-170
RIGHTLUNG,OBLIQUEFISSURE,-100.898,-158.461,-144
RIGHTLUNG,OBLIQUEFISSURE,-100.898,-147.211,-125.5
RIGHTLUNG,OBLIQUEFISSURE,-100.898,-130.336,-116
RIGHTLUNG,OBLIQUEFISSURE,-100.898,-127.523,-112.5
RIGHTLUNG,OBLIQUEFISSURE,-95.9761,-166.195,-168.5
RIGHTLUNG,OBLIQUEFISSURE,-95.9761,-157.757,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-95.9761,-142.992,-124
RIGHTLUNG,OBLIQUEFISSURE,-95.9761,-124.711,-111
RIGHTLUNG,OBLIQUEFISSURE,-95.9761,-119.789,-107
RIGHTLUNG,OBLIQUEFISSURE,-91.7574,-164.086,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-91.7574,-155.648,-133
RIGHTLUNG,OBLIQUEFISSURE,-91.7574,-133.148,-116
RIGHTLUNG,OBLIQUEFISSURE,-91.7574,-119.086,-104.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2417,-164.086,-170.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2417,-157.757,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2417,-142.992,-123.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2417,-115.57,-102
RIGHTLUNG,OBLIQUEFISSURE,-82.6167,-164.789,-173
RIGHTLUNG,OBLIQUEFISSURE,-82.6167,-161.976,-142
RIGHTLUNG,OBLIQUEFISSURE,-82.6167,-143.695,-124
RIGHTLUNG,OBLIQUEFISSURE,-82.6167,-113.461,-100
RIGHTLUNG,OBLIQUEFISSURE,-78.398,-166.195,-179
RIGHTLUNG,OBLIQUEFISSURE,-78.398,-160.57,-155
RIGHTLUNG,OBLIQUEFISSURE,-78.398,-150.726,-131
RIGHTLUNG,OBLIQUEFISSURE,-78.398,-119.086,-105
