Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-99.8157,-168.747,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-99.8157,-142.962,-167.5
RIGHTLUNG,OBLIQUEFISSURE,-99.8157,-121.661,-142
RIGHTLUNG,OBLIQUEFISSURE,-99.8157,-107.087,-122.5
RIGHTLUNG,OBLIQUEFISSURE,-93.6497,-173.792,-208.5
RIGHTLUNG,OBLIQUEFISSURE,-93.6497,-160.339,-187.5
RIGHTLUNG,OBLIQUEFISSURE,-93.6497,-132.312,-160
RIGHTLUNG,OBLIQUEFISSURE,-93.6497,-111.572,-130
RIGHTLUNG,OBLIQUEFISSURE,-93.6497,-102.603,-124.5
RIGHTLUNG,OBLIQUEFISSURE,-93.6497,-86.9075,-119
RIGHTLUNG,OBLIQUEFISSURE,-87.4837,-179.398,-219
RIGHTLUNG,OBLIQUEFISSURE,-87.4837,-163.702,-196
RIGHTLUNG,OBLIQUEFISSURE,-87.4837,-132.312,-162.5
RIGHTLUNG,OBLIQUEFISSURE,-87.4837,-112.132,-134.5
RIGHTLUNG,OBLIQUEFISSURE,-87.4837,-94.7551,-125
RIGHTLUNG,OBLIQUEFISSURE,-87.4837,-82.9836,-118.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1965,-182.761,-230.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1965,-168.187,-202.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1965,-137.917,-173.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1965,-110.45,-138.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1965,-95.3157,-127.5
RIGHTLUNG,OBLIQUEFISSURE,-80.1965,-82.4231,-120
RIGHTLUNG,OBLIQUEFISSURE,-73.47,-184.443,-238
RIGHTLUNG,OBLIQUEFISSURE,-73.47,-175.474,-217.5
RIGHTLUNG,OBLIQUEFISSURE,-73.47,-152.491,-191
RIGHTLUNG,OBLIQUEFISSURE,-73.47,-126.146,-163.5
RIGHTLUNG,OBLIQUEFISSURE,-73.47,-100.361,-132
RIGHTLUNG,OBLIQUEFISSURE,-73.47,-79.6203,-120
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-184.443,-244
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-173.792,-216
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-144.083,-187.5
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-114.935,-151.5
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-126.146,-169.5
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-93.0735,-129.5
RIGHTLUNG,OBLIQUEFISSURE,-66.7434,-75.136,-112.5
RIGHTLUNG,OBLIQUEFISSURE,-60.5774,-162.581,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-60.5774,-136.796,-184.5
RIGHTLUNG,OBLIQUEFISSURE,-60.5774,-119.419,-165
RIGHTLUNG,OBLIQUEFISSURE,-60.5774,-102.603,-138
RIGHTLUNG,OBLIQUEFISSURE,-60.5774,-79.6203,-117
RIGHTLUNG,OBLIQUEFISSURE,-60.5774,-75.136,-108.5
RIGHTLUNG,OBLIQUEFISSURE,-53.2903,-171.55,-219
RIGHTLUNG,OBLIQUEFISSURE,-53.2903,-149.128,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-53.2903,-131.751,-184.5
RIGHTLUNG,OBLIQUEFISSURE,-53.2903,-125.585,-177.5
RIGHTLUNG,OBLIQUEFISSURE,-53.2903,-103.724,-140
