Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,121.523,27.2264,-158.125
LEFTLUNG,OBLIQUEFISSURE,121.523,47.1483,-140.625
LEFTLUNG,OBLIQUEFISSURE,121.523,56.4451,-135
LEFTLUNG,OBLIQUEFISSURE,111.562,27.8905,-150.625
LEFTLUNG,OBLIQUEFISSURE,111.562,47.8123,-136.25
LEFTLUNG,OBLIQUEFISSURE,111.562,66.4061,-110
LEFTLUNG,OBLIQUEFISSURE,102.929,35.1952,-145
LEFTLUNG,OBLIQUEFISSURE,102.929,53.7889,-126.875
LEFTLUNG,OBLIQUEFISSURE,102.929,66.4061,-102.5
LEFTLUNG,OBLIQUEFISSURE,102.929,75.0389,-90.625
LEFTLUNG,OBLIQUEFISSURE,93.6326,35.1952,-145
LEFTLUNG,OBLIQUEFISSURE,93.6326,54.453,-120.625
LEFTLUNG,OBLIQUEFISSURE,93.6326,71.0545,-85
LEFTLUNG,OBLIQUEFISSURE,93.6326,75.0389,-71.25
LEFTLUNG,OBLIQUEFISSURE,79.6873,52.4608,-111.875
LEFTLUNG,OBLIQUEFISSURE,79.6873,63.0858,-85.625
LEFTLUNG,OBLIQUEFISSURE,79.6873,69.7264,-65
LEFTLUNG,OBLIQUEFISSURE,79.6873,74.3748,-50
RIGHTLUNG,OBLIQUEFISSURE,-106.914,21.2499,-146.875
RIGHTLUNG,OBLIQUEFISSURE,-106.914,32.5389,-140.625
RIGHTLUNG,OBLIQUEFISSURE,-106.914,43.828,-130.625
RIGHTLUNG,OBLIQUEFISSURE,-109.57,19.9217,-148.125
RIGHTLUNG,OBLIQUEFISSURE,-109.57,33.867,-139.375
RIGHTLUNG,OBLIQUEFISSURE,-109.57,41.8358,-136.875
RIGHTLUNG,OBLIQUEFISSURE,-98.9454,26.5624,-140
RIGHTLUNG,OBLIQUEFISSURE,-98.9454,47.1483,-123.75
RIGHTLUNG,OBLIQUEFISSURE,-98.9454,59.1014,-118.75
RIGHTLUNG,OBLIQUEFISSURE,-90.3126,27.2264,-134.375
RIGHTLUNG,OBLIQUEFISSURE,-90.3126,50.4686,-118.125
RIGHTLUNG,OBLIQUEFISSURE,-90.3126,73.7108,-102.5
RIGHTLUNG,OBLIQUEFISSURE,-79.0235,26.5624,-131.875
RIGHTLUNG,OBLIQUEFISSURE,-79.0235,56.4451,-113.125
RIGHTLUNG,OBLIQUEFISSURE,-79.0235,71.7186,-95
RIGHTLUNG,OBLIQUEFISSURE,-79.0235,83.0076,-91.25
RIGHTLUNG,OBLIQUEFISSURE,-69.0626,27.2264,-131.25
RIGHTLUNG,OBLIQUEFISSURE,-69.0626,47.8123,-120
RIGHTLUNG,OBLIQUEFISSURE,-69.0626,65.742,-94.375
RIGHTLUNG,OBLIQUEFISSURE,-69.0626,80.3514,-85.625
RIGHTLUNG,OBLIQUEFISSURE,-69.0626,88.9842,-84.375
RIGHTLUNG,OBLIQUEFISSURE,-59.7657,29.8827,-130
RIGHTLUNG,OBLIQUEFISSURE,-59.7657,53.7889,-118.125
RIGHTLUNG,OBLIQUEFISSURE,-59.7657,68.3983,-90
RIGHTLUNG,OBLIQUEFISSURE,-59.7657,86.992,-81.25
RIGHTLUNG,OBLIQUEFISSURE,-46.4845,30.5467,-134.375
RIGHTLUNG,OBLIQUEFISSURE,-46.4845,43.828,-130
RIGHTLUNG,OBLIQUEFISSURE,-46.4845,57.1092,-115.625
RIGHTLUNG,OBLIQUEFISSURE,-46.4845,65.742,-88.75
RIGHTLUNG,OBLIQUEFISSURE,-46.4845,78.3592,-81.25
RIGHTLUNG,OBLIQUEFISSURE,-46.4845,89.6482,-74.375
RIGHTLUNG,OBLIQUEFISSURE,-37.8517,31.8748,-136.875
RIGHTLUNG,OBLIQUEFISSURE,-37.8517,45.8202,-126.875
RIGHTLUNG,OBLIQUEFISSURE,-37.8517,69.0623,-86.25
RIGHTLUNG,OBLIQUEFISSURE,-37.8517,80.3514,-70.625
RIGHTLUNG,OBLIQUEFISSURE,-26.5626,61.7576,-83.125
RIGHTLUNG,OBLIQUEFISSURE,-26.5626,77.0311,-73.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.2891,-4.64856,-99.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.2891,23.242,-94.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.2891,43.828,-94.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.2891,60.4295,-97.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-92.3047,71.0545,-100
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-92.3047,39.8436,-91.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-92.3047,17.2655,-93.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-92.3047,-13.2814,-101.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-85.0001,67.0701,-98.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-85.0001,48.4764,-95
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-85.0001,19.9217,-93.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-85.0001,-2.65638,-96.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-85.0001,-18.5939,-102.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-79.6876,65.742,-98.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-79.6876,49.1405,-94.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-79.6876,21.9139,-93.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-79.6876,-0.66419,-96.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-79.6876,-19.922,-100.625
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-79.6876,-24.5704,-103.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-72.3829,59.7655,-98.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-72.3829,35.8592,-96.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-72.3829,9.29674,-98.125
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-72.3829,-24.5704,-101.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-60.4298,-33.8673,-105
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-60.4298,-20.5861,-101.25
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-60.4298,16.6014,-100.625
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-60.4298,45.8202,-98.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-60.4298,60.4295,-95
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-51.797,61.0936,-91.875
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-51.797,33.867,-103.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-51.797,10.6249,-105
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-51.797,-15.2736,-105
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-51.797,-39.1798,-108.75
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-41.172,-41.836,-114.375
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-41.172,-23.2423,-110
