Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-71.3973,-155.948,-929
RIGHTLUNG,OBLIQUEFISSURE,-71.3973,-138.077,-913.5
RIGHTLUNG,OBLIQUEFISSURE,-71.3973,-129.737,-901.5
RIGHTLUNG,OBLIQUEFISSURE,-71.3973,-120.802,-874
RIGHTLUNG,OBLIQUEFISSURE,-67.8231,-154.757,-927
RIGHTLUNG,OBLIQUEFISSURE,-67.8231,-135.099,-908.5
RIGHTLUNG,OBLIQUEFISSURE,-67.8231,-131.524,-901
RIGHTLUNG,OBLIQUEFISSURE,-67.8231,-122.589,-871.5
RIGHTLUNG,OBLIQUEFISSURE,-67.8231,-116.632,-863.5
RIGHTLUNG,OBLIQUEFISSURE,-64.2489,-152.97,-924.5
RIGHTLUNG,OBLIQUEFISSURE,-64.2489,-132.12,-901.5
RIGHTLUNG,OBLIQUEFISSURE,-64.2489,-126.759,-877
RIGHTLUNG,OBLIQUEFISSURE,-64.2489,-115.44,-856.5
RIGHTLUNG,OBLIQUEFISSURE,-60.079,-154.161,-925.5
RIGHTLUNG,OBLIQUEFISSURE,-60.079,-141.056,-909.5
RIGHTLUNG,OBLIQUEFISSURE,-60.079,-128.546,-880.5
RIGHTLUNG,OBLIQUEFISSURE,-60.079,-116.632,-856.5
RIGHTLUNG,OBLIQUEFISSURE,-60.079,-112.462,-847
RIGHTLUNG,OBLIQUEFISSURE,-56.5047,-153.565,-925
RIGHTLUNG,OBLIQUEFISSURE,-56.5047,-135.099,-898
RIGHTLUNG,OBLIQUEFISSURE,-56.5047,-128.546,-874.5
RIGHTLUNG,OBLIQUEFISSURE,-56.5047,-116.632,-852
RIGHTLUNG,OBLIQUEFISSURE,-56.5047,-110.079,-839
RIGHTLUNG,OBLIQUEFISSURE,-52.3348,-152.374,-922.5
RIGHTLUNG,OBLIQUEFISSURE,-52.3348,-138.077,-904.5
RIGHTLUNG,OBLIQUEFISSURE,-52.3348,-133.311,-881
RIGHTLUNG,OBLIQUEFISSURE,-52.3348,-119.015,-855
RIGHTLUNG,OBLIQUEFISSURE,-52.3348,-104.718,-834
RIGHTLUNG,OBLIQUEFISSURE,-48.1649,-153.565,-923
RIGHTLUNG,OBLIQUEFISSURE,-48.1649,-137.481,-900
RIGHTLUNG,OBLIQUEFISSURE,-48.1649,-131.524,-873
RIGHTLUNG,OBLIQUEFISSURE,-48.1649,-113.058,-844
RIGHTLUNG,OBLIQUEFISSURE,-48.1649,-102.931,-829.5
RIGHTLUNG,OBLIQUEFISSURE,-43.3993,-164.884,-933.5
RIGHTLUNG,OBLIQUEFISSURE,-43.3993,-154.757,-921
RIGHTLUNG,OBLIQUEFISSURE,-43.3993,-137.481,-899.5
RIGHTLUNG,OBLIQUEFISSURE,-43.3993,-133.907,-872
RIGHTLUNG,OBLIQUEFISSURE,-43.3993,-108.888,-838
