Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-246.798,-247.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-244.935,-240.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-234.998,-232
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-224.439,-224.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-216.986,-218
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-177.857,-195
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-161.708,-165
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-153.013,-153.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-143.076,-146.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-130.033,-141.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-115.126,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-100.841,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-90.2826,-133.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2202,-82.2084,-128
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-242.451,-247.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-231.271,-235.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-217.607,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-205.806,-216
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-192.763,-207.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-167.298,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-164.193,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-157.982,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-152.392,-154
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-148.044,-149.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-140.591,-144
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-125.685,-139
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-116.369,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-107.052,-135
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-97.1147,-133
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-89.6616,-132
RIGHTLUNG,OBLIQUEFISSURE,-63.4819,-79.103,-123
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-234.998,-239
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-205.806,-221
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-187.173,-208.5
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-156.119,-166
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-146.181,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-131.896,-147.5
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-121.337,-142.5
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-108.294,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-94.6303,-133.5
RIGHTLUNG,OBLIQUEFISSURE,-48.5757,-82.8295,-124
RIGHTLUNG,OBLIQUEFISSURE,-34.2905,-146.802,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-34.2905,-137.486,-152.5
RIGHTLUNG,OBLIQUEFISSURE,-34.2905,-118.853,-143
RIGHTLUNG,OBLIQUEFISSURE,-34.2905,-92.1459,-128.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-249.283,-249
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-238.103,-233
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-226.923,-225.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-218.228,-217.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-177.236,-191.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-162.33,-166
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-149.287,-150
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-141.212,-145.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-130.033,-141.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-100.841,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-90.9037,-134
RIGHTLUNG,OBLIQUEFISSURE,-87.7046,-82.2084,-128.5
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-253.009,-242.5
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-233.134,-226
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-201.458,-202
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-181.583,-186.5
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-172.267,-175
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-163.572,-165
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-147.423,-152.5
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-138.728,-148.5
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-121.958,-143.5
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-111.4,-140
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-100.22,-137
RIGHTLUNG,OBLIQUEFISSURE,-101.369,-92.767,-134.5
RIGHTLUNG,OBLIQUEFISSURE,-124.97,-243.693,-233
RIGHTLUNG,OBLIQUEFISSURE,-124.97,-233.134,-224.5
RIGHTLUNG,OBLIQUEFISSURE,-124.97,-219.47,-213.5
RIGHTLUNG,OBLIQUEFISSURE,-124.97,-165.435,-166
RIGHTLUNG,OBLIQUEFISSURE,-124.97,-163.572,-163
RIGHTLUNG,OBLIQUEFISSURE,-124.97,-157.361,-161
