Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-85.0062,-31.3402,-196.75
RIGHTLUNG,OBLIQUEFISSURE,-85.0062,-16.0121,-172.375
RIGHTLUNG,OBLIQUEFISSURE,-85.0062,-12.8187,-167.375
RIGHTLUNG,OBLIQUEFISSURE,-85.0062,14.0055,-150.5
RIGHTLUNG,OBLIQUEFISSURE,-85.0062,19.7536,-143.625
RIGHTLUNG,OBLIQUEFISSURE,-76.0648,-40.2816,-211.125
RIGHTLUNG,OBLIQUEFISSURE,-76.0648,-28.7855,-191.125
RIGHTLUNG,OBLIQUEFISSURE,-76.0648,-10.9027,-164.875
RIGHTLUNG,OBLIQUEFISSURE,-76.0648,11.4508,-149.25
RIGHTLUNG,OBLIQUEFISSURE,-76.0648,29.3336,-131.75
RIGHTLUNG,OBLIQUEFISSURE,-68.4008,-41.559,-213
RIGHTLUNG,OBLIQUEFISSURE,-68.4008,-19.8441,-182.375
RIGHTLUNG,OBLIQUEFISSURE,-68.4008,-6.432,-159.875
RIGHTLUNG,OBLIQUEFISSURE,-68.4008,22.9469,-137.375
RIGHTLUNG,OBLIQUEFISSURE,-68.4008,38.9137,-121.125
RIGHTLUNG,OBLIQUEFISSURE,-60.098,-45.391,-219.25
RIGHTLUNG,OBLIQUEFISSURE,-60.098,-18.5668,-181.125
RIGHTLUNG,OBLIQUEFISSURE,-60.098,3.78675,-154.25
RIGHTLUNG,OBLIQUEFISSURE,-60.098,35.7204,-123
RIGHTLUNG,OBLIQUEFISSURE,-60.098,46.5778,-113
RIGHTLUNG,OBLIQUEFISSURE,-54.35,-39.0043,-209.875
RIGHTLUNG,OBLIQUEFISSURE,-54.35,-7.07067,-170.5
RIGHTLUNG,OBLIQUEFISSURE,-54.35,13.3668,-146.75
RIGHTLUNG,OBLIQUEFISSURE,-54.35,42.7457,-116.125
RIGHTLUNG,OBLIQUEFISSURE,-50.518,-46.0297,-221.75
RIGHTLUNG,OBLIQUEFISSURE,-50.518,-6.432,-173.625
RIGHTLUNG,OBLIQUEFISSURE,-50.518,10.1735,-149.25
RIGHTLUNG,OBLIQUEFISSURE,-50.518,35.7204,-121.75
RIGHTLUNG,OBLIQUEFISSURE,-50.518,56.7965,-103
RIGHTLUNG,OBLIQUEFISSURE,-46.6859,-40.9203,-212.375
RIGHTLUNG,OBLIQUEFISSURE,-46.6859,-7.07067,-177.375
RIGHTLUNG,OBLIQUEFISSURE,-46.6859,9.5348,-159.875
RIGHTLUNG,OBLIQUEFISSURE,-46.6859,28.0563,-128
RIGHTLUNG,OBLIQUEFISSURE,-46.6859,57.4352,-101.75
RIGHTLUNG,OBLIQUEFISSURE,-43.4926,-39.0043,-209.25
RIGHTLUNG,OBLIQUEFISSURE,-43.4926,-7.07067,-179.875
RIGHTLUNG,OBLIQUEFISSURE,-43.4926,10.1735,-163
RIGHTLUNG,OBLIQUEFISSURE,-43.4926,21.6696,-136.75
RIGHTLUNG,OBLIQUEFISSURE,-43.4926,54.2418,-104.25
RIGHTLUNG,OBLIQUEFISSURE,-40.2992,-33.2562,-206.125
RIGHTLUNG,OBLIQUEFISSURE,-40.2992,-7.07067,-183.625
RIGHTLUNG,OBLIQUEFISSURE,-40.2992,8.89613,-167.375
RIGHTLUNG,OBLIQUEFISSURE,-40.2992,28.695,-128
RIGHTLUNG,OBLIQUEFISSURE,-40.2992,57.4352,-101.125
RIGHTLUNG,OBLIQUEFISSURE,-40.2992,67.654,-90.5
RIGHTLUNG,OBLIQUEFISSURE,-37.1058,-31.3402,-204.25
RIGHTLUNG,OBLIQUEFISSURE,-37.1058,-4.51598,-184.25
RIGHTLUNG,OBLIQUEFISSURE,-37.1058,12.7282,-166.75
RIGHTLUNG,OBLIQUEFISSURE,-37.1058,38.275,-117.375
RIGHTLUNG,OBLIQUEFISSURE,-37.1058,63.1832,-94.25
RIGHTLUNG,OBLIQUEFISSURE,-33.2738,-27.5082,-203.625
RIGHTLUNG,OBLIQUEFISSURE,-33.2738,-1.9613,-186.125
RIGHTLUNG,OBLIQUEFISSURE,-33.2738,12.7282,-169.875
RIGHTLUNG,OBLIQUEFISSURE,-33.2738,45.9391,-111.125
RIGHTLUNG,OBLIQUEFISSURE,-33.2738,67.0153,-89.875
RIGHTLUNG,OBLIQUEFISSURE,-30.0804,32.527,-125.5
RIGHTLUNG,OBLIQUEFISSURE,-30.0804,60.6286,-94.25
RIGHTLUNG,OBLIQUEFISSURE,-26.8871,-34.5336,-210.5
RIGHTLUNG,OBLIQUEFISSURE,-26.8871,-10.9027,-193.625
RIGHTLUNG,OBLIQUEFISSURE,-26.8871,3.14808,-187.375
RIGHTLUNG,OBLIQUEFISSURE,-24.3324,-27.5082,-203.625
RIGHTLUNG,OBLIQUEFISSURE,-24.3324,-0.04528,-189.875
RIGHTLUNG,OBLIQUEFISSURE,-24.3324,38.275,-116.75
RIGHTLUNG,OBLIQUEFISSURE,-24.3324,64.4606,-90.5
RIGHTLUNG,OBLIQUEFISSURE,-20.5004,-23.6761,-203
RIGHTLUNG,OBLIQUEFISSURE,-20.5004,-0.683952,-193.625
RIGHTLUNG,OBLIQUEFISSURE,-20.5004,29.3336,-125.5
