Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-93.0447,-145.088,937.5
RIGHTLUNG,OBLIQUEFISSURE,-93.0447,-132.099,952.5
RIGHTLUNG,OBLIQUEFISSURE,-93.0447,-123.213,959.5
RIGHTLUNG,OBLIQUEFISSURE,-95.0955,-140.302,940.5
RIGHTLUNG,OBLIQUEFISSURE,-95.0955,-133.467,950
RIGHTLUNG,OBLIQUEFISSURE,-87.5759,-157.392,929.5
RIGHTLUNG,OBLIQUEFISSURE,-87.5759,-129.365,954.5
RIGHTLUNG,OBLIQUEFISSURE,-87.5759,-112.275,970
RIGHTLUNG,OBLIQUEFISSURE,-87.5759,-105.439,972.5
RIGHTLUNG,OBLIQUEFISSURE,-83.4744,-164.228,923.5
RIGHTLUNG,OBLIQUEFISSURE,-83.4744,-144.404,943.5
RIGHTLUNG,OBLIQUEFISSURE,-83.4744,-116.377,966.5
RIGHTLUNG,OBLIQUEFISSURE,-83.4744,-103.388,974.5
RIGHTLUNG,OBLIQUEFISSURE,-83.4744,-96.5524,975.5
RIGHTLUNG,OBLIQUEFISSURE,-79.3728,-166.279,922.5
RIGHTLUNG,OBLIQUEFISSURE,-79.3728,-147.138,941.5
RIGHTLUNG,OBLIQUEFISSURE,-79.3728,-118.427,965.5
RIGHTLUNG,OBLIQUEFISSURE,-79.3728,-97.9196,978.5
UNDEFINEDREGION,UNDEFINEDTYPE,-79.3728,-90.4001,979.5
RIGHTLUNG,OBLIQUEFISSURE,-75.2712,-160.81,930
RIGHTLUNG,OBLIQUEFISSURE,-75.2712,-146.455,942.5
RIGHTLUNG,OBLIQUEFISSURE,-75.2712,-119.795,963
RIGHTLUNG,OBLIQUEFISSURE,-75.2712,-101.338,980.5
RIGHTLUNG,OBLIQUEFISSURE,-70.4861,-152.607,936.5
RIGHTLUNG,OBLIQUEFISSURE,-70.4861,-130.049,954.5
RIGHTLUNG,OBLIQUEFISSURE,-70.4861,-110.908,970.5
RIGHTLUNG,OBLIQUEFISSURE,-70.4861,-99.2868,981
RIGHTLUNG,OBLIQUEFISSURE,-62.9666,-147.138,936.5
RIGHTLUNG,OBLIQUEFISSURE,-62.9666,-127.998,954.5
RIGHTLUNG,OBLIQUEFISSURE,-62.9666,-111.592,970
RIGHTLUNG,OBLIQUEFISSURE,-62.9666,-95.1853,986.5
RIGHTLUNG,OBLIQUEFISSURE,-58.865,-138.935,941.5
RIGHTLUNG,OBLIQUEFISSURE,-58.865,-117.06,961.5
RIGHTLUNG,OBLIQUEFISSURE,-58.865,-95.8689,987
RIGHTLUNG,OBLIQUEFISSURE,-52.029,-136.201,942
RIGHTLUNG,OBLIQUEFISSURE,-52.029,-113.642,962.5
RIGHTLUNG,OBLIQUEFISSURE,-52.029,-99.2868,986
RIGHTLUNG,OBLIQUEFISSURE,-52.029,-86.9821,994
RIGHTLUNG,OBLIQUEFISSURE,-52.029,-76.7282,994
RIGHTLUNG,OBLIQUEFISSURE,-48.6111,-137.568,934
RIGHTLUNG,OBLIQUEFISSURE,-48.6111,-121.845,952.5
RIGHTLUNG,OBLIQUEFISSURE,-48.6111,-102.705,979
RIGHTLUNG,OBLIQUEFISSURE,-48.6111,-96.5524,988
RIGHTLUNG,OBLIQUEFISSURE,-43.8259,-134.834,936
RIGHTLUNG,OBLIQUEFISSURE,-43.8259,-122.529,950
RIGHTLUNG,OBLIQUEFISSURE,-43.8259,-113.642,952.5
RIGHTLUNG,OBLIQUEFISSURE,-39.7244,-134.834,932.5
RIGHTLUNG,OBLIQUEFISSURE,-39.7244,-122.529,946
RIGHTLUNG,OBLIQUEFISSURE,-39.7244,-116.377,949
RIGHTLUNG,OBLIQUEFISSURE,-35.6228,-131.416,934
RIGHTLUNG,OBLIQUEFISSURE,-35.6228,-119.795,946
RIGHTLUNG,OBLIQUEFISSURE,-31.5212,-130.732,935
RIGHTLUNG,OBLIQUEFISSURE,-31.5212,-121.845,944.5
RIGHTLUNG,OBLIQUEFISSURE,-26.7361,-127.998,937.5
RIGHTLUNG,OBLIQUEFISSURE,-26.7361,-115.693,942.5
RIGHTLUNG,OBLIQUEFISSURE,-22.6345,-124.58,939
RIGHTLUNG,OBLIQUEFISSURE,-22.6345,-112.275,943
RIGHTLUNG,OBLIQUEFISSURE,-68.4353,-99.2868,982.5
RIGHTLUNG,OBLIQUEFISSURE,-68.4353,-87.6657,987
RIGHTLUNG,OBLIQUEFISSURE,-68.4353,-82.197,991.5
RIGHTLUNG,OBLIQUEFISSURE,-63.6501,-89.0329,988.5
LEFTLUNG,OBLIQUEFISSURE,102.463,-102.021,911.5
LEFTLUNG,OBLIQUEFISSURE,102.463,-92.4509,922.5
LEFTLUNG,OBLIQUEFISSURE,97.678,-104.756,914.5
LEFTLUNG,OBLIQUEFISSURE,97.678,-93.1345,929
LEFTLUNG,OBLIQUEFISSURE,97.678,-84.2478,934
LEFTLUNG,OBLIQUEFISSURE,93.5765,-106.123,918
LEFTLUNG,OBLIQUEFISSURE,93.5765,-89.0329,938
LEFTLUNG,OBLIQUEFISSURE,93.5765,-80.1462,942
LEFTLUNG,OBLIQUEFISSURE,88.7913,-105.439,922
LEFTLUNG,OBLIQUEFISSURE,88.7913,-88.3493,944.5
LEFTLUNG,OBLIQUEFISSURE,88.7913,-78.779,954
LEFTLUNG,OBLIQUEFISSURE,83.3226,-97.9196,936.5
LEFTLUNG,OBLIQUEFISSURE,83.3226,-86.2985,955
LEFTLUNG,OBLIQUEFISSURE,83.3226,-80.1462,969.5
LEFTLUNG,OBLIQUEFISSURE,79.221,-99.2868,938
LEFTLUNG,OBLIQUEFISSURE,79.221,-91.0837,958
LEFTLUNG,OBLIQUEFISSURE,79.221,-84.2478,973
LEFTLUNG,OBLIQUEFISSURE,75.1194,-98.6032,945.5
LEFTLUNG,OBLIQUEFISSURE,75.1194,-90.4001,979.5
LEFTLUNG,OBLIQUEFISSURE,75.1194,-80.1462,987
LEFTLUNG,OBLIQUEFISSURE,70.3343,-99.9704,950
LEFTLUNG,OBLIQUEFISSURE,70.3343,-91.0837,984.5
LEFTLUNG,OBLIQUEFISSURE,70.3343,-80.8298,997
LEFTLUNG,OBLIQUEFISSURE,66.2327,-99.2868,974.5
LEFTLUNG,OBLIQUEFISSURE,66.2327,-91.0837,990
LEFTLUNG,OBLIQUEFISSURE,66.2327,-80.1462,1005
LEFTLUNG,OBLIQUEFISSURE,60.764,-89.7165,997
LEFTLUNG,OBLIQUEFISSURE,60.764,-82.197,1015.5
LEFTLUNG,OBLIQUEFISSURE,55.9788,-94.5017,996
LEFTLUNG,OBLIQUEFISSURE,55.9788,-84.9313,1015.5
LEFTLUNG,OBLIQUEFISSURE,51.8772,-90.4001,1006
LEFTLUNG,OBLIQUEFISSURE,51.8772,-86.9821,1018
LEFTLUNG,OBLIQUEFISSURE,47.0921,-95.1853,1004.5
LEFTLUNG,OBLIQUEFISSURE,47.0921,-88.3493,1022
LEFTLUNG,OBLIQUEFISSURE,42.3069,-98.6032,1005.5
LEFTLUNG,OBLIQUEFISSURE,42.3069,-89.0329,1032
LEFTLUNG,OBLIQUEFISSURE,37.5218,-101.338,1008
LEFTLUNG,OBLIQUEFISSURE,37.5218,-90.4001,1034.5
LEFTLUNG,OBLIQUEFISSURE,33.4202,-101.338,1013
LEFTLUNG,OBLIQUEFISSURE,33.4202,-93.8181,1031
LEFTLUNG,OBLIQUEFISSURE,29.3186,-102.021,1017.5
LEFTLUNG,OBLIQUEFISSURE,29.3186,-97.236,1029.5
LEFTLUNG,OBLIQUEFISSURE,25.9007,-104.756,1020.5
LEFTLUNG,OBLIQUEFISSURE,25.9007,-99.2868,1029
RIGHTLUNG,HORIZONTALFISSURE,-89.6267,-137.568,971.5
RIGHTLUNG,HORIZONTALFISSURE,-89.6267,-125.263,971.5
RIGHTLUNG,HORIZONTALFISSURE,-89.6267,-117.06,969.5
RIGHTLUNG,HORIZONTALFISSURE,-86.8923,-142.353,970.5
RIGHTLUNG,HORIZONTALFISSURE,-86.8923,-131.416,971
RIGHTLUNG,HORIZONTALFISSURE,-80.0564,-146.455,971
RIGHTLUNG,HORIZONTALFISSURE,-80.0564,-122.529,970.5
RIGHTLUNG,HORIZONTALFISSURE,-80.0564,-116.377,969
RIGHTLUNG,HORIZONTALFISSURE,-76.6384,-162.177,968.5
RIGHTLUNG,HORIZONTALFISSURE,-76.6384,-151.24,972
RIGHTLUNG,HORIZONTALFISSURE,-76.6384,-129.365,971.5
RIGHTLUNG,HORIZONTALFISSURE,-72.5369,-158.076,969
