Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-100.127,-186.51,-938.5
RIGHTLUNG,OBLIQUEFISSURE,-100.127,-158.022,-926
RIGHTLUNG,OBLIQUEFISSURE,-100.127,-139.029,-911
RIGHTLUNG,OBLIQUEFISSURE,-100.127,-115.654,-901
RIGHTLUNG,OBLIQUEFISSURE,-92.8225,-191.623,-939.5
RIGHTLUNG,OBLIQUEFISSURE,-92.8225,-161.674,-928
RIGHTLUNG,OBLIQUEFISSURE,-92.8225,-150.717,-918.5
RIGHTLUNG,OBLIQUEFISSURE,-92.8225,-127.342,-903.5
RIGHTLUNG,OBLIQUEFISSURE,-92.8225,-103.967,-891.5
RIGHTLUNG,OBLIQUEFISSURE,-84.7873,-191.623,-941
RIGHTLUNG,OBLIQUEFISSURE,-84.7873,-165.326,-930
RIGHTLUNG,OBLIQUEFISSURE,-84.7873,-151.447,-915.5
RIGHTLUNG,OBLIQUEFISSURE,-84.7873,-119.307,-898.5
RIGHTLUNG,OBLIQUEFISSURE,-84.7873,-95.9318,-885
RIGHTLUNG,OBLIQUEFISSURE,-76.7522,-188.701,-941.5
RIGHTLUNG,OBLIQUEFISSURE,-76.7522,-166.057,-931
RIGHTLUNG,OBLIQUEFISSURE,-76.7522,-149.256,-912.5
RIGHTLUNG,OBLIQUEFISSURE,-76.7522,-122.959,-897
RIGHTLUNG,OBLIQUEFISSURE,-76.7522,-90.8185,-881
RIGHTLUNG,OBLIQUEFISSURE,-73.0998,-190.162,-944
RIGHTLUNG,OBLIQUEFISSURE,-73.0998,-168.979,-933.5
RIGHTLUNG,OBLIQUEFISSURE,-73.0998,-147.795,-911.5
RIGHTLUNG,OBLIQUEFISSURE,-73.0998,-122.229,-895
RIGHTLUNG,OBLIQUEFISSURE,-73.0998,-93.0099,-881.5
RIGHTLUNG,OBLIQUEFISSURE,-69.4475,-189.432,-943
RIGHTLUNG,OBLIQUEFISSURE,-69.4475,-170.44,-934.5
RIGHTLUNG,OBLIQUEFISSURE,-69.4475,-141.951,-905
RIGHTLUNG,OBLIQUEFISSURE,-69.4475,-110.541,-889
RIGHTLUNG,OBLIQUEFISSURE,-69.4475,-91.549,-878.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3342,-184.319,-944
RIGHTLUNG,OBLIQUEFISSURE,-64.3342,-160.213,-928.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3342,-149.256,-912.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3342,-137.569,-897.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3342,-110.541,-889
RIGHTLUNG,OBLIQUEFISSURE,-64.3342,-89.3576,-877
RIGHTLUNG,OBLIQUEFISSURE,-55.5686,-181.397,-946.5
RIGHTLUNG,OBLIQUEFISSURE,-55.5686,-164.596,-935.5
RIGHTLUNG,OBLIQUEFISSURE,-55.5686,-150.717,-904
RIGHTLUNG,OBLIQUEFISSURE,-55.5686,-126.611,-890.5
RIGHTLUNG,OBLIQUEFISSURE,-55.5686,-102.506,-880.5
RIGHTLUNG,OBLIQUEFISSURE,-55.5686,-90.8185,-870
RIGHTLUNG,OBLIQUEFISSURE,-50.4553,-183.588,-950.5
RIGHTLUNG,OBLIQUEFISSURE,-50.4553,-169.709,-943
RIGHTLUNG,OBLIQUEFISSURE,-50.4553,-143.412,-897.5
RIGHTLUNG,OBLIQUEFISSURE,-50.4553,-124.42,-887.5
RIGHTLUNG,OBLIQUEFISSURE,-50.4553,-101.776,-879.5
RIGHTLUNG,OBLIQUEFISSURE,-51.1857,-90.088,-867.5
RIGHTLUNG,OBLIQUEFISSURE,-43.1506,-142.682,-893.5
RIGHTLUNG,OBLIQUEFISSURE,-43.1506,-124.42,-885.5
RIGHTLUNG,OBLIQUEFISSURE,-43.1506,-100.315,-875
RIGHTLUNG,OBLIQUEFISSURE,-43.1506,-92.2794,-863
RIGHTLUNG,OBLIQUEFISSURE,-33.6545,-179.936,-947
RIGHTLUNG,OBLIQUEFISSURE,-42.4201,-176.283,-950.5
RIGHTLUNG,OBLIQUEFISSURE,-42.4201,-160.944,-940
RIGHTLUNG,OBLIQUEFISSURE,-42.4201,-154.369,-933
RIGHTLUNG,OBLIQUEFISSURE,-45.342,-172.631,-947
RIGHTLUNG,OBLIQUEFISSURE,-45.342,-166.787,-942
RIGHTLUNG,OBLIQUEFISSURE,-35.1154,-130.264,-884
RIGHTLUNG,OBLIQUEFISSURE,-35.1154,-107.619,-877.5
RIGHTLUNG,OBLIQUEFISSURE,-35.1154,-96.6623,-863.5
RIGHTLUNG,OBLIQUEFISSURE,-30.7326,-127.342,-881.5
RIGHTLUNG,OBLIQUEFISSURE,-30.7326,-109.08,-875.5
RIGHTLUNG,OBLIQUEFISSURE,-30.7326,-101.045,-867
RIGHTLUNG,OBLIQUEFISSURE,-25.6193,-138.299,-883
RIGHTLUNG,OBLIQUEFISSURE,-25.6193,-114.924,-876
RIGHTLUNG,OBLIQUEFISSURE,-25.6193,-103.967,-865
RIGHTLUNG,OBLIQUEFISSURE,-17.5842,-127.342,-876.5
RIGHTLUNG,OBLIQUEFISSURE,-17.5842,-114.194,-869.5
RIGHTLUNG,OBLIQUEFISSURE,-17.5842,-108.35,-863.5
RIGHTLUNG,OBLIQUEFISSURE,-13.2014,-130.264,-876
RIGHTLUNG,OBLIQUEFISSURE,-13.2014,-116.385,-867
RIGHTLUNG,OBLIQUEFISSURE,-7.3576,-134.647,-873
RIGHTLUNG,OBLIQUEFISSURE,-7.3576,-128.072,-872.5
RIGHTLUNG,OBLIQUEFISSURE,-7.3576,-148.526,-869
LEFTLUNG,OBLIQUEFISSURE,113.9,-178.475,-969.5
LEFTLUNG,OBLIQUEFISSURE,113.9,-158.752,-950.5
LEFTLUNG,OBLIQUEFISSURE,113.9,-133.186,-915
LEFTLUNG,OBLIQUEFISSURE,113.9,-119.307,-891.5
LEFTLUNG,OBLIQUEFISSURE,108.787,-173.362,-961
