Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-127.845,-222.716,-245.5
RIGHTLUNG,OBLIQUEFISSURE,-127.845,-202.41,-218.5
RIGHTLUNG,OBLIQUEFISSURE,-127.845,-188.14,-206
RIGHTLUNG,OBLIQUEFISSURE,-123.455,-216.13,-230
RIGHTLUNG,OBLIQUEFISSURE,-123.455,-191.982,-202.5
RIGHTLUNG,OBLIQUEFISSURE,-123.455,-178.261,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-119.613,-222.716,-232.5
RIGHTLUNG,OBLIQUEFISSURE,-119.613,-192.531,-202
RIGHTLUNG,OBLIQUEFISSURE,-119.613,-168.931,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-115.771,-222.716,-232.5
RIGHTLUNG,OBLIQUEFISSURE,-115.771,-196.921,-204
RIGHTLUNG,OBLIQUEFISSURE,-115.771,-163.992,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-115.771,-156.857,-177.5
RIGHTLUNG,OBLIQUEFISSURE,-112.478,-218.874,-224.5
RIGHTLUNG,OBLIQUEFISSURE,-112.478,-184.847,-192
RIGHTLUNG,OBLIQUEFISSURE,-112.478,-159.052,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-112.478,-146.429,-172
RIGHTLUNG,OBLIQUEFISSURE,-105.892,-215.581,-219.5
RIGHTLUNG,OBLIQUEFISSURE,-105.892,-184.298,-190
RIGHTLUNG,OBLIQUEFISSURE,-105.892,-153.015,-172
RIGHTLUNG,OBLIQUEFISSURE,-105.892,-142.039,-165.5
RIGHTLUNG,OBLIQUEFISSURE,-102.05,-212.837,-216
RIGHTLUNG,OBLIQUEFISSURE,-102.05,-181.005,-191
RIGHTLUNG,OBLIQUEFISSURE,-102.05,-151.917,-170.5
RIGHTLUNG,OBLIQUEFISSURE,-94.9155,-207.898,-213.5
RIGHTLUNG,OBLIQUEFISSURE,-94.9155,-174.968,-186.5
RIGHTLUNG,OBLIQUEFISSURE,-94.9155,-150.82,-170
RIGHTLUNG,OBLIQUEFISSURE,-94.9155,-140.941,-165
RIGHTLUNG,OBLIQUEFISSURE,-91.6225,-208.996,-215.5
RIGHTLUNG,OBLIQUEFISSURE,-91.6225,-176.066,-189.5
RIGHTLUNG,OBLIQUEFISSURE,-91.6225,-148.076,-167
RIGHTLUNG,OBLIQUEFISSURE,-91.6225,-136.55,-162
RIGHTLUNG,OBLIQUEFISSURE,-88.3295,-202.958,-208.5
