Region,Type,X point, Y point, Z point
UNDEFINEDREGION,UNDEFINEDTYPE,-101.856,-163.551,-182.5
RIGHTLUNG,OBLIQUEFISSURE,-101.856,-140.856,-165
RIGHTLUNG,OBLIQUEFISSURE,-102.504,-149.934,-171
RIGHTLUNG,OBLIQUEFISSURE,-102.504,-138.91,-163
RIGHTLUNG,OBLIQUEFISSURE,-99.2619,-173.277,-188
RIGHTLUNG,OBLIQUEFISSURE,-99.2619,-146.691,-168
RIGHTLUNG,OBLIQUEFISSURE,-99.2619,-128.535,-153.5
RIGHTLUNG,OBLIQUEFISSURE,-96.6681,-179.113,-191.5
RIGHTLUNG,OBLIQUEFISSURE,-96.6681,-148.637,-168.5
RIGHTLUNG,OBLIQUEFISSURE,-94.0744,-177.816,-191
RIGHTLUNG,OBLIQUEFISSURE,-94.0744,-151.231,-169
RIGHTLUNG,OBLIQUEFISSURE,-94.0744,-127.238,-150.5
RIGHTLUNG,OBLIQUEFISSURE,-91.4806,-186.246,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-91.4806,-155.77,-171.5
RIGHTLUNG,OBLIQUEFISSURE,-91.4806,-123.348,-148
RIGHTLUNG,OBLIQUEFISSURE,-88.8869,-175.223,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-88.8869,-138.91,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-86.9416,-119.457,-142
RIGHTLUNG,OBLIQUEFISSURE,-86.9416,-105.191,-132
RIGHTLUNG,OBLIQUEFISSURE,-83.0509,-166.793,-179
RIGHTLUNG,OBLIQUEFISSURE,-83.0509,-135.668,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-83.0509,-116.863,-136
RIGHTLUNG,OBLIQUEFISSURE,-83.0509,-105.191,-131.5
RIGHTLUNG,OBLIQUEFISSURE,-79.8088,-173.277,-183
RIGHTLUNG,OBLIQUEFISSURE,-79.8088,-146.691,-166
RIGHTLUNG,OBLIQUEFISSURE,-79.8088,-130.481,-152.5
RIGHTLUNG,OBLIQUEFISSURE,-79.8088,-111.027,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-76.5666,-159.012,-175
RIGHTLUNG,OBLIQUEFISSURE,-76.5666,-131.777,-153.5
RIGHTLUNG,OBLIQUEFISSURE,-76.5666,-103.895,-124.5
RIGHTLUNG,OBLIQUEFISSURE,-76.5666,-96.1133,-120.5
