Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-154.798,-270.273,-243
RIGHTLUNG,OBLIQUEFISSURE,-154.798,-245.509,-214
RIGHTLUNG,OBLIQUEFISSURE,-154.798,-226.337,-186
RIGHTLUNG,OBLIQUEFISSURE,-154.798,-208.763,-173
RIGHTLUNG,OBLIQUEFISSURE,-154.798,-198.378,-163
RIGHTLUNG,OBLIQUEFISSURE,-149.206,-282.255,-255
RIGHTLUNG,OBLIQUEFISSURE,-149.206,-258.29,-230
RIGHTLUNG,OBLIQUEFISSURE,-149.206,-230.332,-191
RIGHTLUNG,OBLIQUEFISSURE,-149.206,-214.355,-173
RIGHTLUNG,OBLIQUEFISSURE,-149.206,-189.591,-154
RIGHTLUNG,OBLIQUEFISSURE,-144.414,-267.876,-239.5
RIGHTLUNG,OBLIQUEFISSURE,-144.414,-239.917,-206
RIGHTLUNG,OBLIQUEFISSURE,-144.414,-219.148,-178
RIGHTLUNG,OBLIQUEFISSURE,-144.414,-183.201,-147
RIGHTLUNG,OBLIQUEFISSURE,-138.822,-267.078,-238
RIGHTLUNG,OBLIQUEFISSURE,-138.822,-243.113,-211.5
RIGHTLUNG,OBLIQUEFISSURE,-138.822,-218.349,-177
RIGHTLUNG,OBLIQUEFISSURE,-138.822,-180.005,-144
RIGHTLUNG,OBLIQUEFISSURE,-132.431,-273.468,-239
RIGHTLUNG,OBLIQUEFISSURE,-132.431,-243.113,-211
RIGHTLUNG,OBLIQUEFISSURE,-132.431,-216.751,-174.5
RIGHTLUNG,OBLIQUEFISSURE,-132.431,-186.396,-146.5
RIGHTLUNG,OBLIQUEFISSURE,-132.431,-174.414,-136.5
RIGHTLUNG,OBLIQUEFISSURE,-126.839,-265.48,-232.5
RIGHTLUNG,OBLIQUEFISSURE,-126.839,-240.716,-209
RIGHTLUNG,OBLIQUEFISSURE,-126.839,-222.343,-178
RIGHTLUNG,OBLIQUEFISSURE,-126.839,-197.58,-153
RIGHTLUNG,OBLIQUEFISSURE,-126.839,-172.816,-135
RIGHTLUNG,OBLIQUEFISSURE,-122.046,-276.664,-240.5
RIGHTLUNG,OBLIQUEFISSURE,-122.046,-243.912,-211.5
RIGHTLUNG,OBLIQUEFISSURE,-122.046,-223.142,-176
RIGHTLUNG,OBLIQUEFISSURE,-122.046,-183.999,-142
RIGHTLUNG,OBLIQUEFISSURE,-122.046,-167.224,-131
RIGHTLUNG,OBLIQUEFISSURE,-116.455,-270.273,-233.5
RIGHTLUNG,OBLIQUEFISSURE,-116.455,-240.716,-206.5
RIGHTLUNG,OBLIQUEFISSURE,-116.455,-221.544,-174
RIGHTLUNG,OBLIQUEFISSURE,-116.455,-198.378,-151.5
RIGHTLUNG,OBLIQUEFISSURE,-116.455,-166.425,-126
RIGHTLUNG,OBLIQUEFISSURE,-111.662,-279.06,-241.5
RIGHTLUNG,OBLIQUEFISSURE,-111.662,-239.119,-205.5
RIGHTLUNG,OBLIQUEFISSURE,-111.662,-218.349,-167
RIGHTLUNG,OBLIQUEFISSURE,-111.662,-185.597,-141.5
RIGHTLUNG,OBLIQUEFISSURE,-111.662,-163.23,-122.5
RIGHTLUNG,OBLIQUEFISSURE,-106.07,-271.072,-238
RIGHTLUNG,OBLIQUEFISSURE,-106.07,-243.113,-211.5
RIGHTLUNG,OBLIQUEFISSURE,-106.07,-228.734,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-106.07,-214.355,-159
RIGHTLUNG,OBLIQUEFISSURE,-106.07,-176.011,-134.5
RIGHTLUNG,OBLIQUEFISSURE,-106.07,-165.626,-125.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-276.664,-238.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-244.71,-209.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-231.929,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-223.142,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-195.183,-141.5
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-170.419,-122
RIGHTLUNG,OBLIQUEFISSURE,-97.2827,-161.632,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-92.4897,-286.249,-245.5
RIGHTLUNG,OBLIQUEFISSURE,-92.4897,-254.296,-217.5
RIGHTLUNG,OBLIQUEFISSURE,-92.4897,-233.527,-197.5
