Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-119.348,-234.59,-243.5
RIGHTLUNG,OBLIQUEFISSURE,-119.348,-204.731,-213
RIGHTLUNG,OBLIQUEFISSURE,-119.348,-171.317,-186
RIGHTLUNG,OBLIQUEFISSURE,-119.348,-142.168,-163.5
RIGHTLUNG,OBLIQUEFISSURE,-113.661,-242.411,-256.5
RIGHTLUNG,OBLIQUEFISSURE,-113.661,-235.301,-241.5
RIGHTLUNG,OBLIQUEFISSURE,-113.661,-216.106,-220
RIGHTLUNG,OBLIQUEFISSURE,-113.661,-178.426,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-113.661,-142.879,-162.5
RIGHTLUNG,OBLIQUEFISSURE,-113.661,-130.082,-150.5
RIGHTLUNG,OBLIQUEFISSURE,-108.684,-236.012,-247.5
RIGHTLUNG,OBLIQUEFISSURE,-108.684,-223.926,-228
RIGHTLUNG,OBLIQUEFISSURE,-108.684,-189.801,-202
RIGHTLUNG,OBLIQUEFISSURE,-108.684,-164.918,-179.5
RIGHTLUNG,OBLIQUEFISSURE,-108.684,-130.082,-150
RIGHTLUNG,OBLIQUEFISSURE,-108.684,-124.395,-143.5
RIGHTLUNG,OBLIQUEFISSURE,-104.418,-231.746,-238.5
RIGHTLUNG,OBLIQUEFISSURE,-104.418,-217.528,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-104.418,-194.778,-204
RIGHTLUNG,OBLIQUEFISSURE,-104.418,-169.184,-184
RIGHTLUNG,OBLIQUEFISSURE,-104.418,-142.879,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-104.418,-121.551,-141.5
RIGHTLUNG,OBLIQUEFISSURE,-97.309,-225.348,-232
RIGHTLUNG,OBLIQUEFISSURE,-97.309,-206.864,-214
RIGHTLUNG,OBLIQUEFISSURE,-97.309,-177.715,-194.5
RIGHTLUNG,OBLIQUEFISSURE,-97.309,-150.7,-164.5
RIGHTLUNG,OBLIQUEFISSURE,-97.309,-129.371,-144.5
RIGHTLUNG,OBLIQUEFISSURE,-97.309,-122.262,-139
RIGHTLUNG,OBLIQUEFISSURE,-92.3324,-216.106,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-92.3324,-193.356,-204.5
RIGHTLUNG,OBLIQUEFISSURE,-92.3324,-174.16,-189.5
RIGHTLUNG,OBLIQUEFISSURE,-92.3324,-146.434,-158
RIGHTLUNG,OBLIQUEFISSURE,-92.3324,-122.973,-138
RIGHTLUNG,OBLIQUEFISSURE,-92.3324,-115.864,-133
RIGHTLUNG,OBLIQUEFISSURE,-85.2231,-209.707,-219.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2231,-189.09,-201.5
RIGHTLUNG,OBLIQUEFISSURE,-85.2231,-164.918,-184
RIGHTLUNG,OBLIQUEFISSURE,-85.2231,-133.637,-147
RIGHTLUNG,OBLIQUEFISSURE,-85.2231,-113.731,-132
RIGHTLUNG,OBLIQUEFISSURE,-79.5356,-200.465,-213
RIGHTLUNG,OBLIQUEFISSURE,-79.5356,-183.403,-202
RIGHTLUNG,OBLIQUEFISSURE,-79.5356,-168.473,-192
RIGHTLUNG,OBLIQUEFISSURE,-79.5356,-147.145,-158
RIGHTLUNG,OBLIQUEFISSURE,-79.5356,-116.575,-132
RIGHTLUNG,OBLIQUEFISSURE,-73.8481,-138.614,-150.5
RIGHTLUNG,OBLIQUEFISSURE,-73.8481,-122.262,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-73.8481,-106.621,-122.5
RIGHTLUNG,OBLIQUEFISSURE,-64.6059,-149.989,-160.5
RIGHTLUNG,OBLIQUEFISSURE,-64.6059,-124.395,-136.5
RIGHTLUNG,OBLIQUEFISSURE,-64.6059,-105.91,-125
RIGHTLUNG,OBLIQUEFISSURE,-60.3402,-153.543,-163
RIGHTLUNG,OBLIQUEFISSURE,-60.3402,-130.793,-143
