Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-91.6474,-125.179,-353.799
RIGHTLUNG,OBLIQUEFISSURE,-91.6474,-102.839,-339.098
RIGHTLUNG,OBLIQUEFISSURE,-91.6474,-95.784,-336.298
RIGHTLUNG,OBLIQUEFISSURE,-84.0048,-131.057,-353.799
RIGHTLUNG,OBLIQUEFISSURE,-84.0048,-106.366,-336.298
RIGHTLUNG,OBLIQUEFISSURE,-84.0048,-95.1961,-332.798
RIGHTLUNG,OBLIQUEFISSURE,-78.7138,-130.47,-349.598
RIGHTLUNG,OBLIQUEFISSURE,-78.7138,-105.778,-332.798
RIGHTLUNG,OBLIQUEFISSURE,-78.7138,-93.4324,-331.398
RIGHTLUNG,OBLIQUEFISSURE,-78.7138,-84.6141,-322.998
RIGHTLUNG,OBLIQUEFISSURE,-78.7138,-78.1473,-315.998
RIGHTLUNG,OBLIQUEFISSURE,-72.247,-135.173,-353.799
RIGHTLUNG,OBLIQUEFISSURE,-72.247,-114.597,-336.298
RIGHTLUNG,OBLIQUEFISSURE,-72.247,-104.014,-334.198
RIGHTLUNG,OBLIQUEFISSURE,-72.247,-89.9051,-325.798
RIGHTLUNG,OBLIQUEFISSURE,-72.247,-73.4442,-306.898
RIGHTLUNG,OBLIQUEFISSURE,-65.1923,-131.645,-353.799
RIGHTLUNG,OBLIQUEFISSURE,-65.1923,-118.712,-343.998
RIGHTLUNG,OBLIQUEFISSURE,-65.1923,-103.427,-334.898
RIGHTLUNG,OBLIQUEFISSURE,-65.1923,-83.4383,-322.998
RIGHTLUNG,OBLIQUEFISSURE,-65.1923,-72.8563,-301.298
RIGHTLUNG,OBLIQUEFISSURE,-58.7255,-127.53,-352.399
RIGHTLUNG,OBLIQUEFISSURE,-58.7255,-109.306,-337.698
RIGHTLUNG,OBLIQUEFISSURE,-58.7255,-87.5535,-328.598
RIGHTLUNG,OBLIQUEFISSURE,-58.7255,-74.032,-297.798
RIGHTLUNG,OBLIQUEFISSURE,-58.7255,-65.2137,-288.697
RIGHTLUNG,OBLIQUEFISSURE,-51.6708,-125.179,-353.799
RIGHTLUNG,OBLIQUEFISSURE,-51.6708,-112.833,-343.998
RIGHTLUNG,OBLIQUEFISSURE,-51.6708,-104.014,-339.798
RIGHTLUNG,OBLIQUEFISSURE,-51.6708,-86.3778,-329.298
RIGHTLUNG,OBLIQUEFISSURE,-51.6708,-72.8563,-301.298
RIGHTLUNG,OBLIQUEFISSURE,-51.6708,-64.6258,-281.697
RIGHTLUNG,OBLIQUEFISSURE,-44.0282,-122.827,-355.199
RIGHTLUNG,OBLIQUEFISSURE,-44.0282,-106.366,-343.998
RIGHTLUNG,OBLIQUEFISSURE,-44.0282,-71.6805,-290.797
RIGHTLUNG,OBLIQUEFISSURE,-44.0282,-64.6258,-280.997
RIGHTLUNG,OBLIQUEFISSURE,-40.5009,-121.063,-358.699
RIGHTLUNG,OBLIQUEFISSURE,-40.5009,-108.13,-347.498
RIGHTLUNG,OBLIQUEFISSURE,-40.5009,-97.5477,-343.998
RIGHTLUNG,OBLIQUEFISSURE,-40.5009,-75.2078,-291.497
RIGHTLUNG,OBLIQUEFISSURE,-40.5009,-62.2742,-277.497
RIGHTLUNG,OBLIQUEFISSURE,-36.3856,-116.36,-357.999
RIGHTLUNG,OBLIQUEFISSURE,-36.3856,-104.602,-348.198
RIGHTLUNG,OBLIQUEFISSURE,-36.3856,-96.9598,-346.098
RIGHTLUNG,OBLIQUEFISSURE,-24.6278,-115.184,-364.999
RIGHTLUNG,OBLIQUEFISSURE,-24.6278,-97.5477,-352.399
RIGHTLUNG,OBLIQUEFISSURE,-24.6278,-93.4324,-348.198
RIGHTLUNG,OBLIQUEFISSURE,-20.5126,-102.839,-356.599
RIGHTLUNG,OBLIQUEFISSURE,-20.5126,-94.6082,-349.598
RIGHTLUNG,OBLIQUEFISSURE,-54.6102,-76.9715,-304.798
RIGHTLUNG,OBLIQUEFISSURE,-54.6102,-65.2137,-283.097
UNDEFINEDREGION,UNDEFINEDTYPE,-54.6102,-57.5711,-277.497
RIGHTLUNG,OBLIQUEFISSURE,-58.1376,-85.202,-323.698
RIGHTLUNG,OBLIQUEFISSURE,-58.1376,-72.8563,-294.998
UNDEFINEDREGION,UNDEFINEDTYPE,-58.1376,-56.3953,-276.097
RIGHTLUNG,OBLIQUEFISSURE,-49.3192,-81.6746,-325.098
RIGHTLUNG,OBLIQUEFISSURE,-49.3192,-70.5047,-287.297
RIGHTLUNG,OBLIQUEFISSURE,-49.3192,-62.2742,-279.597
RIGHTLUNG,OBLIQUEFISSURE,-41.6766,-74.6199,-291.497
RIGHTLUNG,OBLIQUEFISSURE,-41.6766,-59.9227,-276.097
LEFTLUNG,OBLIQUEFISSURE,81.1926,-105.778,-311.798
LEFTLUNG,OBLIQUEFISSURE,81.1926,-91.6688,-255.097
LEFTLUNG,OBLIQUEFISSURE,81.1926,-84.6141,-231.296
LEFTLUNG,OBLIQUEFISSURE,72.9621,-95.1961,-297.098
LEFTLUNG,OBLIQUEFISSURE,72.9621,-89.3172,-242.497
LEFTLUNG,OBLIQUEFISSURE,72.9621,-79.3231,-225.696
LEFTLUNG,OBLIQUEFISSURE,66.4953,-91.0809,-256.497
LEFTLUNG,OBLIQUEFISSURE,66.4953,-84.6141,-226.396
LEFTLUNG,OBLIQUEFISSURE,66.4953,-79.911,-224.296
LEFTLUNG,OBLIQUEFISSURE,62.968,-92.8446,-256.497
LEFTLUNG,OBLIQUEFISSURE,62.968,-89.3172,-250.897
LEFTLUNG,OBLIQUEFISSURE,62.968,-84.0262,-225.696
LEFTLUNG,OBLIQUEFISSURE,62.968,-78.7352,-222.896
LEFTLUNG,OBLIQUEFISSURE,59.4406,-89.3172,-254.397
LEFTLUNG,OBLIQUEFISSURE,59.4406,-84.0262,-227.096
LEFTLUNG,OBLIQUEFISSURE,52.3859,-90.493,-236.197
LEFTLUNG,OBLIQUEFISSURE,52.3859,-83.4383,-220.796
LEFTLUNG,OBLIQUEFISSURE,48.8586,-89.9051,-236.197
LEFTLUNG,OBLIQUEFISSURE,48.8586,-86.3778,-220.096
RIGHTLUNG,OBLIQUEFISSURE,-102.229,-125.179,-368.499
RIGHTLUNG,OBLIQUEFISSURE,-102.229,-112.245,-362.899
RIGHTLUNG,OBLIQUEFISSURE,-104.581,-124.003,-374.099
RIGHTLUNG,OBLIQUEFISSURE,-104.581,-112.833,-367.099
RIGHTLUNG,OBLIQUEFISSURE,-105.757,-121.063,-374.099
RIGHTLUNG,OBLIQUEFISSURE,-105.757,-115.772,-369.899
RIGHTLUNG,OBLIQUEFISSURE,-102.817,-126.942,-370.599
RIGHTLUNG,OBLIQUEFISSURE,-102.817,-116.36,-363.599
RIGHTLUNG,OBLIQUEFISSURE,-99.29,-128.706,-364.299
RIGHTLUNG,OBLIQUEFISSURE,-100.466,-124.591,-364.299
RIGHTLUNG,OBLIQUEFISSURE,-100.466,-116.36,-358.699
RIGHTLUNG,HORIZONTALFISSURE,-101.642,-138.7,-299.898
RIGHTLUNG,HORIZONTALFISSURE,-101.642,-118.124,-297.098
RIGHTLUNG,HORIZONTALFISSURE,-95.1747,-150.458,-301.298
RIGHTLUNG,HORIZONTALFISSURE,-95.1747,-109.306,-293.598
RIGHTLUNG,HORIZONTALFISSURE,-95.1747,-98.7235,-292.197
RIGHTLUNG,HORIZONTALFISSURE,-87.5321,-153.985,-301.998
RIGHTLUNG,HORIZONTALFISSURE,-87.5321,-102.839,-292.197
RIGHTLUNG,HORIZONTALFISSURE,-87.5321,-89.3172,-290.097
RIGHTLUNG,HORIZONTALFISSURE,-87.5321,-84.0262,-290.097
RIGHTLUNG,HORIZONTALFISSURE,-81.6532,-155.749,-301.998
RIGHTLUNG,HORIZONTALFISSURE,-81.6532,-137.524,-299.198
RIGHTLUNG,HORIZONTALFISSURE,-81.6532,-108.13,-298.498
RIGHTLUNG,HORIZONTALFISSURE,-81.6532,-94.0203,-291.497
RIGHTLUNG,HORIZONTALFISSURE,-81.6532,-84.6141,-290.097
RIGHTLUNG,HORIZONTALFISSURE,-75.1864,-153.985,-303.398
RIGHTLUNG,HORIZONTALFISSURE,-75.1864,-116.948,-301.298
RIGHTLUNG,HORIZONTALFISSURE,-75.1864,-100.487,-298.498
RIGHTLUNG,HORIZONTALFISSURE,-75.1864,-85.7899,-290.097
RIGHTLUNG,HORIZONTALFISSURE,-75.1864,-74.6199,-289.397
RIGHTLUNG,HORIZONTALFISSURE,-69.3075,-151.634,-304.098
RIGHTLUNG,HORIZONTALFISSURE,-69.3075,-92.2567,-298.498
RIGHTLUNG,HORIZONTALFISSURE,-69.3075,-83.4383,-292.197
RIGHTLUNG,HORIZONTALFISSURE,-61.6649,-156.337,-306.198
RIGHTLUNG,HORIZONTALFISSURE,-61.6649,-147.518,-307.598
RIGHTLUNG,HORIZONTALFISSURE,-35.2098,-156.337,-319.498
RIGHTLUNG,HORIZONTALFISSURE,-35.2098,-144.579,-317.398
RIGHTLUNG,HORIZONTALFISSURE,-26.9794,-151.634,-325.098
