Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-120.607,-142.674,1182.09
RIGHTLUNG,OBLIQUEFISSURE,-120.607,-123.298,1201.69
RIGHTLUNG,OBLIQUEFISSURE,-120.607,-105.74,1217.79
RIGHTLUNG,OBLIQUEFISSURE,-120.607,-96.0524,1218.49
RIGHTLUNG,OBLIQUEFISSURE,-117.58,-150.545,1174.39
RIGHTLUNG,OBLIQUEFISSURE,-117.58,-125.115,1203.79
RIGHTLUNG,OBLIQUEFISSURE,-117.58,-105.134,1217.79
RIGHTLUNG,OBLIQUEFISSURE,-117.58,-84.5485,1221.29
RIGHTLUNG,OBLIQUEFISSURE,-117.58,-81.5211,1224.09
RIGHTLUNG,OBLIQUEFISSURE,-114.552,-156.599,1168.79
RIGHTLUNG,OBLIQUEFISSURE,-114.552,-132.381,1195.39
RIGHTLUNG,OBLIQUEFISSURE,-114.552,-105.74,1219.19
RIGHTLUNG,OBLIQUEFISSURE,-114.552,-79.0993,1227.59
RIGHTLUNG,OBLIQUEFISSURE,-114.552,-74.2555,1231.79
RIGHTLUNG,OBLIQUEFISSURE,-108.498,-165.681,1160.39
RIGHTLUNG,OBLIQUEFISSURE,-108.498,-140.252,1189.79
RIGHTLUNG,OBLIQUEFISSURE,-108.498,-108.162,1219.19
RIGHTLUNG,OBLIQUEFISSURE,-108.498,-89.3922,1224.09
RIGHTLUNG,OBLIQUEFISSURE,-108.498,-63.3571,1239.49
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-174.158,1153.39
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-143.884,1187.69
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-107.556,1221.29
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-67.5953,1240.89
RIGHTLUNG,OBLIQUEFISSURE,-100.627,-53.6696,1249.29
RIGHTLUNG,OBLIQUEFISSURE,-93.361,-182.029,1140.79
RIGHTLUNG,OBLIQUEFISSURE,-93.361,-165.681,1168.09
RIGHTLUNG,OBLIQUEFISSURE,-93.361,-126.326,1207.29
RIGHTLUNG,OBLIQUEFISSURE,-93.361,-105.74,1221.99
RIGHTLUNG,OBLIQUEFISSURE,-93.361,-60.9352,1247.19
RIGHTLUNG,OBLIQUEFISSURE,-93.361,-47.0094,1255.59
RIGHTLUNG,OBLIQUEFISSURE,-85.4899,-188.084,1133.8
RIGHTLUNG,OBLIQUEFISSURE,-85.4899,-167.498,1164.59
RIGHTLUNG,OBLIQUEFISSURE,-85.4899,-127.537,1204.49
RIGHTLUNG,OBLIQUEFISSURE,-85.4899,-94.236,1231.79
RIGHTLUNG,OBLIQUEFISSURE,-85.4899,-56.0914,1253.49
UNDEFINEDREGION,UNDEFINEDTYPE,-85.4899,-37.3219,1259.09
RIGHTLUNG,OBLIQUEFISSURE,-79.4353,-186.267,1137.29
RIGHTLUNG,OBLIQUEFISSURE,-79.4353,-151.756,1178.59
RIGHTLUNG,OBLIQUEFISSURE,-79.4353,-104.529,1224.79
RIGHTLUNG,OBLIQUEFISSURE,-79.4353,-59.1188,1253.49
RIGHTLUNG,OBLIQUEFISSURE,-79.4353,-37.9274,1265.39
RIGHTLUNG,OBLIQUEFISSURE,-72.1696,-188.084,1134.5
RIGHTLUNG,OBLIQUEFISSURE,-72.1696,-175.974,1158.29
RIGHTLUNG,OBLIQUEFISSURE,-72.1696,-136.619,1191.19
RIGHTLUNG,OBLIQUEFISSURE,-72.1696,-104.529,1228.99
RIGHTLUNG,OBLIQUEFISSURE,-72.1696,-70.6227,1250.69
RIGHTLUNG,OBLIQUEFISSURE,-72.1696,-39.7438,1266.09
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-183.24,1142.19
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-166.287,1164.59
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-131.775,1192.59
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-112.4,1214.99
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-92.4196,1239.49
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-62.1461,1257.69
RIGHTLUNG,OBLIQUEFISSURE,-66.1149,-37.3219,1268.89
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-182.029,1142.19
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-165.681,1165.29
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-130.564,1193.99
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-108.767,1221.99
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-74.861,1252.09
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-44.5875,1264.69
RIGHTLUNG,OBLIQUEFISSURE,-63.6931,-32.4781,1274.49
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-173.552,1160.39
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-132.986,1191.89
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-120.271,1199.59
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-106.345,1224.09
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-73.65,1252.79
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-48.8258,1263.99
RIGHTLUNG,OBLIQUEFISSURE,-61.8766,-37.3219,1270.29
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-180.818,1145.69
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-159.627,1171.59
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-137.224,1186.29
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-121.482,1197.49
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-103.318,1230.39
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-75.4664,1254.89
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-54.8805,1263.29
RIGHTLUNG,OBLIQUEFISSURE,-58.2438,-33.6891,1277.29
RIGHTLUNG,OBLIQUEFISSURE,-54.0056,-175.974,1157.59
RIGHTLUNG,OBLIQUEFISSURE,-54.0056,-149.334,1177.19
RIGHTLUNG,OBLIQUEFISSURE,-54.0056,-116.638,1198.89
RIGHTLUNG,OBLIQUEFISSURE,-54.0056,-74.2555,1260.49
RIGHTLUNG,OBLIQUEFISSURE,-54.0056,-49.4313,1266.09
