Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-120.93,19.4368,-249
RIGHTLUNG,OBLIQUEFISSURE,-120.93,36.1946,-237.75
RIGHTLUNG,OBLIQUEFISSURE,-120.93,49.9056,-229.625
RIGHTLUNG,OBLIQUEFISSURE,-120.93,56.761,-225.25
RIGHTLUNG,OBLIQUEFISSURE,-120.93,64.3782,-219.625
RIGHTLUNG,OBLIQUEFISSURE,-114.837,26.2923,-241.5
RIGHTLUNG,OBLIQUEFISSURE,-114.837,45.3352,-229
RIGHTLUNG,OBLIQUEFISSURE,-114.837,53.7141,-224
RIGHTLUNG,OBLIQUEFISSURE,-114.837,62.0931,-217.75
RIGHTLUNG,OBLIQUEFISSURE,-114.837,66.6634,-215.875
RIGHTLUNG,OBLIQUEFISSURE,-108.743,33.9095,-235.875
RIGHTLUNG,OBLIQUEFISSURE,-108.743,59.8079,-217.75
RIGHTLUNG,OBLIQUEFISSURE,-108.743,68.9485,-207.75
RIGHTLUNG,OBLIQUEFISSURE,-103.411,65.1399,-209
RIGHTLUNG,OBLIQUEFISSURE,-103.411,71.9954,-200.875
RIGHTLUNG,OBLIQUEFISSURE,-103.411,79.6126,-192.75
RIGHTLUNG,OBLIQUEFISSURE,-103.411,40.7649,-229
RIGHTLUNG,OBLIQUEFISSURE,-103.411,19.4368,-244
RIGHTLUNG,OBLIQUEFISSURE,-99.6023,21.7219,-242.125
RIGHTLUNG,OBLIQUEFISSURE,-99.6023,52.9524,-219.625
RIGHTLUNG,OBLIQUEFISSURE,-99.6023,67.4251,-202.75
RIGHTLUNG,OBLIQUEFISSURE,-99.6023,79.6126,-191.5
RIGHTLUNG,OBLIQUEFISSURE,-94.2703,62.0931,-207.75
RIGHTLUNG,OBLIQUEFISSURE,-94.2703,71.9954,-194.625
RIGHTLUNG,OBLIQUEFISSURE,-94.2703,79.6126,-180.875
RIGHTLUNG,OBLIQUEFISSURE,-94.2703,46.8587,-224
RIGHTLUNG,OBLIQUEFISSURE,-88.9382,58.2845,-211.5
RIGHTLUNG,OBLIQUEFISSURE,-88.9382,70.472,-189.625
RIGHTLUNG,OBLIQUEFISSURE,-88.9382,76.5657,-170.25
RIGHTLUNG,OBLIQUEFISSURE,-88.9382,38.4798,-228.375
RIGHTLUNG,OBLIQUEFISSURE,-88.9382,29.3391,-237.75
RIGHTLUNG,OBLIQUEFISSURE,-85.1297,42.2884,-226.5
RIGHTLUNG,OBLIQUEFISSURE,-85.1297,58.2845,-209
RIGHTLUNG,OBLIQUEFISSURE,-85.1297,65.9017,-192.75
RIGHTLUNG,OBLIQUEFISSURE,-85.1297,71.9954,-170.25
RIGHTLUNG,OBLIQUEFISSURE,-85.1297,71.2337,-182.125
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,53.7141,-215.25
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,62.0931,-197.75
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,65.1399,-186.5
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,68.9485,-170.25
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,72.7571,-160.25
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,81.136,-145.875
RIGHTLUNG,OBLIQUEFISSURE,-80.5593,84.1829,-142.75
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,9.53444,-252.125
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,23.2454,-243.375
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,37.718,-228.375
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,53.7141,-212.125
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,59.0462,-193.375
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,63.6165,-165.875
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,72.7571,-154.625
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,80.3743,-143.375
RIGHTLUNG,OBLIQUEFISSURE,-74.4656,85.7063,-132.75
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,30.1009,-236.5
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,42.2884,-224
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,55.2376,-204.625
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,59.0462,-170.25
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,70.472,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,79.6126,-140.25
RIGHTLUNG,OBLIQUEFISSURE,-69.8953,88.7532,-124.625
RIGHTLUNG,OBLIQUEFISSURE,-65.325,9.53444,-250.875
RIGHTLUNG,OBLIQUEFISSURE,-65.325,26.2923,-240.25
RIGHTLUNG,OBLIQUEFISSURE,-65.325,43.8118,-222.75
RIGHTLUNG,OBLIQUEFISSURE,-65.325,52.1907,-212.125
RIGHTLUNG,OBLIQUEFISSURE,-65.325,55.2376,-165.25
RIGHTLUNG,OBLIQUEFISSURE,-65.325,68.1868,-153.375
RIGHTLUNG,OBLIQUEFISSURE,-65.325,78.0892,-140.25
RIGHTLUNG,OBLIQUEFISSURE,-65.325,86.4681,-122.75
RIGHTLUNG,OBLIQUEFISSURE,-61.5164,33.9095,-232.75
RIGHTLUNG,OBLIQUEFISSURE,-61.5164,44.5735,-220.875
RIGHTLUNG,OBLIQUEFISSURE,-61.5164,56.761,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-61.5164,68.9485,-149.625
RIGHTLUNG,OBLIQUEFISSURE,-61.5164,81.8977,-132.125
