Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-101.977,-135.868,-222.498
RIGHTLUNG,OBLIQUEFISSURE,-101.977,-112.352,-188.897
RIGHTLUNG,OBLIQUEFISSURE,-101.977,-94.852,-166.497
RIGHTLUNG,OBLIQUEFISSURE,-100.336,-138.602,-227.398
RIGHTLUNG,OBLIQUEFISSURE,-100.336,-91.5707,-166.497
RIGHTLUNG,OBLIQUEFISSURE,-94.8676,-150.633,-242.798
RIGHTLUNG,OBLIQUEFISSURE,-94.8676,-120.555,-197.297
RIGHTLUNG,OBLIQUEFISSURE,-94.8676,-81.727,-157.397
RIGHTLUNG,OBLIQUEFISSURE,-94.8676,-75.1645,-152.497
RIGHTLUNG,OBLIQUEFISSURE,-88.852,-153.368,-247.698
RIGHTLUNG,OBLIQUEFISSURE,-88.852,-124.93,-201.497
RIGHTLUNG,OBLIQUEFISSURE,-88.852,-78.4457,-155.997
RIGHTLUNG,OBLIQUEFISSURE,-88.852,-62.0395,-140.596
RIGHTLUNG,OBLIQUEFISSURE,-86.1176,-153.368,-246.298
RIGHTLUNG,OBLIQUEFISSURE,-86.1176,-107.977,-179.797
RIGHTLUNG,OBLIQUEFISSURE,-86.1176,-65.3207,-143.396
RIGHTLUNG,OBLIQUEFISSURE,-86.1176,-61.4926,-137.796
RIGHTLUNG,OBLIQUEFISSURE,-79.5551,-158.836,-254.698
RIGHTLUNG,OBLIQUEFISSURE,-79.5551,-131.493,-210.598
RIGHTLUNG,OBLIQUEFISSURE,-79.5551,-94.3051,-165.097
RIGHTLUNG,OBLIQUEFISSURE,-79.5551,-69.1489,-146.197
RIGHTLUNG,OBLIQUEFISSURE,-79.5551,-53.2895,-130.096
RIGHTLUNG,OBLIQUEFISSURE,-74.0864,-153.914,-243.498
RIGHTLUNG,OBLIQUEFISSURE,-74.0864,-121.102,-198.697
RIGHTLUNG,OBLIQUEFISSURE,-74.0864,-80.0864,-155.997
RIGHTLUNG,OBLIQUEFISSURE,-74.0864,-50.0082,-122.396
RIGHTLUNG,OBLIQUEFISSURE,-67.5239,-156.649,-251.198
RIGHTLUNG,OBLIQUEFISSURE,-67.5239,-130.946,-213.398
RIGHTLUNG,OBLIQUEFISSURE,-67.5239,-97.5864,-171.397
RIGHTLUNG,OBLIQUEFISSURE,-67.5239,-76.8051,-155.297
RIGHTLUNG,OBLIQUEFISSURE,-67.5239,-48.9145,-123.096
RIGHTLUNG,OBLIQUEFISSURE,-58.7739,-152.821,-245.598
RIGHTLUNG,OBLIQUEFISSURE,-58.7739,-123.289,-209.898
RIGHTLUNG,OBLIQUEFISSURE,-58.7739,-113.993,-199.397
RIGHTLUNG,OBLIQUEFISSURE,-58.7739,-85.0082,-160.197
RIGHTLUNG,OBLIQUEFISSURE,-58.7739,-43.9926,-116.796
RIGHTLUNG,OBLIQUEFISSURE,-54.3989,-146.258,-240.698
RIGHTLUNG,OBLIQUEFISSURE,-54.3989,-120.555,-209.198
RIGHTLUNG,OBLIQUEFISSURE,-54.3989,-72.4301,-151.097
RIGHTLUNG,OBLIQUEFISSURE,-54.3989,-45.0864,-120.996
RIGHTLUNG,OBLIQUEFISSURE,-49.477,-138.055,-232.998
RIGHTLUNG,OBLIQUEFISSURE,-49.477,-111.805,-200.797
