Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-121.641,30.9844,-125.375
UNDEFINEDREGION,UNDEFINEDTYPE,-121.641,40.125,-107.875
RIGHTLUNG,OBLIQUEFISSURE,-115.313,12.7031,-149.125
RIGHTLUNG,OBLIQUEFISSURE,-115.313,43.6406,-94.75
RIGHTLUNG,OBLIQUEFISSURE,-115.313,54.8906,-76
RIGHTLUNG,OBLIQUEFISSURE,-110.391,6.375,-156
RIGHTLUNG,OBLIQUEFISSURE,-110.391,19.7344,-134.75
RIGHTLUNG,OBLIQUEFISSURE,-110.391,40.125,-102.875
RIGHTLUNG,OBLIQUEFISSURE,-110.391,57.7031,-70.375
RIGHTLUNG,OBLIQUEFISSURE,-110.391,61.9219,-66
RIGHTLUNG,OBLIQUEFISSURE,-105.469,14.1094,-142.875
RIGHTLUNG,OBLIQUEFISSURE,-105.469,35.2031,-109.125
RIGHTLUNG,OBLIQUEFISSURE,-105.469,49.2656,-82.875
RIGHTLUNG,OBLIQUEFISSURE,-105.469,61.9219,-62.875
RIGHTLUNG,OBLIQUEFISSURE,-105.469,71.0625,-57.875
RIGHTLUNG,OBLIQUEFISSURE,-100.547,10.5938,-147.875
RIGHTLUNG,OBLIQUEFISSURE,-100.547,26.7656,-125.375
RIGHTLUNG,OBLIQUEFISSURE,-100.547,40.8281,-99.125
RIGHTLUNG,OBLIQUEFISSURE,-100.547,57.7031,-66
RIGHTLUNG,OBLIQUEFISSURE,-100.547,73.875,-49.75
RIGHTLUNG,OBLIQUEFISSURE,-95.625,11.2969,-145.375
RIGHTLUNG,OBLIQUEFISSURE,-95.625,26.7656,-122.25
RIGHTLUNG,OBLIQUEFISSURE,-95.625,46.4531,-87.875
RIGHTLUNG,OBLIQUEFISSURE,-95.625,58.4063,-64.125
RIGHTLUNG,OBLIQUEFISSURE,-95.625,75.2813,-44.75
RIGHTLUNG,OBLIQUEFISSURE,-89.2969,12,-143.5
RIGHTLUNG,OBLIQUEFISSURE,-89.2969,23.25,-127.875
RIGHTLUNG,OBLIQUEFISSURE,-89.2969,40.125,-106
RIGHTLUNG,OBLIQUEFISSURE,-89.2969,49.2656,-77.25
RIGHTLUNG,OBLIQUEFISSURE,-89.2969,71.0625,-48.5
RIGHTLUNG,OBLIQUEFISSURE,-89.2969,78.0938,-37.25
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,16.9219,-136.625
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,37.3125,-111
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,49.9688,-78.5
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,64.7344,-53.5
RIGHTLUNG,OBLIQUEFISSURE,-85.0781,82.3125,-31.625
RIGHTLUNG,OBLIQUEFISSURE,-78.75,18.3281,-135.375
RIGHTLUNG,OBLIQUEFISSURE,-78.75,39.4219,-109.75
RIGHTLUNG,OBLIQUEFISSURE,-78.75,45.0469,-98.5
RIGHTLUNG,OBLIQUEFISSURE,-78.75,51.375,-71.625
RIGHTLUNG,OBLIQUEFISSURE,-78.75,71.7656,-42.875
RIGHTLUNG,OBLIQUEFISSURE,-78.75,82.3125,-29.125
RIGHTLUNG,OBLIQUEFISSURE,-72.4219,18.3281,-136
RIGHTLUNG,OBLIQUEFISSURE,-72.4219,35.2031,-118.5
RIGHTLUNG,OBLIQUEFISSURE,-72.4219,45.0469,-102.875
RIGHTLUNG,OBLIQUEFISSURE,-72.4219,48.5625,-84.75
RIGHTLUNG,OBLIQUEFISSURE,-72.4219,55.5938,-69.75
RIGHTLUNG,OBLIQUEFISSURE,-72.4219,78.0938,-30.375
RIGHTLUNG,OBLIQUEFISSURE,-67.5,21.1406,-134.125
RIGHTLUNG,OBLIQUEFISSURE,-67.5,38.0156,-117.25
RIGHTLUNG,OBLIQUEFISSURE,-67.5,47.8594,-104.125
RIGHTLUNG,OBLIQUEFISSURE,-67.5,53.4844,-72.25
RIGHTLUNG,OBLIQUEFISSURE,-67.5,68.9531,-47.875
RIGHTLUNG,OBLIQUEFISSURE,-67.5,83.7188,-22.25
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,21.1406,-136
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,39.4219,-116.625
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,60.5156,-61.625
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,74.5781,-36
RIGHTLUNG,OBLIQUEFISSURE,-60.4688,82.3125,-21
RIGHTLUNG,OBLIQUEFISSURE,-55.5469,28.875,-129.125
RIGHTLUNG,OBLIQUEFISSURE,-55.5469,38.7188,-117.25
RIGHTLUNG,OBLIQUEFISSURE,-55.5469,71.7656,-40.375
RIGHTLUNG,OBLIQUEFISSURE,-55.5469,80.9063,-21
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,23.9531,-136
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,35.9063,-121.625
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,73.1719,-38.5
RIGHTLUNG,OBLIQUEFISSURE,-49.9219,81.6094,-15.375
RIGHTLUNG,OBLIQUEFISSURE,-44.2969,21.1406,-139.75
RIGHTLUNG,OBLIQUEFISSURE,-44.2969,35.9063,-124.125
RIGHTLUNG,OBLIQUEFISSURE,-39.375,71.7656,-41.625
RIGHTLUNG,OBLIQUEFISSURE,-39.375,78.7969,-18.5
RIGHTLUNG,OBLIQUEFISSURE,-33.75,35.2031,-120.375
RIGHTLUNG,OBLIQUEFISSURE,-33.75,42.9375,-114.75
RIGHTLUNG,OBLIQUEFISSURE,-35.1563,69.6563,-41.625
RIGHTLUNG,OBLIQUEFISSURE,-35.1563,75.2813,-22.25
RIGHTLUNG,OBLIQUEFISSURE,-29.5313,68.9531,-47.25
RIGHTLUNG,OBLIQUEFISSURE,-29.5313,74.5781,-22.875
RIGHTLUNG,OBLIQUEFISSURE,-24.6094,67.5469,-47.875
RIGHTLUNG,OBLIQUEFISSURE,-24.6094,71.7656,-26.625
LEFTLUNG,OBLIQUEFISSURE,124.453,4.26563,-179.125
LEFTLUNG,OBLIQUEFISSURE,124.453,27.4688,-140.375
LEFTLUNG,OBLIQUEFISSURE,124.453,55.5938,-106.625
LEFTLUNG,OBLIQUEFISSURE,115.313,5.67188,-177.25
LEFTLUNG,OBLIQUEFISSURE,115.313,25.3594,-141
LEFTLUNG,OBLIQUEFISSURE,115.313,55.5938,-101.625
LEFTLUNG,OBLIQUEFISSURE,115.313,69.6563,-76.625
LEFTLUNG,OBLIQUEFISSURE,106.875,14.1094,-162.25
LEFTLUNG,OBLIQUEFISSURE,106.875,37.3125,-124.125
LEFTLUNG,OBLIQUEFISSURE,106.875,66.1406,-72.875
LEFTLUNG,OBLIQUEFISSURE,101.953,19.0313,-156
LEFTLUNG,OBLIQUEFISSURE,101.953,42.9375,-119.125
LEFTLUNG,OBLIQUEFISSURE,101.953,68.25,-64.75
LEFTLUNG,OBLIQUEFISSURE,97.0313,26.7656,-147.875
LEFTLUNG,OBLIQUEFISSURE,97.0313,48.5625,-110.375
LEFTLUNG,OBLIQUEFISSURE,97.0313,73.875,-37.875
LEFTLUNG,OBLIQUEFISSURE,90.7031,38.7188,-130.375
LEFTLUNG,OBLIQUEFISSURE,90.7031,70.3594,-48.5
LEFTLUNG,OBLIQUEFISSURE,90.7031,78.0938,-19.125
LEFTLUNG,OBLIQUEFISSURE,81.5625,61.2188,-75.375
LEFTLUNG,OBLIQUEFISSURE,81.5625,73.1719,-27.875
LEFTLUNG,OBLIQUEFISSURE,81.5625,79.5,-9.75
LEFTLUNG,OBLIQUEFISSURE,74.5313,61.9219,-66.625
LEFTLUNG,OBLIQUEFISSURE,74.5313,71.0625,-36
LEFTLUNG,OBLIQUEFISSURE,74.5313,78.7969,-4.125
LEFTLUNG,OBLIQUEFISSURE,66.7969,66.1406,-51
LEFTLUNG,OBLIQUEFISSURE,66.7969,73.1719,-21.625
LEFTLUNG,OBLIQUEFISSURE,66.7969,77.3906,-4.75
LEFTLUNG,OBLIQUEFISSURE,60.4688,63.3281,-48.5
LEFTLUNG,OBLIQUEFISSURE,60.4688,74.5781,-12.25
LEFTLUNG,OBLIQUEFISSURE,55.5469,64.7344,-31
LEFTLUNG,OBLIQUEFISSURE,55.5469,73.1719,-9.125
LEFTLUNG,OBLIQUEFISSURE,48.5156,58.4063,-36
LEFTLUNG,OBLIQUEFISSURE,48.5156,71.7656,-7.875
LEFTLUNG,OBLIQUEFISSURE,44.2969,59.1094,-31
LEFTLUNG,OBLIQUEFISSURE,44.2969,68.9531,-2.875
LEFTLUNG,OBLIQUEFISSURE,106.172,35.2031,-127.875
LEFTLUNG,OBLIQUEFISSURE,106.172,49.2656,-103.5
LEFTLUNG,OBLIQUEFISSURE,106.172,59.8125,-84.125
RIGHTLUNG,HORIZONTALFISSURE,-117.422,18.3281,-86
RIGHTLUNG,HORIZONTALFISSURE,-117.422,36.6094,-79.125
RIGHTLUNG,HORIZONTALFISSURE,-117.422,43.6406,-77.25
RIGHTLUNG,HORIZONTALFISSURE,-113.203,7.07813,-91.625
RIGHTLUNG,HORIZONTALFISSURE,-113.203,21.1406,-82.875
RIGHTLUNG,HORIZONTALFISSURE,-113.203,45.0469,-75.375
RIGHTLUNG,HORIZONTALFISSURE,-113.203,51.375,-74.125
RIGHTLUNG,HORIZONTALFISSURE,-106.875,1.45313,-93.5
RIGHTLUNG,HORIZONTALFISSURE,-106.875,34.5,-76
RIGHTLUNG,HORIZONTALFISSURE,-106.875,50.6719,-71.625
RIGHTLUNG,HORIZONTALFISSURE,-99.8438,-7.6875,-96
RIGHTLUNG,HORIZONTALFISSURE,-99.8438,5.67188,-87.875
RIGHTLUNG,HORIZONTALFISSURE,-99.8438,37.3125,-76
RIGHTLUNG,HORIZONTALFISSURE,-99.8438,45.75,-73.5
RIGHTLUNG,HORIZONTALFISSURE,-94.2188,-5.57813,-96.625
RIGHTLUNG,HORIZONTALFISSURE,-94.2188,21.1406,-82.25
RIGHTLUNG,HORIZONTALFISSURE,-94.2188,28.1719,-79.75
RIGHTLUNG,HORIZONTALFISSURE,-90,-15.4219,-102.875
RIGHTLUNG,HORIZONTALFISSURE,-90,6.375,-90.375
RIGHTLUNG,HORIZONTALFISSURE,-90,40.125,-77.875
RIGHTLUNG,HORIZONTALFISSURE,-82.9688,-6.98438,-97.25
RIGHTLUNG,HORIZONTALFISSURE,-82.9688,16.9219,-85.375
RIGHTLUNG,HORIZONTALFISSURE,-82.9688,38.0156,-79.125
RIGHTLUNG,HORIZONTALFISSURE,-76.6406,-18.9375,-109.125
RIGHTLUNG,HORIZONTALFISSURE,-76.6406,5.67188,-92.25
RIGHTLUNG,HORIZONTALFISSURE,-76.6406,40.125,-80.375
RIGHTLUNG,HORIZONTALFISSURE,-70.3125,-19.6406,-111.625
RIGHTLUNG,HORIZONTALFISSURE,-70.3125,14.1094,-87.875
RIGHTLUNG,HORIZONTALFISSURE,-64.6875,-20.3438,-114.75
RIGHTLUNG,HORIZONTALFISSURE,-64.6875,-5.57813,-104.75
RIGHTLUNG,HORIZONTALFISSURE,-59.7656,-28.0781,-121
RIGHTLUNG,HORIZONTALFISSURE,-59.7656,-4.875,-106
RIGHTLUNG,HORIZONTALFISSURE,-52.0313,-25.2656,-122.875
RIGHTLUNG,HORIZONTALFISSURE,-52.0313,-8.39063,-116
RIGHTLUNG,HORIZONTALFISSURE,-84.375,37.3125,-78.5
RIGHTLUNG,HORIZONTALFISSURE,-84.375,43.6406,-76
