Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-111.75,0.566342,-193
RIGHTLUNG,OBLIQUEFISSURE,-111.75,18.6913,-173
RIGHTLUNG,OBLIQUEFISSURE,-104.953,-17.5587,-208
RIGHTLUNG,OBLIQUEFISSURE,-104.953,20.957,-165.5
RIGHTLUNG,OBLIQUEFISSURE,-104.953,33.9843,-154.25
RIGHTLUNG,OBLIQUEFISSURE,-98.1563,-34.5508,-223.625
RIGHTLUNG,OBLIQUEFISSURE,-98.1563,1.69915,-188.625
RIGHTLUNG,OBLIQUEFISSURE,-98.1563,37.9491,-151.75
RIGHTLUNG,OBLIQUEFISSURE,-90.2266,-41.3477,-234.25
RIGHTLUNG,OBLIQUEFISSURE,-90.2266,-7.92975,-194.25
RIGHTLUNG,OBLIQUEFISSURE,-90.2266,45.8788,-143.625
RIGHTLUNG,OBLIQUEFISSURE,-83.4297,-43.6133,-233.625
RIGHTLUNG,OBLIQUEFISSURE,-83.4297,-11.3282,-198.625
RIGHTLUNG,OBLIQUEFISSURE,-83.4297,32.2851,-153
RIGHTLUNG,OBLIQUEFISSURE,-83.4297,62.3046,-127.375
RIGHTLUNG,OBLIQUEFISSURE,-75.5,-47.0118,-245.5
RIGHTLUNG,OBLIQUEFISSURE,-75.5,-21.5235,-208.625
RIGHTLUNG,OBLIQUEFISSURE,-75.5,34.5507,-148.625
RIGHTLUNG,OBLIQUEFISSURE,-75.5,65.703,-124.25
RIGHTLUNG,OBLIQUEFISSURE,-68.7032,-45.879,-239.875
RIGHTLUNG,OBLIQUEFISSURE,-68.7032,-23.7891,-209.25
RIGHTLUNG,OBLIQUEFISSURE,-68.7032,19.8241,-164.25
RIGHTLUNG,OBLIQUEFISSURE,-68.7032,51.5429,-133.625
RIGHTLUNG,OBLIQUEFISSURE,-62.4727,-43.0469,-231.75
RIGHTLUNG,OBLIQUEFISSURE,-62.4727,-2.83209,-194.25
RIGHTLUNG,OBLIQUEFISSURE,-62.4727,34.5507,-148.625
RIGHTLUNG,OBLIQUEFISSURE,-62.4727,61.1718,-124.25
RIGHTLUNG,OBLIQUEFISSURE,-56.8086,-37.3829,-227.375
RIGHTLUNG,OBLIQUEFISSURE,-56.8086,-5.66412,-197.375
RIGHTLUNG,OBLIQUEFISSURE,-56.8086,28.8866,-151.125
RIGHTLUNG,OBLIQUEFISSURE,-56.8086,56.0741,-128.625
RIGHTLUNG,OBLIQUEFISSURE,-53.4102,-17.5587,-207.375
RIGHTLUNG,OBLIQUEFISSURE,-53.4102,4.53118,-190.5
RIGHTLUNG,OBLIQUEFISSURE,-53.4102,-43.0469,-238
RIGHTLUNG,OBLIQUEFISSURE,-53.4102,22.6562,-152.375
RIGHTLUNG,OBLIQUEFISSURE,-53.4102,52.1093,-129.875
RIGHTLUNG,OBLIQUEFISSURE,-50.0118,-35.6836,-226.75
RIGHTLUNG,OBLIQUEFISSURE,-50.0118,-13.5938,-205.5
RIGHTLUNG,OBLIQUEFISSURE,-50.0118,7.36321,-191.125
RIGHTLUNG,OBLIQUEFISSURE,-50.0118,21.5234,-154.875
RIGHTLUNG,OBLIQUEFISSURE,-50.0118,51.5429,-129.25
RIGHTLUNG,OBLIQUEFISSURE,-50.0118,70.2343,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-46.0469,-33.418,-226.125
RIGHTLUNG,OBLIQUEFISSURE,-46.0469,-10.7618,-204.25
RIGHTLUNG,OBLIQUEFISSURE,-46.0469,7.36321,-191.125
RIGHTLUNG,OBLIQUEFISSURE,-46.0469,22.6562,-153
RIGHTLUNG,OBLIQUEFISSURE,-46.0469,58.9062,-124.25
RIGHTLUNG,OBLIQUEFISSURE,-42.6485,-26.6211,-218
RIGHTLUNG,OBLIQUEFISSURE,-42.6485,-2.26569,-197.375
RIGHTLUNG,OBLIQUEFISSURE,-42.6485,11.3281,-184.25
RIGHTLUNG,OBLIQUEFISSURE,-42.6485,28.8866,-144.875
RIGHTLUNG,OBLIQUEFISSURE,-42.6485,45.3124,-133
RIGHTLUNG,OBLIQUEFISSURE,-42.6485,65.1366,-116.125
RIGHTLUNG,OBLIQUEFISSURE,-39.25,-32.8516,-225.5
RIGHTLUNG,OBLIQUEFISSURE,-39.25,-10.7618,-206.75
RIGHTLUNG,OBLIQUEFISSURE,-39.25,8.49603,-184.25
RIGHTLUNG,OBLIQUEFISSURE,-39.25,24.3554,-147.375
RIGHTLUNG,OBLIQUEFISSURE,-39.25,41.3476,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-39.25,65.1366,-117.375
RIGHTLUNG,OBLIQUEFISSURE,-35.2852,-33.418,-227.375
RIGHTLUNG,OBLIQUEFISSURE,-35.2852,-22.0899,-216.125
RIGHTLUNG,OBLIQUEFISSURE,-35.2852,52.6757,-126.125
RIGHTLUNG,OBLIQUEFISSURE,-35.2852,64.0038,-116.125
RIGHTLUNG,OBLIQUEFISSURE,-31.8868,40.2148,-133
RIGHTLUNG,OBLIQUEFISSURE,-31.8868,58.9062,-114.25
RIGHTLUNG,OBLIQUEFISSURE,-27.3555,37.9491,-134.25
RIGHTLUNG,OBLIQUEFISSURE,-27.3555,56.6405,-118.625
RIGHTLUNG,OBLIQUEFISSURE,-21.6915,37.9491,-132.375
RIGHTLUNG,OBLIQUEFISSURE,-21.6915,50.9765,-119.25
RIGHTLUNG,OBLIQUEFISSURE,-18.293,26.621,-138
