Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,130.658,-177.123,-1055
LEFTLUNG,OBLIQUEFISSURE,130.658,-167.627,-1027.5
LEFTLUNG,OBLIQUEFISSURE,130.658,-163.975,-1016
LEFTLUNG,OBLIQUEFISSURE,124.084,-174.932,-1050
LEFTLUNG,OBLIQUEFISSURE,124.084,-164.705,-1018
LEFTLUNG,OBLIQUEFISSURE,124.084,-149.365,-990
LEFTLUNG,OBLIQUEFISSURE,124.084,-131.104,-969
LEFTLUNG,OBLIQUEFISSURE,124.084,-124.529,-964.5
LEFTLUNG,OBLIQUEFISSURE,111.666,-169.088,-1041
LEFTLUNG,OBLIQUEFISSURE,111.666,-152.287,-1002.5
LEFTLUNG,OBLIQUEFISSURE,111.666,-135.486,-974
LEFTLUNG,OBLIQUEFISSURE,111.666,-109.19,-946.5
LEFTLUNG,OBLIQUEFISSURE,100.709,-156.67,-1022
LEFTLUNG,OBLIQUEFISSURE,100.709,-147.174,-1000
LEFTLUNG,OBLIQUEFISSURE,100.709,-128.182,-968.5
LEFTLUNG,OBLIQUEFISSURE,100.709,-106.998,-939
LEFTLUNG,OBLIQUEFISSURE,100.709,-96.0412,-929.5
LEFTLUNG,OBLIQUEFISSURE,88.2909,-149.365,-1022.5
LEFTLUNG,OBLIQUEFISSURE,88.2909,-134.026,-985
LEFTLUNG,OBLIQUEFISSURE,88.2909,-111.381,-941
LEFTLUNG,OBLIQUEFISSURE,88.2909,-89.4669,-916.5
LEFTLUNG,OBLIQUEFISSURE,75.8729,-120.147,-960.5
LEFTLUNG,OBLIQUEFISSURE,75.8729,-105.537,-928.5
LEFTLUNG,OBLIQUEFISSURE,75.8729,-85.8146,-905.5
LEFTLUNG,OBLIQUEFISSURE,64.9159,-117.955,-937
LEFTLUNG,OBLIQUEFISSURE,64.9159,-93.1193,-906.5
LEFTLUNG,OBLIQUEFISSURE,64.9159,-84.3537,-894.5
LEFTLUNG,OBLIQUEFISSURE,51.7674,-118.686,-916.5
LEFTLUNG,OBLIQUEFISSURE,51.7674,-101.154,-903
LEFTLUNG,OBLIQUEFISSURE,51.7674,-88.006,-893
RIGHTLUNG,OBLIQUEFISSURE,-122.815,-179.315,-1044
RIGHTLUNG,OBLIQUEFISSURE,-122.815,-163.244,-1014
RIGHTLUNG,OBLIQUEFISSURE,-122.815,-153.018,-996.5
RIGHTLUNG,OBLIQUEFISSURE,-114.049,-180.776,-1046.5
RIGHTLUNG,OBLIQUEFISSURE,-114.049,-166.166,-1014.5
RIGHTLUNG,OBLIQUEFISSURE,-114.049,-134.756,-976.5
RIGHTLUNG,OBLIQUEFISSURE,-114.049,-120.877,-967.5
RIGHTLUNG,OBLIQUEFISSURE,-114.049,-113.572,-963.5
RIGHTLUNG,OBLIQUEFISSURE,-100.17,-176.393,-1032
RIGHTLUNG,OBLIQUEFISSURE,-100.17,-157.401,-1002
RIGHTLUNG,OBLIQUEFISSURE,-100.17,-134.026,-975
RIGHTLUNG,OBLIQUEFISSURE,-100.17,-125.99,-968.5
RIGHTLUNG,OBLIQUEFISSURE,-100.17,-104.807,-955
RIGHTLUNG,OBLIQUEFISSURE,-100.17,-90.1974,-947.5
RIGHTLUNG,OBLIQUEFISSURE,-85.5607,-176.393,-1027.5
RIGHTLUNG,OBLIQUEFISSURE,-85.5607,-161.783,-1007
RIGHTLUNG,OBLIQUEFISSURE,-85.5607,-139.139,-979.5
RIGHTLUNG,OBLIQUEFISSURE,-85.5607,-118.686,-960.5
RIGHTLUNG,OBLIQUEFISSURE,-85.5607,-86.5451,-941
RIGHTLUNG,OBLIQUEFISSURE,-85.5607,-77.7794,-935.5
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-172.74,-1022
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-155.209,-1000
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-139.869,-981.5
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-126.721,-963
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-110.651,-951.5
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-90.9279,-940.5
RIGHTLUNG,OBLIQUEFISSURE,-74.6037,-71.9357,-929.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-178.584,-1024.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-158.131,-1006.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-135.486,-983.5
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-120.877,-956
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-102.615,-941
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-84.3537,-933
RIGHTLUNG,OBLIQUEFISSURE,-57.8029,-71.2052,-921.5
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-181.506,-1027
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-163.975,-1012.5
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-147.174,-993
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-102.615,-937.5
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-93.8498,-932
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-82.8927,-928.5
RIGHTLUNG,OBLIQUEFISSURE,-43.924,-73.3966,-921.5
RIGHTLUNG,OBLIQUEFISSURE,-33.6974,-177.854,-1026
RIGHTLUNG,OBLIQUEFISSURE,-33.6974,-166.897,-1016.5
RIGHTLUNG,OBLIQUEFISSURE,-33.6974,-159.592,-1011
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-117.701,-135.486,-974.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-117.701,-150.096,-974.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-117.701,-159.592,-974.5
RIGHTLUNG,HORIZONTALFISSURE,-114.049,-175.662,-975.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-114.049,-158.862,-973.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-114.049,-133.295,-973
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-106.014,-185.889,-974
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-106.014,-168.358,-970
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-106.014,-143.522,-970
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-106.014,-132.565,-972
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.5178,-196.846,-977
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.5178,-178.584,-970
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.5178,-156.67,-967
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-96.5178,-130.373,-970
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-86.2912,-204.151,-979.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-86.2912,-185.158,-971
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-86.2912,-162.514,-965
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-86.2912,-148.635,-965
RIGHTLUNG,OBLIQUEFISSURE,-86.2912,-128.912,-968
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-73.1428,-213.647,-984.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-73.1428,-197.576,-976.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-73.1428,-166.166,-965
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-73.1428,-143.522,-963
RIGHTLUNG,OBLIQUEFISSURE,-73.1428,-128.182,-965
