Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,115.155,11.4688,-243.25
LEFTLUNG,OBLIQUEFISSURE,115.155,19.3536,-234.5
LEFTLUNG,OBLIQUEFISSURE,115.155,30.8223,-226.375
LEFTLUNG,OBLIQUEFISSURE,108.704,11.4688,-235.75
LEFTLUNG,OBLIQUEFISSURE,108.704,22.9375,-222.625
LEFTLUNG,OBLIQUEFISSURE,108.704,37.9903,-202.625
LEFTLUNG,OBLIQUEFISSURE,108.704,45.875,-191.375
LEFTLUNG,OBLIQUEFISSURE,97.9516,12.9024,-227.625
LEFTLUNG,OBLIQUEFISSURE,97.9516,25.0879,-215.75
LEFTLUNG,OBLIQUEFISSURE,97.9516,36.5567,-196.375
LEFTLUNG,OBLIQUEFISSURE,97.9516,51.6094,-176.375
LEFTLUNG,OBLIQUEFISSURE,97.9516,63.795,-168.25
LEFTLUNG,OBLIQUEFISSURE,92.934,15.0528,-224.5
LEFTLUNG,OBLIQUEFISSURE,92.934,25.8047,-216.375
LEFTLUNG,OBLIQUEFISSURE,92.934,38.7071,-192.625
LEFTLUNG,OBLIQUEFISSURE,92.934,48.0254,-177
LEFTLUNG,OBLIQUEFISSURE,92.934,60.9278,-169.5
LEFTLUNG,OBLIQUEFISSURE,92.934,67.379,-159.5
LEFTLUNG,OBLIQUEFISSURE,82.1821,20.0703,-221.375
LEFTLUNG,OBLIQUEFISSURE,82.1821,32.2559,-207.625
LEFTLUNG,OBLIQUEFISSURE,82.1821,47.3086,-180.75
LEFTLUNG,OBLIQUEFISSURE,82.1821,63.0782,-157.625
LEFTLUNG,OBLIQUEFISSURE,82.1821,75.2637,-142.625
LEFTLUNG,OBLIQUEFISSURE,68.5629,36.5567,-210.125
LEFTLUNG,OBLIQUEFISSURE,68.5629,45.875,-197
LEFTLUNG,OBLIQUEFISSURE,68.5629,50.1758,-178.875
LEFTLUNG,OBLIQUEFISSURE,68.5629,54.4766,-160.125
LEFTLUNG,OBLIQUEFISSURE,68.5629,67.379,-145.125
LEFTLUNG,OBLIQUEFISSURE,68.5629,77.4141,-121.375
LEFTLUNG,OBLIQUEFISSURE,57.811,45.1582,-208.25
LEFTLUNG,OBLIQUEFISSURE,57.811,48.7422,-202
LEFTLUNG,OBLIQUEFISSURE,57.811,49.459,-197
LEFTLUNG,OBLIQUEFISSURE,57.811,56.627,-148.875
LEFTLUNG,OBLIQUEFISSURE,57.811,68.0957,-137.625
LEFTLUNG,OBLIQUEFISSURE,57.811,73.1133,-122.625
LEFTLUNG,OBLIQUEFISSURE,57.811,79.5645,-103.25
LEFTSUPERIORLOBE,UNDEFINEDTYPE,57.811,48.7422,-160.75
LEFTLUNG,OBLIQUEFISSURE,52.0766,45.875,-209.5
LEFTLUNG,OBLIQUEFISSURE,52.0766,49.459,-200.75
LEFTLUNG,OBLIQUEFISSURE,52.0766,55.9102,-148.875
