Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-134.714,-6.67963,-203.75
RIGHTLUNG,OBLIQUEFISSURE,-134.714,11.3555,-185.625
RIGHTLUNG,OBLIQUEFISSURE,-130.038,-12.6913,-207.5
RIGHTLUNG,OBLIQUEFISSURE,-130.038,10.0196,-181.875
RIGHTLUNG,OBLIQUEFISSURE,-130.038,26.0509,-163.125
RIGHTLUNG,OBLIQUEFISSURE,-122.691,-12.6913,-203.125
RIGHTLUNG,OBLIQUEFISSURE,-122.691,18.7032,-166.25
RIGHTLUNG,OBLIQUEFISSURE,-122.691,38.7423,-144.375
RIGHTLUNG,OBLIQUEFISSURE,-122.691,45.422,-140.625
RIGHTLUNG,OBLIQUEFISSURE,-115.343,-13.3593,-201.25
RIGHTLUNG,OBLIQUEFISSURE,-115.343,16.0313,-170
RIGHTLUNG,OBLIQUEFISSURE,-115.343,40.7462,-140.625
RIGHTLUNG,OBLIQUEFISSURE,-115.343,54.7735,-130.625
RIGHTLUNG,OBLIQUEFISSURE,-107.995,-12.6913,-199.375
RIGHTLUNG,OBLIQUEFISSURE,-107.995,18.7032,-168.125
RIGHTLUNG,OBLIQUEFISSURE,-107.995,42.0821,-136.25
RIGHTLUNG,OBLIQUEFISSURE,-107.995,58.7813,-123.125
RIGHTLUNG,OBLIQUEFISSURE,-100.648,-6.01166,-193.75
RIGHTLUNG,OBLIQUEFISSURE,-100.648,16.6993,-170.625
RIGHTLUNG,OBLIQUEFISSURE,-100.648,29.3907,-149.375
RIGHTLUNG,OBLIQUEFISSURE,-100.648,61.4532,-120.625
RIGHTLUNG,OBLIQUEFISSURE,-91.964,-5.34369,-193.75
RIGHTLUNG,OBLIQUEFISSURE,-91.964,14.6954,-181.25
RIGHTLUNG,OBLIQUEFISSURE,-91.964,29.3907,-151.25
RIGHTLUNG,OBLIQUEFISSURE,-91.964,56.7774,-123.125
RIGHTLUNG,OBLIQUEFISSURE,-91.964,65.461,-113.75
RIGHTLUNG,OBLIQUEFISSURE,-87.2882,-6.67963,-196.25
RIGHTLUNG,OBLIQUEFISSURE,-87.2882,12.6915,-182.5
