Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-101.233,-198.403,-293.5
RIGHTLUNG,OBLIQUEFISSURE,-101.233,-163.948,-254.5
RIGHTLUNG,OBLIQUEFISSURE,-101.233,-123.653,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-101.233,-106.134,-210
RIGHTLUNG,OBLIQUEFISSURE,-95.3936,-203.075,-295
RIGHTLUNG,OBLIQUEFISSURE,-95.3936,-159.276,-248.5
RIGHTLUNG,OBLIQUEFISSURE,-95.3936,-110.222,-212
RIGHTLUNG,OBLIQUEFISSURE,-95.3936,-96.2062,-203
RIGHTLUNG,OBLIQUEFISSURE,-91.3057,-201.323,-294
RIGHTLUNG,OBLIQUEFISSURE,-91.3057,-168.036,-257
RIGHTLUNG,OBLIQUEFISSURE,-91.3057,-131.245,-222
RIGHTLUNG,OBLIQUEFISSURE,-91.3057,-90.9503,-199.5
RIGHTLUNG,OBLIQUEFISSURE,-84.8819,-193.148,-286
RIGHTLUNG,OBLIQUEFISSURE,-84.8819,-161.028,-250
RIGHTLUNG,OBLIQUEFISSURE,-84.8819,-128.909,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-84.8819,-95.0382,-199.5
RIGHTLUNG,OBLIQUEFISSURE,-84.8819,-88.0304,-194.5
RIGHTLUNG,OBLIQUEFISSURE,-81.962,-192.564,-284.5
RIGHTLUNG,OBLIQUEFISSURE,-81.962,-151.101,-236.5
RIGHTLUNG,OBLIQUEFISSURE,-81.962,-122.485,-214.5
RIGHTLUNG,OBLIQUEFISSURE,-81.962,-94.4542,-197.5
RIGHTLUNG,OBLIQUEFISSURE,-81.962,-85.1105,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-78.458,-188.476,-282
RIGHTLUNG,OBLIQUEFISSURE,-78.458,-154.605,-243.5
RIGHTLUNG,OBLIQUEFISSURE,-78.458,-128.325,-217.5
RIGHTLUNG,OBLIQUEFISSURE,-78.458,-93.8703,-198
RIGHTLUNG,OBLIQUEFISSURE,-78.458,-82.7746,-189.5
RIGHTLUNG,OBLIQUEFISSURE,-74.3702,-198.403,-292.5
RIGHTLUNG,OBLIQUEFISSURE,-74.3702,-165.116,-255.5
RIGHTLUNG,OBLIQUEFISSURE,-74.3702,-132.997,-220
RIGHTLUNG,OBLIQUEFISSURE,-74.3702,-97.3742,-198.5
RIGHTLUNG,OBLIQUEFISSURE,-74.3702,-83.9425,-187
RIGHTLUNG,OBLIQUEFISSURE,-69.6983,-190.228,-281.5
RIGHTLUNG,OBLIQUEFISSURE,-69.6983,-156.357,-243.5
RIGHTLUNG,OBLIQUEFISSURE,-69.6983,-139.421,-222
RIGHTLUNG,OBLIQUEFISSURE,-69.6983,-98.5421,-197
RIGHTLUNG,OBLIQUEFISSURE,-69.6983,-80.4386,-180
RIGHTLUNG,OBLIQUEFISSURE,-65.6104,-195.483,-287
RIGHTLUNG,OBLIQUEFISSURE,-65.6104,-166.284,-259.5
RIGHTLUNG,OBLIQUEFISSURE,-65.6104,-147.013,-231.5
RIGHTLUNG,OBLIQUEFISSURE,-65.6104,-139.421,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-65.6104,-96.2062,-194
RIGHTLUNG,OBLIQUEFISSURE,-65.6104,-78.1027,-180
RIGHTLUNG,OBLIQUEFISSURE,-60.3545,-196.651,-286
RIGHTLUNG,OBLIQUEFISSURE,-60.3545,-166.284,-259.5
RIGHTLUNG,OBLIQUEFISSURE,-60.3545,-143.509,-224
RIGHTLUNG,OBLIQUEFISSURE,-60.3545,-114.31,-201.5
RIGHTLUNG,OBLIQUEFISSURE,-60.3545,-85.6945,-181
RIGHTLUNG,OBLIQUEFISSURE,-60.3545,-75.7668,-170
RIGHTLUNG,OBLIQUEFISSURE,-56.2667,-192.564,-280
RIGHTLUNG,OBLIQUEFISSURE,-56.2667,-162.196,-254
RIGHTLUNG,OBLIQUEFISSURE,-56.2667,-142.341,-221
RIGHTLUNG,OBLIQUEFISSURE,-56.2667,-102.63,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-56.2667,-81.0226,-174
RIGHTLUNG,OBLIQUEFISSURE,-48.0909,-189.06,-278.5
RIGHTLUNG,OBLIQUEFISSURE,-48.0909,-165.7,-257
RIGHTLUNG,OBLIQUEFISSURE,-48.0909,-157.525,-250
RIGHTLUNG,OBLIQUEFISSURE,-48.0909,-131.245,-206.5
RIGHTLUNG,OBLIQUEFISSURE,-48.0909,-94.4542,-184
RIGHTLUNG,OBLIQUEFISSURE,-48.0909,-84.5265,-175
RIGHTLUNG,OBLIQUEFISSURE,-44.587,-186.14,-273.5
RIGHTLUNG,OBLIQUEFISSURE,-44.587,-165.116,-254
RIGHTLUNG,OBLIQUEFISSURE,-44.587,-119.566,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-44.587,-89.1984,-178
RIGHTLUNG,OBLIQUEFISSURE,-44.587,-80.4386,-166
RIGHTLUNG,OBLIQUEFISSURE,-41.0831,-181.468,-268
RIGHTLUNG,OBLIQUEFISSURE,-41.0831,-165.7,-252
RIGHTLUNG,OBLIQUEFISSURE,-41.0831,-108.47,-191.5
RIGHTLUNG,OBLIQUEFISSURE,-41.0831,-86.8624,-175
RIGHTLUNG,OBLIQUEFISSURE,-41.0831,-79.8546,-164
RIGHTLUNG,OBLIQUEFISSURE,-37.5792,-177.964,-265.5
RIGHTLUNG,OBLIQUEFISSURE,-37.5792,-162.78,-245.5
RIGHTLUNG,OBLIQUEFISSURE,-33.4913,-107.886,-186.5
RIGHTLUNG,OBLIQUEFISSURE,-33.4913,-92.7023,-175.5
RIGHTLUNG,OBLIQUEFISSURE,-33.4913,-88.0304,-168.5
RIGHTLUNG,OBLIQUEFISSURE,-29.4034,-109.054,-185
RIGHTLUNG,OBLIQUEFISSURE,-29.4034,-89.1984,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-22.3956,-115.478,-189
RIGHTLUNG,OBLIQUEFISSURE,-22.3956,-103.798,-173.5
LEFTLUNG,OBLIQUEFISSURE,99.6571,-204.243,-268.5
LEFTLUNG,OBLIQUEFISSURE,99.6571,-172.124,-237.5
LEFTLUNG,OBLIQUEFISSURE,99.6571,-138.837,-206
LEFTLUNG,OBLIQUEFISSURE,92.6493,-223.515,-295.5
LEFTLUNG,OBLIQUEFISSURE,92.6493,-204.243,-265
LEFTLUNG,OBLIQUEFISSURE,92.6493,-159.276,-224.5
LEFTLUNG,OBLIQUEFISSURE,92.6493,-125.405,-187.5
LEFTLUNG,OBLIQUEFISSURE,88.5614,-223.515,-298
LEFTLUNG,OBLIQUEFISSURE,88.5614,-185.556,-248.5
LEFTLUNG,OBLIQUEFISSURE,88.5614,-142.925,-208.5
LEFTLUNG,OBLIQUEFISSURE,88.5614,-117.23,-177
LEFTLUNG,OBLIQUEFISSURE,81.5536,-219.427,-290.5
LEFTLUNG,OBLIQUEFISSURE,81.5536,-191.98,-254
LEFTLUNG,OBLIQUEFISSURE,81.5536,-148.181,-213
LEFTLUNG,OBLIQUEFISSURE,81.5536,-121.901,-185
LEFTLUNG,OBLIQUEFISSURE,81.5536,-112.558,-169
LEFTLUNG,OBLIQUEFISSURE,77.4657,-218.259,-294
LEFTLUNG,OBLIQUEFISSURE,77.4657,-183.804,-248
LEFTLUNG,OBLIQUEFISSURE,77.4657,-140.005,-204
LEFTLUNG,OBLIQUEFISSURE,77.4657,-107.886,-162.5
LEFTLUNG,OBLIQUEFISSURE,73.9618,-211.835,-288.5
LEFTLUNG,OBLIQUEFISSURE,73.9618,-173.876,-240
LEFTLUNG,OBLIQUEFISSURE,73.9618,-138.837,-205
LEFTLUNG,OBLIQUEFISSURE,73.9618,-110.222,-162
LEFTLUNG,OBLIQUEFISSURE,70.4579,-202.491,-282.5
LEFTLUNG,OBLIQUEFISSURE,70.4579,-163.364,-232.5
LEFTLUNG,OBLIQUEFISSURE,70.4579,-118.982,-181.5
LEFTLUNG,OBLIQUEFISSURE,70.4579,-106.134,-159
LEFTLUNG,OBLIQUEFISSURE,66.37,-196.651,-272.5
LEFTLUNG,OBLIQUEFISSURE,66.37,-167.452,-236
LEFTLUNG,OBLIQUEFISSURE,66.37,-124.237,-191.5
LEFTLUNG,OBLIQUEFISSURE,66.37,-106.718,-160
LEFTLUNG,OBLIQUEFISSURE,61.6981,-186.724,-265
LEFTLUNG,OBLIQUEFISSURE,61.6981,-162.196,-233
