Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,131.276,-228.252,1100.5
LEFTLUNG,OBLIQUEFISSURE,131.276,-211.162,1124
LEFTLUNG,OBLIQUEFISSURE,131.276,-183.818,1154.5
LEFTLUNG,OBLIQUEFISSURE,131.276,-155.107,1178
LEFTLUNG,OBLIQUEFISSURE,108.717,-215.263,1121.5
LEFTLUNG,OBLIQUEFISSURE,108.717,-184.502,1162.5
LEFTLUNG,OBLIQUEFISSURE,108.717,-166.045,1181.5
LEFTLUNG,OBLIQUEFISSURE,108.717,-133.232,1213
LEFTLUNG,OBLIQUEFISSURE,108.717,-111.357,1246
LEFTLUNG,OBLIQUEFISSURE,88.8929,-203.642,1134
LEFTLUNG,OBLIQUEFISSURE,88.8929,-182.451,1166.5
LEFTLUNG,OBLIQUEFISSURE,88.8929,-156.474,1197
LEFTLUNG,OBLIQUEFISSURE,88.8929,-125.713,1236.5
LEFTLUNG,OBLIQUEFISSURE,88.8929,-97.0017,1282
LEFTLUNG,OBLIQUEFISSURE,71.803,-189.97,1147.5
LEFTLUNG,OBLIQUEFISSURE,71.803,-164.677,1187.5
LEFTLUNG,OBLIQUEFISSURE,71.803,-139.384,1227
LEFTLUNG,OBLIQUEFISSURE,71.803,-110.674,1262.5
LEFTLUNG,OBLIQUEFISSURE,71.803,-92.9001,1300
LEFTLUNG,OBLIQUEFISSURE,56.764,-172.881,1164
LEFTLUNG,OBLIQUEFISSURE,56.764,-163.994,1180
LEFTLUNG,OBLIQUEFISSURE,56.764,-155.107,1194
LEFTLUNG,OBLIQUEFISSURE,56.764,-146.22,1223
LEFTLUNG,OBLIQUEFISSURE,56.764,-125.713,1251.5
LEFTLUNG,OBLIQUEFISSURE,56.764,-111.357,1271.5
LEFTLUNG,OBLIQUEFISSURE,56.764,-97.6853,1299
LEFTLUNG,OBLIQUEFISSURE,56.764,-93.5837,1313.5
LEFTLUNG,OBLIQUEFISSURE,43.0921,-163.994,1174
LEFTLUNG,OBLIQUEFISSURE,43.0921,-158.525,1178.5
LEFTLUNG,OBLIQUEFISSURE,43.0921,-131.865,1249.5
LEFTLUNG,OBLIQUEFISSURE,43.0921,-118.193,1267.5
LEFTLUNG,OBLIQUEFISSURE,43.0921,-103.838,1294.5
LEFTLUNG,OBLIQUEFISSURE,43.0921,-100.42,1316
LEFTLUNG,OBLIQUEFISSURE,24.635,-121.611,1266.5
LEFTLUNG,OBLIQUEFISSURE,24.635,-109.99,1307
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-230.986,1124
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-210.478,1143
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-195.439,1158
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-174.248,1179
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-168.095,1183
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-153.74,1212.5
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-133.232,1233
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-109.306,1248
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-93.5837,1260
RIGHTLUNG,OBLIQUEFISSURE,-52.6111,-80.5954,1278
