Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,111.965,-181.058,1241.5
LEFTLUNG,OBLIQUEFISSURE,111.965,-168.754,1254
LEFTLUNG,OBLIQUEFISSURE,111.965,-154.105,1268
UNDEFINEDREGION,UNDEFINEDTYPE,111.965,-144.73,1277
LEFTLUNG,OBLIQUEFISSURE,105.52,-223.832,1164
LEFTLUNG,OBLIQUEFISSURE,105.52,-219.144,1177
LEFTLUNG,OBLIQUEFISSURE,105.52,-208.598,1203
LEFTLUNG,OBLIQUEFISSURE,105.52,-188.676,1231.5
LEFTLUNG,OBLIQUEFISSURE,105.52,-165.238,1259
LEFTLUNG,OBLIQUEFISSURE,105.52,-138.871,1284
LEFTLUNG,OBLIQUEFISSURE,105.52,-125.394,1296
LEFTLUNG,OBLIQUEFISSURE,95.5588,-227.348,1151.5
LEFTLUNG,OBLIQUEFISSURE,95.5588,-223.246,1164.5
LEFTLUNG,OBLIQUEFISSURE,95.5588,-212.113,1195.5
LEFTLUNG,OBLIQUEFISSURE,95.5588,-199.223,1218.5
LEFTLUNG,OBLIQUEFISSURE,95.5588,-176.371,1248
LEFTLUNG,OBLIQUEFISSURE,95.5588,-152.933,1273.5
LEFTLUNG,OBLIQUEFISSURE,95.5588,-125.394,1302
LEFTLUNG,OBLIQUEFISSURE,95.5588,-109.574,1316.5
LEFTLUNG,OBLIQUEFISSURE,83.2541,-215.043,1180.5
LEFTLUNG,OBLIQUEFISSURE,83.2541,-209.769,1196.5
LEFTLUNG,OBLIQUEFISSURE,83.2541,-200.394,1214.5
LEFTLUNG,OBLIQUEFISSURE,83.2541,-182.816,1239.5
LEFTLUNG,OBLIQUEFISSURE,83.2541,-162.894,1263.5
LEFTLUNG,OBLIQUEFISSURE,83.2541,-138.285,1290
LEFTLUNG,OBLIQUEFISSURE,83.2541,-117.777,1313
LEFTLUNG,OBLIQUEFISSURE,83.2541,-101.957,1331
LEFTLUNG,OBLIQUEFISSURE,61.5744,-198.051,1196.5
LEFTLUNG,OBLIQUEFISSURE,61.5744,-192.191,1208
LEFTLUNG,OBLIQUEFISSURE,61.5744,-179.301,1237
LEFTLUNG,OBLIQUEFISSURE,61.5744,-156.449,1266
LEFTLUNG,OBLIQUEFISSURE,61.5744,-130.668,1303
LEFTLUNG,OBLIQUEFISSURE,61.5744,-108.988,1324
LEFTLUNG,OBLIQUEFISSURE,61.5744,-94.3396,1348
LEFTLUNG,OBLIQUEFISSURE,44.5822,-176.371,1228.5
LEFTLUNG,OBLIQUEFISSURE,44.5822,-172.855,1236
LEFTLUNG,OBLIQUEFISSURE,44.5822,-167.582,1251.5
LEFTLUNG,OBLIQUEFISSURE,44.5822,-144.73,1292
LEFTLUNG,OBLIQUEFISSURE,44.5822,-133.012,1306
LEFTLUNG,OBLIQUEFISSURE,44.5822,-115.433,1323.5
LEFTLUNG,OBLIQUEFISSURE,44.5822,-103.129,1334.5
LEFTLUNG,OBLIQUEFISSURE,44.5822,-93.1678,1351
LEFTLUNG,OBLIQUEFISSURE,28.176,-161.723,1240
LEFTLUNG,OBLIQUEFISSURE,28.176,-160.551,1241
RIGHTLUNG,OBLIQUEFISSURE,-128.269,-195.121,1193.5
RIGHTLUNG,OBLIQUEFISSURE,-128.269,-188.676,1208
RIGHTLUNG,OBLIQUEFISSURE,-128.269,-178.715,1223
RIGHTLUNG,OBLIQUEFISSURE,-128.269,-164.066,1244
RIGHTLUNG,OBLIQUEFISSURE,-128.269,-158.207,1251.5
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-211.527,1169.5
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-200.394,1192
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-188.09,1213.5
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-169.34,1239
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-152.933,1259
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-149.418,1262
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-142.972,1268
RIGHTLUNG,OBLIQUEFISSURE,-122.996,-133.012,1275.5
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-228.519,1151.5
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-219.73,1171.5
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-196.879,1205
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-171.683,1241
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-155.863,1260
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-150.004,1265.5
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-128.91,1282
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-111.332,1293
RIGHTLUNG,OBLIQUEFISSURE,-110.105,-102.543,1299
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-221.488,1169.5
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-202.152,1199
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-183.402,1223
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-176.957,1236
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-157.035,1262.5
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-132.426,1284.5
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-111.918,1298
RIGHTLUNG,OBLIQUEFISSURE,-96.6288,-92.5818,1311
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-212.113,1185.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-199.223,1201.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-182.23,1221
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-164.066,1245.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-157.621,1260
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-152.347,1277.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-135.941,1291
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-110.746,1306
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-94.9256,1316.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0194,-85.5506,1327.5
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-206.84,1187
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-194.535,1202
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-179.301,1220.5
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-175.199,1227.5
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-161.723,1275
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-147.074,1290.5
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-112.504,1310
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-91.4099,1325.5
RIGHTLUNG,OBLIQUEFISSURE,-59.1288,-84.9646,1333.5
RIGHTLUNG,OBLIQUEFISSURE,-45.0663,-197.465,1194
