Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-117.695,-233.987,-291.5
RIGHTLUNG,OBLIQUEFISSURE,-117.695,-213.48,-256
RIGHTLUNG,OBLIQUEFISSURE,-117.695,-183.45,-219.5
RIGHTLUNG,OBLIQUEFISSURE,-117.695,-146.829,-176
RIGHTLUNG,OBLIQUEFISSURE,-117.695,-130.716,-162.5
RIGHTLUNG,OBLIQUEFISSURE,-117.695,-103.616,-141.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-210.55,-256
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-177.591,-216.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-165.14,-201.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-151.224,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-128.519,-153.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-99.9543,-133.5
RIGHTLUNG,OBLIQUEFISSURE,-92.7922,-90.4328,-121
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-203.958,-256.5
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-173.196,-219
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-157.083,-199
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-154.153,-179
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-136.575,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-113.138,-135
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-91.8976,-117.5
RIGHTLUNG,OBLIQUEFISSURE,-73.0168,-84.5734,-109
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-198.099,-253.5
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-174.661,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-160.013,-201
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-155.618,-194
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-157.083,-181
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-146.829,-168
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-123.392,-143
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-109.476,-131
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-94.8273,-123
RIGHTLUNG,OBLIQUEFISSURE,-64.2277,-84.5734,-105
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-205.423,-264.5
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-187.112,-233.5
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-178.323,-218.5
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-142.435,-159
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-109.476,-130
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-94.0949,-117
RIGHTLUNG,OBLIQUEFISSURE,-51.7766,-88.2355,-108
RIGHTLUNG,OBLIQUEFISSURE,-29.0715,-183.45,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-29.0715,-177.591,-218.5
RIGHTLUNG,OBLIQUEFISSURE,-29.0715,-173.929,-217.5
RIGHTLUNG,OBLIQUEFISSURE,-35.6633,-113.87,-135
RIGHTLUNG,OBLIQUEFISSURE,-35.6633,-104.349,-123
RIGHTLUNG,OBLIQUEFISSURE,-35.6633,-96.2922,-114.5
LEFTLUNG,OBLIQUEFISSURE,141.583,-185.648,-219.5
LEFTLUNG,OBLIQUEFISSURE,141.583,-154.886,-193
LEFTLUNG,OBLIQUEFISSURE,121.807,-215.677,-303.5
LEFTLUNG,OBLIQUEFISSURE,121.807,-212.747,-272.5
LEFTLUNG,OBLIQUEFISSURE,121.807,-186.38,-226.5
LEFTLUNG,OBLIQUEFISSURE,121.807,-151.956,-192.5
LEFTLUNG,OBLIQUEFISSURE,121.807,-198.831,-248
LEFTLUNG,OBLIQUEFISSURE,121.807,-120.462,-162.5
LEFTLUNG,OBLIQUEFISSURE,106.427,-212.747,-287
LEFTLUNG,OBLIQUEFISSURE,106.427,-201.761,-265
LEFTLUNG,OBLIQUEFISSURE,106.427,-161.478,-204
LEFTLUNG,OBLIQUEFISSURE,106.427,-125.589,-166
LEFTLUNG,OBLIQUEFISSURE,106.427,-111.673,-147
LEFTLUNG,OBLIQUEFISSURE,106.427,-95.5597,-130
LEFTLUNG,OBLIQUEFISSURE,90.3133,-181.986,-247
LEFTLUNG,OBLIQUEFISSURE,90.3133,-153.421,-194.5
LEFTLUNG,OBLIQUEFISSURE,90.3133,-111.673,-146.5
LEFTLUNG,OBLIQUEFISSURE,90.3133,-87.5031,-114
LEFTLUNG,OBLIQUEFISSURE,75.6649,-151.956,-205.5
LEFTLUNG,OBLIQUEFISSURE,75.6649,-125.589,-156
LEFTLUNG,OBLIQUEFISSURE,75.6649,-99.9543,-125.5
LEFTLUNG,OBLIQUEFISSURE,75.6649,-88.2355,-103
LEFTLUNG,OBLIQUEFISSURE,64.6785,-129.984,-164
LEFTLUNG,OBLIQUEFISSURE,64.6785,-119.73,-145.5
LEFTLUNG,OBLIQUEFISSURE,64.6785,-91.8976,-108
LEFTLUNG,OBLIQUEFISSURE,64.6785,-86.0382,-91.5
LEFTLUNG,OBLIQUEFISSURE,66.1434,-167.337,-238
LEFTLUNG,OBLIQUEFISSURE,66.1434,-143.167,-191.5
LEFTLUNG,OBLIQUEFISSURE,66.1434,-132.913,-166.5
LEFTLUNG,OBLIQUEFISSURE,52.2274,-132.913,-157
LEFTLUNG,OBLIQUEFISSURE,52.2274,-109.476,-129.5
LEFTLUNG,OBLIQUEFISSURE,52.2274,-92.63,-99
LEFTLUNG,OBLIQUEFISSURE,52.2274,-88.2355,-87
LEFTLUNG,OBLIQUEFISSURE,39.0438,-131.448,-148
LEFTLUNG,OBLIQUEFISSURE,39.0438,-113.87,-126.5
LEFTLUNG,OBLIQUEFISSURE,39.0438,-104.349,-111.5
LEFTLUNG,OBLIQUEFISSURE,39.0438,-94.8273,-90
LEFTLUNG,OBLIQUEFISSURE,28.0574,-140.237,-150
LEFTLUNG,OBLIQUEFISSURE,28.0574,-137.308,-143.5
LEFTLUNG,OBLIQUEFISSURE,28.0574,-117.532,-124
LEFTLUNG,OBLIQUEFISSURE,28.0574,-111.673,-116.5
LEFTLUNG,OBLIQUEFISSURE,28.0574,-105.814,-100
LEFTLUNG,OBLIQUEFISSURE,28.0574,-101.419,-91
LEFTLUNG,OBLIQUEFISSURE,20.7332,-122.659,-114
LEFTLUNG,OBLIQUEFISSURE,20.7332,-116.8,-112.5
LEFTLUNG,OBLIQUEFISSURE,20.7332,-112.405,-102
RIGHTLUNG,OBLIQUEFISSURE,-72.2844,-170.267,-215
RIGHTLUNG,OBLIQUEFISSURE,-72.2844,-160.745,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-72.2844,-146.829,-170
RIGHTLUNG,OBLIQUEFISSURE,-72.2844,-138.04,-160
RIGHTLUNG,OBLIQUEFISSURE,-43.7199,-201.761,-264.5
RIGHTLUNG,OBLIQUEFISSURE,-43.7199,-190.775,-249.5
RIGHTLUNG,OBLIQUEFISSURE,-43.7199,-185.648,-235.5
LEFTLUNG,OBLIQUEFISSURE,135.723,-202.493,-240
LEFTLUNG,OBLIQUEFISSURE,135.723,-195.169,-232
LEFTLUNG,OBLIQUEFISSURE,135.723,-184.183,-222.5
LEFTLUNG,OBLIQUEFISSURE,135.723,-175.394,-213.5
LEFTLUNG,OBLIQUEFISSURE,135.723,-167.337,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-140.4,-160.013,-189.5
RIGHTLUNG,OBLIQUEFISSURE,-140.4,-147.562,-177
LEFTLUNG,OBLIQUEFISSURE,124.737,-209.818,-268
LEFTLUNG,OBLIQUEFISSURE,124.737,-203.958,-255
RIGHTLUNG,HORIZONTALFISSURE,-116.23,-224.466,-183
RIGHTLUNG,HORIZONTALFISSURE,-116.23,-196.634,-175.5
RIGHTLUNG,HORIZONTALFISSURE,-116.23,-166.605,-173.5
RIGHTLUNG,HORIZONTALFISSURE,-116.23,-151.224,-174.5
RIGHTLUNG,HORIZONTALFISSURE,-100.849,-237.65,-191.5
RIGHTLUNG,HORIZONTALFISSURE,-100.849,-196.634,-173
RIGHTLUNG,HORIZONTALFISSURE,-100.849,-153.421,-175.5
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-244.974,-196
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-214.945,-175
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-206.155,-177
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-194.437,-174.5
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-181.986,-173
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-170.267,-174.5
RIGHTLUNG,HORIZONTALFISSURE,-81.8059,-155.618,-177.5
RIGHTLUNG,HORIZONTALFISSURE,-73.0168,-237.65,-188
RIGHTLUNG,HORIZONTALFISSURE,-73.0168,-218.607,-177.5
RIGHTLUNG,HORIZONTALFISSURE,-73.0168,-190.775,-178
RIGHTLUNG,HORIZONTALFISSURE,-73.0168,-177.591,-175
RIGHTLUNG,HORIZONTALFISSURE,-73.0168,-168.802,-175
RIGHTLUNG,HORIZONTALFISSURE,-73.0168,-156.351,-179
RIGHTLUNG,HORIZONTALFISSURE,-61.298,-246.439,-195
RIGHTLUNG,HORIZONTALFISSURE,-61.298,-240.579,-193
RIGHTLUNG,HORIZONTALFISSURE,-54.7062,-165.872,-180.5
RIGHTLUNG,HORIZONTALFISSURE,-54.7062,-247.171,-200.5
RIGHTLUNG,HORIZONTALFISSURE,-54.7062,-240.579,-197
RIGHTLUNG,HORIZONTALFISSURE,-38.593,-242.777,-206
RIGHTLUNG,HORIZONTALFISSURE,-38.593,-198.831,-182.5
RIGHTLUNG,HORIZONTALFISSURE,-38.593,-191.507,-181
