Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-116.559,-219.894,-246
RIGHTLUNG,OBLIQUEFISSURE,-116.559,-193.996,-214.5
RIGHTLUNG,OBLIQUEFISSURE,-116.559,-168.098,-179
RIGHTLUNG,OBLIQUEFISSURE,-116.559,-142.199,-163.5
RIGHTLUNG,OBLIQUEFISSURE,-116.559,-129.582,-156.5
RIGHTLUNG,OBLIQUEFISSURE,-109.918,-218.566,-243
RIGHTLUNG,OBLIQUEFISSURE,-109.918,-196.652,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-109.918,-172.082,-187.5
RIGHTLUNG,OBLIQUEFISSURE,-109.918,-156.144,-170
RIGHTLUNG,OBLIQUEFISSURE,-109.918,-128.254,-154.5
RIGHTLUNG,OBLIQUEFISSURE,-102.613,-223.215,-253
RIGHTLUNG,OBLIQUEFISSURE,-102.613,-194.66,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-102.613,-164.113,-178
RIGHTLUNG,OBLIQUEFISSURE,-102.613,-152.824,-168
RIGHTLUNG,OBLIQUEFISSURE,-102.613,-122.277,-149.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3008,-213.918,-246.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3008,-189.348,-220.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3008,-165.441,-177.5
RIGHTLUNG,OBLIQUEFISSURE,-97.3008,-138.879,-158
RIGHTLUNG,OBLIQUEFISSURE,-97.3008,-110.324,-139
RIGHTLUNG,OBLIQUEFISSURE,-97.3008,-227.863,-264.5
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-219.894,-259.5
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-209.269,-242
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-188.019,-223.5
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-171.418,-188.5
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-154.152,-168
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-121.613,-145
RIGHTLUNG,OBLIQUEFISSURE,-91.3242,-107.668,-137
