Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,130.14,-28.8204,-220.5
LEFTLUNG,OBLIQUEFISSURE,130.14,-8.23448,-196.75
LEFTLUNG,OBLIQUEFISSURE,130.14,2.39051,-184.875
LEFTLUNG,OBLIQUEFISSURE,130.14,15.6717,-171.125
LEFTLUNG,OBLIQUEFISSURE,130.14,22.3124,-163
LEFTLUNG,OBLIQUEFISSURE,114.203,-45.422,-249.25
LEFTLUNG,OBLIQUEFISSURE,114.203,-30.8126,-233
LEFTLUNG,OBLIQUEFISSURE,114.203,-23.5079,-216.125
LEFTLUNG,OBLIQUEFISSURE,114.203,-4.91417,-191.125
LEFTLUNG,OBLIQUEFISSURE,114.203,15.6717,-166.75
LEFTLUNG,OBLIQUEFISSURE,114.203,30.9452,-152.375
LEFTLUNG,OBLIQUEFISSURE,114.203,44.8905,-141.125
LEFTLUNG,OBLIQUEFISSURE,106.234,-51.3985,-260.5
LEFTLUNG,OBLIQUEFISSURE,106.234,-30.8126,-235.5
LEFTLUNG,OBLIQUEFISSURE,106.234,-18.1954,-211.75
LEFTLUNG,OBLIQUEFISSURE,106.234,3.05457,-180.5
LEFTLUNG,OBLIQUEFISSURE,106.234,22.9764,-157.375
LEFTLUNG,OBLIQUEFISSURE,106.234,42.2342,-139.25
LEFTLUNG,OBLIQUEFISSURE,106.234,54.8514,-128
LEFTLUNG,OBLIQUEFISSURE,95.6092,-57.3751,-273.625
LEFTLUNG,OBLIQUEFISSURE,95.6092,-26.8282,-233
LEFTLUNG,OBLIQUEFISSURE,95.6092,-2.92199,-191.75
LEFTLUNG,OBLIQUEFISSURE,95.6092,34.2655,-145.5
LEFTLUNG,OBLIQUEFISSURE,95.6092,62.1561,-113
LEFTLUNG,OBLIQUEFISSURE,70.3748,-42.1016,-267.375
LEFTLUNG,OBLIQUEFISSURE,70.3748,-26.1642,-246.125
LEFTLUNG,OBLIQUEFISSURE,70.3748,-10.2267,-220.5
LEFTLUNG,OBLIQUEFISSURE,70.3748,12.3514,-196.125
LEFTLUNG,OBLIQUEFISSURE,70.3748,18.9921,-171.125
LEFTLUNG,OBLIQUEFISSURE,70.3748,39.578,-138.625
LEFTLUNG,OBLIQUEFISSURE,70.3748,64.1483,-93.625
LEFTLUNG,OBLIQUEFISSURE,53.7733,-6.2423,-226.75
LEFTLUNG,OBLIQUEFISSURE,53.7733,-1.59386,-214.25
LEFTLUNG,OBLIQUEFISSURE,53.7733,9.03113,-203.625
LEFTLUNG,OBLIQUEFISSURE,53.7733,30.2811,-145.5
LEFTLUNG,OBLIQUEFISSURE,53.7733,55.5155,-110.5
LEFTLUNG,OBLIQUEFISSURE,53.7733,66.1405,-89.875
