Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-125.232,-95.0195,-275.75
RIGHTLUNG,OBLIQUEFISSURE,-125.232,-60.8398,-242.625
RIGHTLUNG,OBLIQUEFISSURE,-125.232,-18.457,-192
RIGHTLUNG,OBLIQUEFISSURE,-125.232,21.1915,-153.875
RIGHTLUNG,OBLIQUEFISSURE,-125.232,30.0782,-142
RIGHTLUNG,OBLIQUEFISSURE,-118.396,-101.172,-277.625
RIGHTLUNG,OBLIQUEFISSURE,-118.396,-62.207,-243.25
RIGHTLUNG,OBLIQUEFISSURE,-118.396,-17.7734,-188.875
RIGHTLUNG,OBLIQUEFISSURE,-118.396,21.1915,-148.25
RIGHTLUNG,OBLIQUEFISSURE,-118.396,43.0665,-131.375
RIGHTLUNG,OBLIQUEFISSURE,-111.56,-99.1211,-272.625
RIGHTLUNG,OBLIQUEFISSURE,-111.56,-60.8398,-240.125
RIGHTLUNG,OBLIQUEFISSURE,-111.56,-21.1914,-192.625
RIGHTLUNG,OBLIQUEFISSURE,-111.56,9.57038,-158.875
RIGHTLUNG,OBLIQUEFISSURE,-111.56,34.1798,-137.625
RIGHTLUNG,OBLIQUEFISSURE,-111.56,51.9532,-123.875
RIGHTLUNG,OBLIQUEFISSURE,-104.724,-101.172,-269.5
RIGHTLUNG,OBLIQUEFISSURE,-104.724,-62.8906,-242.625
RIGHTLUNG,OBLIQUEFISSURE,-104.724,-27.3437,-197
RIGHTLUNG,OBLIQUEFISSURE,-104.724,11.6212,-153.875
RIGHTLUNG,OBLIQUEFISSURE,-104.724,37.5977,-134.5
RIGHTLUNG,OBLIQUEFISSURE,-104.724,59.4727,-117.625
RIGHTLUNG,OBLIQUEFISSURE,-97.2047,-98.4375,-267.625
RIGHTLUNG,OBLIQUEFISSURE,-97.2047,-54.0039,-230.125
RIGHTLUNG,OBLIQUEFISSURE,-97.2047,-13.6718,-182
RIGHTLUNG,OBLIQUEFISSURE,-97.2047,18.4571,-143.25
RIGHTLUNG,OBLIQUEFISSURE,-97.2047,54.004,-120.75
RIGHTLUNG,OBLIQUEFISSURE,-97.2047,72.461,-105.125
RIGHTLUNG,OBLIQUEFISSURE,-90.3687,-88.8672,-259.5
RIGHTLUNG,OBLIQUEFISSURE,-90.3687,-45.1171,-223.875
RIGHTLUNG,OBLIQUEFISSURE,-90.3687,-8.20306,-175.125
RIGHTLUNG,OBLIQUEFISSURE,-90.3687,16.4063,-144.5
RIGHTLUNG,OBLIQUEFISSURE,-90.3687,45.8009,-126.375
RIGHTLUNG,OBLIQUEFISSURE,-90.3687,76.5626,-100.75
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,-93.6523,-261.375
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,-51.2695,-228.25
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,-17.7734,-190.75
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,9.57038,-152
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,25.293,-138.875
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,64.9415,-110.75
RIGHTLUNG,OBLIQUEFISSURE,-82.8492,79.9806,-97.625
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,-88.1836,-258.25
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,-59.4726,-232
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,-30.7617,-211.375
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,0.683658,-162.625
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,12.3048,-144.5
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,45.8009,-123.25
RIGHTLUNG,OBLIQUEFISSURE,-74.6461,77.2462,-100.125
