Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-107.972,-11.9999,-191.125
RIGHTLUNG,OBLIQUEFISSURE,-107.972,12.0236,-162.375
RIGHTLUNG,OBLIQUEFISSURE,-107.972,36.047,-137.375
RIGHTLUNG,OBLIQUEFISSURE,-100.941,-23.7186,-204.875
RIGHTLUNG,OBLIQUEFISSURE,-100.941,-1.45299,-178
RIGHTLUNG,OBLIQUEFISSURE,-100.941,42.4924,-133.625
RIGHTLUNG,OBLIQUEFISSURE,-100.941,47.1799,-131.75
RIGHTLUNG,OBLIQUEFISSURE,-93.3234,-22.5468,-200.5
RIGHTLUNG,OBLIQUEFISSURE,-93.3234,-0.281112,-173.625
RIGHTLUNG,OBLIQUEFISSURE,-93.3234,36.047,-134.25
RIGHTLUNG,OBLIQUEFISSURE,-93.3234,51.2814,-124.875
RIGHTLUNG,OBLIQUEFISSURE,-85.7062,-21.9608,-196.75
RIGHTLUNG,OBLIQUEFISSURE,-85.7062,4.99233,-169.25
RIGHTLUNG,OBLIQUEFISSURE,-85.7062,38.9767,-129.25
RIGHTLUNG,OBLIQUEFISSURE,-85.7062,61.8283,-118
RIGHTLUNG,OBLIQUEFISSURE,-78.6749,-17.8593,-191.125
RIGHTLUNG,OBLIQUEFISSURE,-78.6749,9.0939,-163
RIGHTLUNG,OBLIQUEFISSURE,-78.6749,38.9767,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-78.6749,62.4143,-116.75
RIGHTLUNG,OBLIQUEFISSURE,-72.2296,-21.9608,-193
RIGHTLUNG,OBLIQUEFISSURE,-72.2296,9.67983,-164.875
RIGHTLUNG,OBLIQUEFISSURE,-72.2296,35.4611,-131.75
RIGHTLUNG,OBLIQUEFISSURE,-72.2296,63.5861,-114.25
RIGHTLUNG,OBLIQUEFISSURE,-65.1984,-18.4452,-190.5
RIGHTLUNG,OBLIQUEFISSURE,-65.1984,12.0236,-161.75
RIGHTLUNG,OBLIQUEFISSURE,-65.1984,40.7345,-126.75
