Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,115.034,-184.06,1228.99
LEFTLUNG,OBLIQUEFISSURE,115.034,-177.908,1252.79
LEFTLUNG,OBLIQUEFISSURE,115.034,-170.388,1274.49
LEFTLUNG,OBLIQUEFISSURE,115.034,-162.185,1287.09
LEFTLUNG,OBLIQUEFISSURE,115.034,-150.564,1301.79
LEFTLUNG,OBLIQUEFISSURE,115.034,-140.31,1320.69
LEFTLUNG,OBLIQUEFISSURE,115.034,-134.158,1334.69
LEFTLUNG,OBLIQUEFISSURE,105.463,-169.021,1259.09
LEFTLUNG,OBLIQUEFISSURE,105.463,-157.4,1287.09
LEFTLUNG,OBLIQUEFISSURE,105.463,-147.146,1303.89
LEFTLUNG,OBLIQUEFISSURE,105.463,-136.892,1326.29
LEFTLUNG,OBLIQUEFISSURE,105.463,-130.056,1343.79
LEFTLUNG,OBLIQUEFISSURE,105.463,-125.271,1355.68
LEFTLUNG,OBLIQUEFISSURE,93.1585,-156.717,1267.49
LEFTLUNG,OBLIQUEFISSURE,93.1585,-147.83,1295.49
LEFTLUNG,OBLIQUEFISSURE,93.1585,-136.209,1326.99
LEFTLUNG,OBLIQUEFISSURE,93.1585,-126.638,1352.18
LEFTLUNG,OBLIQUEFISSURE,93.1585,-121.17,1366.88
LEFTLUNG,OBLIQUEFISSURE,78.803,-145.779,1270.99
LEFTLUNG,OBLIQUEFISSURE,78.803,-138.943,1304.59
LEFTLUNG,OBLIQUEFISSURE,78.803,-132.107,1329.79
LEFTLUNG,OBLIQUEFISSURE,78.803,-126.638,1348.68
LEFTLUNG,OBLIQUEFISSURE,78.803,-120.486,1371.08
LEFTLUNG,OBLIQUEFISSURE,69.9163,-130.056,1326.29
LEFTLUNG,OBLIQUEFISSURE,69.9163,-126.638,1347.28
LEFTLUNG,OBLIQUEFISSURE,69.9163,-122.537,1368.28
LEFTLUNG,OBLIQUEFISSURE,61.0296,-125.271,1355.68
LEFTLUNG,OBLIQUEFISSURE,61.0296,-121.17,1381.58
LEFTLUNG,OBLIQUEFISSURE,39.1546,-126.638,1373.88
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-79.7908,-177.224,1245.09
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-79.7908,-164.236,1254.89
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-79.7908,-152.615,1266.79
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-79.7908,-143.728,1272.39
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-79.7908,-134.158,1280.79
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-79.7908,-121.853,1294.79
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-79.7908,-109.549,1301.79
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-79.7908,-97.2439,1305.29
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-79.7908,-86.9899,1303.89
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-79.7908,-75.3689,1296.89
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-65.4353,-177.908,1240.89
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-65.4353,-166.97,1249.99
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-65.4353,-157.4,1259.09
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-65.4353,-144.412,1263.99
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.4353,-132.107,1286.39
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.4353,-123.904,1296.19
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.4353,-111.599,1306.69
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.4353,-99.9782,1310.89
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.4353,-91.0915,1310.89
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.4353,-76.0524,1306.69
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-90.7283,-174.49,1244.39
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-90.7283,-164.236,1251.39
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-90.7283,-156.033,1266.09
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-90.7283,-148.513,1269.59
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-90.7283,-119.802,1291.99
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-90.7283,-106.814,1297.59
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-90.7283,-92.4587,1298.29
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-90.7283,-80.154,1291.99
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-90.7283,-97.9275,1299.69
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-119.439,-197.732,1226.19
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-119.439,-183.377,1238.09
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-119.439,-168.338,1250.69
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-119.439,-167.654,1250.69
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-119.439,-150.564,1256.99
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-119.439,-137.576,1262.59
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-119.439,-123.22,1267.49
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-96.8806,-175.174,1242.99
RIGHTLUNG,HORIZONTALFISSURE,-96.8806,-158.084,1263.99
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-96.8806,-143.045,1273.09
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-96.8806,-128.006,1284.29
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-96.8806,-115.017,1290.59
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-96.8806,-103.396,1294.09
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-96.8806,-85.6228,1289.19
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-18.9509,-125.271,1314.39
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-18.9509,-110.232,1317.89
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-15.5329,-122.537,1317.19
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-15.5329,-113.65,1320.69
RIGHTLUNG,HORIZONTALFISSURE,-124.224,-193.631,1248.59
RIGHTLUNG,HORIZONTALFISSURE,-124.224,-192.947,1247.89
