Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-113.78,-191.768,-240.5
RIGHTLUNG,OBLIQUEFISSURE,-113.78,-161.905,-195.5
RIGHTLUNG,OBLIQUEFISSURE,-113.78,-132.584,-161.5
RIGHTLUNG,OBLIQUEFISSURE,-109.979,-195.569,-244
RIGHTLUNG,OBLIQUEFISSURE,-109.979,-171.135,-205
RIGHTLUNG,OBLIQUEFISSURE,-109.979,-130.413,-157
RIGHTLUNG,OBLIQUEFISSURE,-109.979,-116.295,-145
RIGHTLUNG,OBLIQUEFISSURE,-105.635,-199.913,-245.5
RIGHTLUNG,OBLIQUEFISSURE,-105.635,-176.565,-213
RIGHTLUNG,OBLIQUEFISSURE,-105.635,-131.498,-157
RIGHTLUNG,OBLIQUEFISSURE,-105.635,-111.409,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-100.206,-199.913,-244
RIGHTLUNG,OBLIQUEFISSURE,-100.206,-171.678,-205.5
RIGHTLUNG,OBLIQUEFISSURE,-100.206,-142.358,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-100.206,-120.096,-144.5
RIGHTLUNG,OBLIQUEFISSURE,-100.206,-98.9203,-132
RIGHTLUNG,OBLIQUEFISSURE,-95.8618,-197.198,-238.5
RIGHTLUNG,OBLIQUEFISSURE,-95.8618,-162.991,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-95.8618,-127.155,-147
RIGHTLUNG,OBLIQUEFISSURE,-95.8618,-98.3774,-131.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2602,-197.198,-239
RIGHTLUNG,OBLIQUEFISSURE,-88.2602,-171.678,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2602,-141.815,-166
RIGHTLUNG,OBLIQUEFISSURE,-88.2602,-128.241,-146.5
RIGHTLUNG,OBLIQUEFISSURE,-88.2602,-92.4047,-128.5
RIGHTLUNG,OBLIQUEFISSURE,-81.7446,-197.198,-238
RIGHTLUNG,OBLIQUEFISSURE,-81.7446,-165.163,-197
RIGHTLUNG,OBLIQUEFISSURE,-81.7446,-136.385,-156
RIGHTLUNG,OBLIQUEFISSURE,-81.7446,-119.01,-140
RIGHTLUNG,OBLIQUEFISSURE,-81.7446,-84.8031,-124
RIGHTLUNG,OBLIQUEFISSURE,-77.4008,-197.741,-242
RIGHTLUNG,OBLIQUEFISSURE,-77.4008,-170.592,-203.5
RIGHTLUNG,OBLIQUEFISSURE,-77.4008,-142.901,-166.5
RIGHTLUNG,OBLIQUEFISSURE,-77.4008,-132.041,-148
RIGHTLUNG,OBLIQUEFISSURE,-77.4008,-100.006,-129.5
RIGHTLUNG,OBLIQUEFISSURE,-77.4008,-77.2016,-120.5
RIGHTLUNG,OBLIQUEFISSURE,-71.4282,-194.483,-237.5
RIGHTLUNG,OBLIQUEFISSURE,-71.4282,-165.706,-201
RIGHTLUNG,OBLIQUEFISSURE,-71.4282,-143.444,-170
RIGHTLUNG,OBLIQUEFISSURE,-71.4282,-110.866,-131
RIGHTLUNG,OBLIQUEFISSURE,-71.4282,-77.2016,-120
RIGHTLUNG,OBLIQUEFISSURE,-71.4282,-69.6,-115.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3696,-191.768,-235.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3696,-160.276,-198.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3696,-126.612,-144
RIGHTLUNG,OBLIQUEFISSURE,-64.3696,-107.608,-129.5
RIGHTLUNG,OBLIQUEFISSURE,-64.3696,-71.7719,-117
RIGHTLUNG,OBLIQUEFISSURE,-57.854,-187.967,-234
RIGHTLUNG,OBLIQUEFISSURE,-57.854,-154.846,-192.5
RIGHTLUNG,OBLIQUEFISSURE,-57.854,-120.639,-138.5
RIGHTLUNG,OBLIQUEFISSURE,-57.854,-103.264,-123.5
RIGHTLUNG,OBLIQUEFISSURE,-57.854,-79.9164,-121
RIGHTLUNG,OBLIQUEFISSURE,-57.854,-68.5141,-115
RIGHTLUNG,OBLIQUEFISSURE,-50.7954,-185.795,-234
RIGHTLUNG,OBLIQUEFISSURE,-50.7954,-155.389,-198
RIGHTLUNG,OBLIQUEFISSURE,-50.7954,-135.299,-167
RIGHTLUNG,OBLIQUEFISSURE,-50.7954,-93.4906,-124
RIGHTLUNG,OBLIQUEFISSURE,-50.7954,-78.2875,-122
RIGHTLUNG,OBLIQUEFISSURE,-50.7954,-65.7992,-113.5
RIGHTLUNG,OBLIQUEFISSURE,-43.7368,-184.709,-235.5
RIGHTLUNG,OBLIQUEFISSURE,-43.7368,-144.53,-184.5
RIGHTLUNG,OBLIQUEFISSURE,-37.7641,-88.0609,-122.5
RIGHTLUNG,OBLIQUEFISSURE,-37.7641,-69.057,-119
RIGHTLUNG,OBLIQUEFISSURE,-31.2485,-174.393,-228
RIGHTLUNG,OBLIQUEFISSURE,-31.2485,-146.702,-179
UNDEFINEDREGION,UNDEFINEDTYPE,-24.7329,-176.022,-232.5
RIGHTLUNG,OBLIQUEFISSURE,-24.7329,-156.475,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-24.7329,-147.788,-181.5
LEFTLUNG,OBLIQUEFISSURE,113.724,-179.28,-205
LEFTLUNG,OBLIQUEFISSURE,113.724,-151.045,-182.5
LEFTLUNG,OBLIQUEFISSURE,113.724,-134.213,-166
LEFTLUNG,OBLIQUEFISSURE,103.408,-202.627,-233.5
LEFTLUNG,OBLIQUEFISSURE,103.408,-173.85,-199
LEFTLUNG,OBLIQUEFISSURE,103.408,-139.1,-171
LEFTLUNG,OBLIQUEFISSURE,103.408,-102.721,-135
LEFTLUNG,OBLIQUEFISSURE,96.8922,-214.573,-251
LEFTLUNG,OBLIQUEFISSURE,96.8922,-178.194,-204
LEFTLUNG,OBLIQUEFISSURE,96.8922,-133.67,-167
LEFTLUNG,OBLIQUEFISSURE,96.8922,-96.2055,-125.5
LEFTLUNG,OBLIQUEFISSURE,88.2047,-220.002,-262
LEFTLUNG,OBLIQUEFISSURE,88.2047,-180.366,-211.5
LEFTLUNG,OBLIQUEFISSURE,88.2047,-132.584,-166
LEFTLUNG,OBLIQUEFISSURE,88.2047,-97.2914,-124.5
LEFTLUNG,OBLIQUEFISSURE,88.2047,-85.8891,-114
LEFTLUNG,OBLIQUEFISSURE,80.0602,-219.459,-270
LEFTLUNG,OBLIQUEFISSURE,80.0602,-191.768,-231
LEFTLUNG,OBLIQUEFISSURE,80.0602,-156.475,-190
LEFTLUNG,OBLIQUEFISSURE,80.0602,-111.409,-137
LEFTLUNG,OBLIQUEFISSURE,80.0602,-84.2602,-110
LEFTLUNG,OBLIQUEFISSURE,72.4586,-214.573,-268
LEFTLUNG,OBLIQUEFISSURE,72.4586,-185.252,-230
LEFTLUNG,OBLIQUEFISSURE,72.4586,-148.873,-185
LEFTLUNG,OBLIQUEFISSURE,72.4586,-110.323,-135.5
LEFTLUNG,OBLIQUEFISSURE,72.4586,-84.2602,-110
LEFTLUNG,OBLIQUEFISSURE,64.857,-195.026,-250.5
LEFTLUNG,OBLIQUEFISSURE,64.857,-171.678,-221
LEFTLUNG,OBLIQUEFISSURE,64.857,-130.413,-167.5
LEFTLUNG,OBLIQUEFISSURE,64.857,-95.6625,-123.5
LEFTLUNG,OBLIQUEFISSURE,64.857,-78.2875,-103.5
LEFTLUNG,OBLIQUEFISSURE,57.2555,-110.866,-134.5
LEFTLUNG,OBLIQUEFISSURE,57.2555,-83.1742,-110.5
LEFTLUNG,OBLIQUEFISSURE,57.2555,-76.6586,-98
LEFTLUNG,OBLIQUEFISSURE,50.7398,-112.495,-133
LEFTLUNG,OBLIQUEFISSURE,50.7398,-93.4906,-116
