Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-145.44,-252.319,-195
RIGHTLUNG,OBLIQUEFISSURE,-145.44,-232.084,-177
RIGHTLUNG,OBLIQUEFISSURE,-145.44,-213.295,-168.5
RIGHTLUNG,OBLIQUEFISSURE,-139.659,-258.1,-196
RIGHTLUNG,OBLIQUEFISSURE,-139.659,-241.479,-178.5
RIGHTLUNG,OBLIQUEFISSURE,-139.659,-221.967,-168.5
RIGHTLUNG,OBLIQUEFISSURE,-139.659,-203.178,-161
RIGHTLUNG,OBLIQUEFISSURE,-139.659,-197.397,-160
RIGHTLUNG,OBLIQUEFISSURE,-133.877,-253.764,-187.5
RIGHTLUNG,OBLIQUEFISSURE,-133.877,-220.522,-165
RIGHTLUNG,OBLIQUEFISSURE,-133.877,-192.338,-152
RIGHTLUNG,OBLIQUEFISSURE,-133.877,-185.834,-151
RIGHTLUNG,OBLIQUEFISSURE,-125.928,-247.26,-183.5
RIGHTLUNG,OBLIQUEFISSURE,-125.928,-225.58,-163
RIGHTLUNG,OBLIQUEFISSURE,-125.928,-191.616,-150
RIGHTLUNG,OBLIQUEFISSURE,-125.928,-180.053,-143.5
RIGHTLUNG,OBLIQUEFISSURE,-125.928,-174.272,-142.5
RIGHTLUNG,OBLIQUEFISSURE,-118.702,-245.815,-181
RIGHTLUNG,OBLIQUEFISSURE,-118.702,-214.018,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-118.702,-184.389,-143.5
RIGHTLUNG,OBLIQUEFISSURE,-118.702,-173.549,-139
RIGHTLUNG,OBLIQUEFISSURE,-118.702,-167.045,-138.5
RIGHTLUNG,OBLIQUEFISSURE,-111.475,-237.143,-172
RIGHTLUNG,OBLIQUEFISSURE,-111.475,-202.455,-152.5
RIGHTLUNG,OBLIQUEFISSURE,-111.475,-173.549,-137
RIGHTLUNG,OBLIQUEFISSURE,-111.475,-161.987,-135
RIGHTLUNG,OBLIQUEFISSURE,-111.475,-157.651,-135
RIGHTLUNG,OBLIQUEFISSURE,-103.526,-247.983,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-103.526,-226.303,-167
RIGHTLUNG,OBLIQUEFISSURE,-103.526,-198.842,-148.5
RIGHTLUNG,OBLIQUEFISSURE,-103.526,-173.549,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-103.526,-156.928,-131.5
RIGHTLUNG,OBLIQUEFISSURE,-103.526,-151.87,-131.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5765,-238.588,-175
RIGHTLUNG,OBLIQUEFISSURE,-95.5765,-206.791,-158.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5765,-174.272,-135.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5765,-156.205,-127.5
RIGHTLUNG,OBLIQUEFISSURE,-95.5765,-149.702,-126
RIGHTLUNG,OBLIQUEFISSURE,-87.6273,-238.588,-181.5
RIGHTLUNG,OBLIQUEFISSURE,-87.6273,-216.909,-167
RIGHTLUNG,OBLIQUEFISSURE,-87.6273,-203.178,-154.5
RIGHTLUNG,OBLIQUEFISSURE,-87.6273,-170.659,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-87.6273,-148.979,-123
RIGHTLUNG,OBLIQUEFISSURE,-79.6781,-237.143,-178.5
RIGHTLUNG,OBLIQUEFISSURE,-79.6781,-217.631,-173
RIGHTLUNG,OBLIQUEFISSURE,-79.6781,-196.674,-145.5
RIGHTLUNG,OBLIQUEFISSURE,-79.6781,-167.045,-129
RIGHTLUNG,OBLIQUEFISSURE,-79.6781,-151.147,-120.5
RIGHTLUNG,OBLIQUEFISSURE,-76.7875,-237.866,-186
RIGHTLUNG,OBLIQUEFISSURE,-76.7875,-226.303,-182.5
RIGHTLUNG,OBLIQUEFISSURE,-76.7875,-201.733,-146
RIGHTLUNG,OBLIQUEFISSURE,-76.7875,-169.936,-129.5
RIGHTLUNG,OBLIQUEFISSURE,-76.7875,-147.534,-118.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7289,-237.866,-189.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7289,-229.194,-185.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7289,-200.288,-148
RIGHTLUNG,OBLIQUEFISSURE,-71.7289,-174.995,-130.5
RIGHTLUNG,OBLIQUEFISSURE,-71.7289,-151.147,-118
RIGHTLUNG,OBLIQUEFISSURE,-66.6703,-232.807,-190.5
RIGHTLUNG,OBLIQUEFISSURE,-66.6703,-226.303,-188
RIGHTLUNG,OBLIQUEFISSURE,-66.6703,-188.725,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-66.6703,-161.264,-124
RIGHTLUNG,OBLIQUEFISSURE,-66.6703,-148.256,-113.5
RIGHTLUNG,OBLIQUEFISSURE,-60.889,-182.221,-140
RIGHTLUNG,OBLIQUEFISSURE,-60.889,-154.038,-116
RIGHTLUNG,OBLIQUEFISSURE,-56.5531,-177.885,-132.5
RIGHTLUNG,OBLIQUEFISSURE,-56.5531,-162.709,-121.5
RIGHTLUNG,OBLIQUEFISSURE,-56.5531,-148.979,-106.5
RIGHTLUNG,OBLIQUEFISSURE,-63.7797,-181.498,-134
RIGHTLUNG,OBLIQUEFISSURE,-63.7797,-156.205,-119.5
RIGHTLUNG,OBLIQUEFISSURE,-63.7797,-148.256,-110
LEFTLUNG,OBLIQUEFISSURE,121.943,-218.354,-187.5
