Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-126.883,-172.583,-309
RIGHTLUNG,OBLIQUEFISSURE,-126.883,-155.438,-288.5
RIGHTLUNG,OBLIQUEFISSURE,-122.208,-183.493,-317
RIGHTLUNG,OBLIQUEFISSURE,-122.208,-155.438,-286.5
RIGHTLUNG,OBLIQUEFISSURE,-122.208,-145.307,-271.5
RIGHTLUNG,OBLIQUEFISSURE,-116.753,-190.506,-318
RIGHTLUNG,OBLIQUEFISSURE,-116.753,-164.01,-294.5
RIGHTLUNG,OBLIQUEFISSURE,-116.753,-135.956,-260
RIGHTLUNG,OBLIQUEFISSURE,-112.077,-192.065,-316
RIGHTLUNG,OBLIQUEFISSURE,-112.077,-154.659,-284
RIGHTLUNG,OBLIQUEFISSURE,-112.077,-124.266,-247
RIGHTLUNG,OBLIQUEFISSURE,-107.401,-195.962,-315.5
RIGHTLUNG,OBLIQUEFISSURE,-107.401,-156.997,-284.5
RIGHTLUNG,OBLIQUEFISSURE,-107.401,-115.694,-238
RIGHTLUNG,OBLIQUEFISSURE,-104.284,-195.962,-315
RIGHTLUNG,OBLIQUEFISSURE,-104.284,-155.438,-279.5
RIGHTLUNG,OBLIQUEFISSURE,-104.284,-112.577,-236
RIGHTLUNG,OBLIQUEFISSURE,-98.0494,-200.637,-313.5
RIGHTLUNG,OBLIQUEFISSURE,-98.0494,-168.686,-289
RIGHTLUNG,OBLIQUEFISSURE,-98.0494,-131.28,-250.5
RIGHTLUNG,OBLIQUEFISSURE,-98.0494,-105.563,-223
RIGHTLUNG,OBLIQUEFISSURE,-94.153,-195.182,-309.5
RIGHTLUNG,OBLIQUEFISSURE,-94.153,-153.1,-274.5
RIGHTLUNG,OBLIQUEFISSURE,-94.153,-117.253,-233.5
RIGHTLUNG,OBLIQUEFISSURE,-94.153,-98.5494,-214.5
RIGHTLUNG,OBLIQUEFISSURE,-89.4772,-198.299,-310.5
RIGHTLUNG,OBLIQUEFISSURE,-89.4772,-159.335,-280.5
RIGHTLUNG,OBLIQUEFISSURE,-89.4772,-121.149,-236
RIGHTLUNG,OBLIQUEFISSURE,-89.4772,-102.446,-216
RIGHTLUNG,OBLIQUEFISSURE,-89.4772,-92.315,-208.5
RIGHTLUNG,OBLIQUEFISSURE,-82.4635,-202.196,-307.5
RIGHTLUNG,OBLIQUEFISSURE,-82.4635,-168.686,-283.5
RIGHTLUNG,OBLIQUEFISSURE,-82.4635,-128.942,-241.5
RIGHTLUNG,OBLIQUEFISSURE,-82.4635,-107.122,-215
RIGHTLUNG,OBLIQUEFISSURE,-82.4635,-86.86,-202.5
RIGHTLUNG,OBLIQUEFISSURE,-73.8912,-205.313,-306
RIGHTLUNG,OBLIQUEFISSURE,-73.8912,-159.335,-272.5
RIGHTLUNG,OBLIQUEFISSURE,-73.8912,-123.487,-227
RIGHTLUNG,OBLIQUEFISSURE,-73.8912,-111.018,-212.5
RIGHTLUNG,OBLIQUEFISSURE,-73.8912,-75.9498,-190.5
RIGHTLUNG,OBLIQUEFISSURE,-67.6569,-205.313,-302.5
RIGHTLUNG,OBLIQUEFISSURE,-67.6569,-167.128,-275
RIGHTLUNG,OBLIQUEFISSURE,-67.6569,-134.397,-237.5
RIGHTLUNG,OBLIQUEFISSURE,-67.6569,-117.253,-212.5
RIGHTLUNG,OBLIQUEFISSURE,-67.6569,-86.86,-196.5
RIGHTLUNG,OBLIQUEFISSURE,-67.6569,-73.6119,-186
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-206.092,-300
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-167.128,-273
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-128.163,-221.5
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-144.528,-250
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-118.032,-209.5
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-87.6392,-193.5
RIGHTLUNG,OBLIQUEFISSURE,-62.2018,-69.7154,-182.5
RIGHTLUNG,OBLIQUEFISSURE,-60.6432,-202.975,-296.5
RIGHTLUNG,OBLIQUEFISSURE,-60.6432,-159.335,-264.5
RIGHTLUNG,OBLIQUEFISSURE,-60.6432,-132.059,-230
RIGHTLUNG,OBLIQUEFISSURE,-60.6432,-125.825,-212
RIGHTLUNG,OBLIQUEFISSURE,-60.6432,-95.4322,-197
RIGHTLUNG,OBLIQUEFISSURE,-60.6432,-70.4947,-180.5
RIGHTLUNG,OBLIQUEFISSURE,-54.4088,-204.534,-296.5
RIGHTLUNG,OBLIQUEFISSURE,-54.4088,-164.79,-268
RIGHTLUNG,OBLIQUEFISSURE,-54.4088,-133.618,-227.5
RIGHTLUNG,OBLIQUEFISSURE,-54.4088,-127.383,-209
RIGHTLUNG,OBLIQUEFISSURE,-54.4088,-100.887,-197
RIGHTLUNG,OBLIQUEFISSURE,-54.4088,-73.6119,-182
RIGHTLUNG,OBLIQUEFISSURE,-48.9537,-201.417,-294
RIGHTLUNG,OBLIQUEFISSURE,-48.9537,-157.776,-258
RIGHTLUNG,OBLIQUEFISSURE,-48.9537,-135.176,-225
