Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,104.816,-15.3125,-121.5
LEFTLUNG,OBLIQUEFISSURE,104.816,-6.5625,-112.75
LEFTSUPERIORLOBE,OBLIQUEFISSURE,104.816,-6.5625,-112.125
LEFTLUNG,OBLIQUEFISSURE,104.816,1.09375,-103.375
LEFTSUPERIORLOBE,OBLIQUEFISSURE,104.816,9.84375,-95.875
LEFTSUPERIORLOBE,OBLIQUEFISSURE,104.816,20.7813,-87.125
LEFTSUPERIORLOBE,OBLIQUEFISSURE,104.816,30.0781,-78.375
LEFTLUNG,OBLIQUEFISSURE,91.1438,-3.28125,-110.25
LEFTLUNG,OBLIQUEFISSURE,91.1438,6.5625,-96.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,91.1438,22.9688,-80.875
LEFTSUPERIORLOBE,OBLIQUEFISSURE,91.1438,32.2656,-74.625
LEFTSUPERIORLOBE,OBLIQUEFISSURE,91.1438,37.7344,-69
LEFTSUPERIORLOBE,OBLIQUEFISSURE,91.1438,42.6563,-65.25
LEFTSUPERIORLOBE,OBLIQUEFISSURE,91.1438,50.8594,-54
LEFTLUNG,OBLIQUEFISSURE,75.2844,16.9531,-90.25
LEFTSUPERIORLOBE,OBLIQUEFISSURE,75.2844,28.4375,-77.75
LEFTSUPERIORLOBE,OBLIQUEFISSURE,75.2844,37.7344,-67.125
LEFTSUPERIORLOBE,OBLIQUEFISSURE,75.2844,46.4844,-56.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,75.2844,54.1406,-49
LEFTSUPERIORLOBE,OBLIQUEFISSURE,75.2844,59.0625,-35.875
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.5344,27.3438,-77.125
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.5344,37.7344,-65.875
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.5344,50.3125,-50.875
LEFTLUNG,OBLIQUEFISSURE,66.5344,57.4219,-39
LEFTSUPERIORLOBE,OBLIQUEFISSURE,66.5344,57.4219,-38.375
LEFTLUNG,OBLIQUEFISSURE,66.5344,62.8906,-27.125
LEFTLUNG,OBLIQUEFISSURE,66.5344,66.1719,-17.75
LEFTLUNG,OBLIQUEFISSURE,54.5031,48.125,-48.375
LEFTLUNG,OBLIQUEFISSURE,54.5031,56.875,-37.75
LEFTLUNG,OBLIQUEFISSURE,54.5031,63.4375,-26.5
LEFTLUNG,OBLIQUEFISSURE,54.5031,67.2656,-9.625
LEFTLUNG,OBLIQUEFISSURE,35.9094,47.5781,-35.875
LEFTLUNG,OBLIQUEFISSURE,35.9094,54.1406,-32.125
LEFTLUNG,OBLIQUEFISSURE,35.9094,60.7031,-22.125
LEFTLUNG,OBLIQUEFISSURE,35.9094,64.5313,-12.75
LEFTLUNG,OBLIQUEFISSURE,35.9094,68.3594,-6.5
LEFTLUNG,OBLIQUEFISSURE,26.0656,53.5938,-24.625
LEFTLUNG,OBLIQUEFISSURE,26.0656,57.4219,-18.375
LEFTLUNG,OBLIQUEFISSURE,26.0656,61.25,-11.5
LEFTLUNG,OBLIQUEFISSURE,19.5031,50.3125,-21.5
LEFTLUNG,OBLIQUEFISSURE,19.5031,52.5,-17.75
RIGHTLUNG,OBLIQUEFISSURE,-99.1687,-9.84375,-100.875
RIGHTLUNG,OBLIQUEFISSURE,-99.1687,1.09375,-89.625
RIGHTLUNG,HORIZONTALFISSURE,-99.1687,7.10938,-89
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-99.1687,17.5,-85.875
RIGHTLUNG,OBLIQUEFISSURE,-89.8719,-28.9844,-119
RIGHTLUNG,OBLIQUEFISSURE,-89.8719,-17.5,-105.875
RIGHTLUNG,OBLIQUEFISSURE,-89.8719,-4.92188,-95.25
