Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,130.062,-241.984,-269
LEFTLUNG,OBLIQUEFISSURE,130.062,-227.675,-249
LEFTLUNG,OBLIQUEFISSURE,130.062,-210.114,-226.5
LEFTLUNG,OBLIQUEFISSURE,130.062,-193.855,-204
LEFTLUNG,OBLIQUEFISSURE,124.208,-261.495,-293
LEFTLUNG,OBLIQUEFISSURE,124.208,-243.284,-267
LEFTLUNG,OBLIQUEFISSURE,124.208,-215.317,-232.5
LEFTLUNG,OBLIQUEFISSURE,124.208,-191.253,-201
LEFTLUNG,OBLIQUEFISSURE,124.208,-182.798,-188.5
LEFTLUNG,OBLIQUEFISSURE,100.794,-258.894,-284
LEFTLUNG,OBLIQUEFISSURE,100.794,-232.878,-251.5
LEFTLUNG,OBLIQUEFISSURE,100.794,-210.114,-224.5
LEFTLUNG,OBLIQUEFISSURE,100.794,-196.456,-203
LEFTLUNG,OBLIQUEFISSURE,100.794,-179.546,-176
LEFTLUNG,OBLIQUEFISSURE,100.794,-160.034,-147.5
LEFTLUNG,OBLIQUEFISSURE,74.1279,-250.439,-278.5
LEFTLUNG,OBLIQUEFISSURE,74.1279,-224.423,-256
LEFTLUNG,OBLIQUEFISSURE,74.1279,-203.61,-228
LEFTLUNG,OBLIQUEFISSURE,74.1279,-183.448,-185
LEFTLUNG,OBLIQUEFISSURE,74.1279,-156.782,-149
LEFTLUNG,OBLIQUEFISSURE,74.1279,-147.677,-136
LEFTLUNG,OBLIQUEFISSURE,81.2822,-251.089,-277.5
LEFTLUNG,OBLIQUEFISSURE,81.2822,-215.317,-240.5
LEFTLUNG,OBLIQUEFISSURE,81.2822,-189.302,-196
LEFTLUNG,OBLIQUEFISSURE,81.2822,-167.839,-159.5
LEFTLUNG,OBLIQUEFISSURE,81.2822,-148.978,-133.5
LEFTLUNG,OBLIQUEFISSURE,61.7705,-215.317,-250
LEFTLUNG,OBLIQUEFISSURE,61.7705,-200.358,-224
LEFTLUNG,OBLIQUEFISSURE,61.7705,-186.7,-188
LEFTLUNG,OBLIQUEFISSURE,61.7705,-169.79,-161
LEFTLUNG,OBLIQUEFISSURE,61.7705,-147.026,-139
LEFTLUNG,OBLIQUEFISSURE,52.665,-204.261,-243.5
LEFTLUNG,OBLIQUEFISSURE,52.665,-194.505,-215.5
LEFTLUNG,OBLIQUEFISSURE,52.665,-179.546,-179.5
LEFTLUNG,OBLIQUEFISSURE,52.665,-171.091,-162
LEFTLUNG,OBLIQUEFISSURE,52.665,-157.433,-147
LEFTLUNG,OBLIQUEFISSURE,52.665,-147.026,-138.5
LEFTLUNG,OBLIQUEFISSURE,60.4697,-215.317,-248.5
LEFTLUNG,OBLIQUEFISSURE,60.4697,-199.708,-226.5
LEFTLUNG,OBLIQUEFISSURE,60.4697,-186.7,-189.5
LEFTLUNG,OBLIQUEFISSURE,60.4697,-165.237,-154
LEFTLUNG,OBLIQUEFISSURE,60.4697,-146.376,-138
RIGHTLUNG,OBLIQUEFISSURE,-135.948,-249.138,-262.5
RIGHTLUNG,OBLIQUEFISSURE,-135.948,-222.472,-242
RIGHTLUNG,OBLIQUEFISSURE,-135.948,-191.903,-219.5
RIGHTLUNG,OBLIQUEFISSURE,-135.948,-188.651,-213.5
