Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,119.562,-176.813,-251.5
LEFTLUNG,OBLIQUEFISSURE,119.562,-168.688,-244
LEFTLUNG,OBLIQUEFISSURE,119.562,-160.563,-234
LEFTLUNG,OBLIQUEFISSURE,110.812,-194.938,-267
LEFTLUNG,OBLIQUEFISSURE,110.812,-188.063,-256.5
LEFTLUNG,OBLIQUEFISSURE,110.812,-173.688,-244
LEFTLUNG,OBLIQUEFISSURE,110.812,-154.938,-225
LEFTLUNG,OBLIQUEFISSURE,110.812,-136.813,-208.5
LEFTLUNG,OBLIQUEFISSURE,110.812,-118.063,-192
LEFTLUNG,OBLIQUEFISSURE,95.812,-197.438,-282
LEFTLUNG,OBLIQUEFISSURE,95.812,-191.188,-258.5
LEFTLUNG,OBLIQUEFISSURE,95.812,-176.188,-244
LEFTLUNG,OBLIQUEFISSURE,95.812,-159.938,-229
LEFTLUNG,OBLIQUEFISSURE,95.812,-136.813,-204
LEFTLUNG,OBLIQUEFISSURE,95.812,-119.938,-187
LEFTLUNG,OBLIQUEFISSURE,95.812,-104.938,-172.5
LEFTLUNG,OBLIQUEFISSURE,95.812,-89.313,-154
LEFTLUNG,OBLIQUEFISSURE,110.187,-201.813,-300
LEFTLUNG,OBLIQUEFISSURE,84.562,-191.813,-269
LEFTLUNG,OBLIQUEFISSURE,84.562,-186.813,-256
LEFTLUNG,OBLIQUEFISSURE,84.562,-166.188,-240
LEFTLUNG,OBLIQUEFISSURE,84.562,-149.938,-218.5
LEFTLUNG,OBLIQUEFISSURE,84.562,-126.813,-195.5
LEFTLUNG,OBLIQUEFISSURE,84.562,-114.313,-178.5
LEFTLUNG,OBLIQUEFISSURE,84.562,-104.313,-167
LEFTLUNG,OBLIQUEFISSURE,84.562,-93.063,-153
LEFTLUNG,OBLIQUEFISSURE,84.562,-85.563,-148
LEFTLUNG,OBLIQUEFISSURE,84.562,-73.688,-134.5
LEFTLUNG,OBLIQUEFISSURE,77.062,-171.188,-248.5
LEFTLUNG,OBLIQUEFISSURE,77.062,-160.563,-232
LEFTLUNG,OBLIQUEFISSURE,77.062,-152.438,-219
LEFTLUNG,OBLIQUEFISSURE,77.062,-146.813,-206.5
LEFTLUNG,OBLIQUEFISSURE,77.062,-132.438,-200
LEFTLUNG,OBLIQUEFISSURE,77.062,-117.438,-181
LEFTLUNG,OBLIQUEFISSURE,77.062,-104.313,-165
LEFTLUNG,OBLIQUEFISSURE,77.062,-96.188,-154.5
LEFTLUNG,OBLIQUEFISSURE,77.062,-84.313,-144.5
LEFTLUNG,OBLIQUEFISSURE,77.062,-70.563,-128.5
LEFTLUNG,OBLIQUEFISSURE,67.687,-121.813,-187
LEFTLUNG,OBLIQUEFISSURE,67.687,-113.688,-174
LEFTLUNG,OBLIQUEFISSURE,67.687,-98.063,-154.5
LEFTLUNG,OBLIQUEFISSURE,67.687,-81.813,-140.5
LEFTLUNG,OBLIQUEFISSURE,67.687,-69.938,-126.5
LEFTLUNG,OBLIQUEFISSURE,67.687,-66.188,-119
LEFTLUNG,OBLIQUEFISSURE,57.687,-121.188,-179
LEFTLUNG,OBLIQUEFISSURE,57.687,-114.313,-170.5
LEFTLUNG,OBLIQUEFISSURE,57.687,-103.063,-156.5
LEFTLUNG,OBLIQUEFISSURE,57.687,-91.188,-146
LEFTLUNG,OBLIQUEFISSURE,57.687,-81.188,-137
LEFTLUNG,OBLIQUEFISSURE,57.687,-74.313,-129
LEFTLUNG,OBLIQUEFISSURE,57.687,-68.688,-118.5
LEFTLUNG,OBLIQUEFISSURE,57.687,-66.188,-115.5
LEFTLUNG,OBLIQUEFISSURE,45.187,-113.688,-158.5
LEFTLUNG,OBLIQUEFISSURE,45.187,-99.938,-148
LEFTLUNG,OBLIQUEFISSURE,45.187,-89.313,-141
LEFTLUNG,OBLIQUEFISSURE,45.187,-84.313,-134
LEFTLUNG,OBLIQUEFISSURE,45.187,-74.313,-123
LEFTLUNG,OBLIQUEFISSURE,45.187,-69.938,-112.5
LEFTLUNG,OBLIQUEFISSURE,32.062,-118.688,-147
LEFTLUNG,OBLIQUEFISSURE,32.062,-107.438,-142.5
LEFTLUNG,OBLIQUEFISSURE,32.062,-100.563,-141
LEFTLUNG,OBLIQUEFISSURE,32.062,-91.813,-134.5
LEFTLUNG,OBLIQUEFISSURE,32.062,-86.188,-127
LEFTLUNG,OBLIQUEFISSURE,32.062,-80.563,-119.5
LEFTLUNG,OBLIQUEFISSURE,32.062,-78.063,-114.5
LEFTLUNG,OBLIQUEFISSURE,22.687,-103.688,-132.5
LEFTLUNG,OBLIQUEFISSURE,22.687,-96.188,-130.5
LEFTLUNG,OBLIQUEFISSURE,22.687,-91.188,-124
LEFTLUNG,OBLIQUEFISSURE,22.687,-88.063,-121
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-112.938,-186.188,-272.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-112.938,-169.938,-252
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-112.938,-144.938,-226
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-97.938,-204.313,-281
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-97.938,-187.438,-262.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-97.938,-163.688,-233
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-97.938,-143.688,-214
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-97.938,-133.688,-206
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.938,-118.688,-197.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.938,-104.938,-190
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.938,-93.063,-184
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.938,-88.063,-181.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-80.438,-218.688,-285
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-80.438,-198.688,-267
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-80.438,-181.813,-248.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-80.438,-166.188,-233
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-80.438,-153.688,-220
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-80.438,-139.313,-207
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-80.438,-126.813,-197.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-80.438,-111.188,-188
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-80.438,-94.313,-180
