Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,140.388,-244.842,-188
LEFTLUNG,OBLIQUEFISSURE,140.388,-234.725,-178.5
LEFTLUNG,OBLIQUEFISSURE,140.388,-212.323,-155.5
LEFTLUNG,OBLIQUEFISSURE,140.388,-189.92,-127
LEFTLUNG,OBLIQUEFISSURE,130.271,-229.666,-176
LEFTLUNG,OBLIQUEFISSURE,130.271,-209.432,-155.5
LEFTLUNG,OBLIQUEFISSURE,130.271,-189.92,-130
LEFTLUNG,OBLIQUEFISSURE,130.271,-165.35,-102.5
LEFTLUNG,OBLIQUEFISSURE,115.095,-222.44,-169.5
LEFTLUNG,OBLIQUEFISSURE,115.095,-205.819,-154
LEFTLUNG,OBLIQUEFISSURE,115.095,-184.862,-124.5
LEFTLUNG,OBLIQUEFISSURE,115.095,-160.291,-95
LEFTLUNG,OBLIQUEFISSURE,115.095,-127.049,-59.5
LEFTLUNG,OBLIQUEFISSURE,104.255,-216.659,-165.5
LEFTLUNG,OBLIQUEFISSURE,104.255,-194.979,-143.5
LEFTLUNG,OBLIQUEFISSURE,104.255,-174.745,-111.5
LEFTLUNG,OBLIQUEFISSURE,104.255,-116.209,-36
LEFTLUNG,OBLIQUEFISSURE,104.255,-148.006,-76
LEFTLUNG,OBLIQUEFISSURE,87.6343,-215.213,-168.5
LEFTLUNG,OBLIQUEFISSURE,87.6343,-192.811,-151.5
LEFTLUNG,OBLIQUEFISSURE,87.6343,-177.635,-118.5
LEFTLUNG,OBLIQUEFISSURE,87.6343,-148.729,-75.5
LEFTLUNG,OBLIQUEFISSURE,87.6343,-124.159,-39.5
LEFTLUNG,OBLIQUEFISSURE,87.6343,-104.647,-9
LEFTLUNG,OBLIQUEFISSURE,72.4586,-199.315,-162
LEFTLUNG,OBLIQUEFISSURE,72.4586,-178.358,-143.5
LEFTLUNG,OBLIQUEFISSURE,72.4586,-163.905,-106
LEFTLUNG,OBLIQUEFISSURE,72.4586,-145.116,-66.5
