Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,141.477,-184.82,-226.5
LEFTLUNG,OBLIQUEFISSURE,141.477,-177.789,-216.5
LEFTLUNG,OBLIQUEFISSURE,141.477,-172.867,-211.5
LEFTLUNG,OBLIQUEFISSURE,128.821,-218.57,-268.5
LEFTLUNG,OBLIQUEFISSURE,128.821,-205.914,-250.5
LEFTLUNG,OBLIQUEFISSURE,128.821,-193.257,-235.5
LEFTLUNG,OBLIQUEFISSURE,128.821,-178.492,-217
LEFTLUNG,OBLIQUEFISSURE,128.821,-167.945,-202
LEFTLUNG,OBLIQUEFISSURE,128.821,-162.32,-187.5
LEFTLUNG,OBLIQUEFISSURE,128.821,-155.992,-175.5
LEFTLUNG,OBLIQUEFISSURE,113.352,-233.336,-301
LEFTLUNG,OBLIQUEFISSURE,113.352,-224.898,-279.5
LEFTLUNG,OBLIQUEFISSURE,113.352,-215.757,-261
LEFTLUNG,OBLIQUEFISSURE,113.352,-199.586,-246
LEFTLUNG,OBLIQUEFISSURE,113.352,-186.226,-228.5
LEFTLUNG,OBLIQUEFISSURE,113.352,-171.461,-209
LEFTLUNG,OBLIQUEFISSURE,113.352,-163.726,-192.5
LEFTLUNG,OBLIQUEFISSURE,113.352,-154.586,-168.5
LEFTLUNG,OBLIQUEFISSURE,113.352,-148.961,-152
LEFTLUNG,OBLIQUEFISSURE,97.8833,-212.242,-274.5
LEFTLUNG,OBLIQUEFISSURE,97.8833,-204.507,-256.5
LEFTLUNG,OBLIQUEFISSURE,97.8833,-191.851,-247
LEFTLUNG,OBLIQUEFISSURE,97.8833,-179.898,-232.5
LEFTLUNG,OBLIQUEFISSURE,97.8833,-172.164,-216
LEFTLUNG,OBLIQUEFISSURE,97.8833,-165.836,-199
LEFTLUNG,OBLIQUEFISSURE,97.8833,-161.617,-182
LEFTLUNG,OBLIQUEFISSURE,97.8833,-155.992,-169.5
LEFTLUNG,OBLIQUEFISSURE,97.8833,-146.851,-149
LEFTLUNG,OBLIQUEFISSURE,97.1801,-212.242,-283.5
LEFTLUNG,OBLIQUEFISSURE,97.1801,-200.992,-256.5
LEFTLUNG,OBLIQUEFISSURE,97.1801,-187.632,-243.5
LEFTLUNG,OBLIQUEFISSURE,97.1801,-173.57,-224
LEFTLUNG,OBLIQUEFISSURE,97.1801,-167.242,-204
LEFTLUNG,OBLIQUEFISSURE,97.1801,-160.914,-179
LEFTLUNG,OBLIQUEFISSURE,97.1801,-153.179,-165.5
LEFTLUNG,OBLIQUEFISSURE,97.1801,-147.554,-151.5
LEFTLUNG,OBLIQUEFISSURE,90.852,-196.773,-264
LEFTSUPERIORLOBE,OBLIQUEFISSURE,90.852,-196.773,-263.5
LEFTLUNG,OBLIQUEFISSURE,90.852,-174.976,-236.5
LEFTLUNG,OBLIQUEFISSURE,90.852,-166.539,-203.5
LEFTLUNG,OBLIQUEFISSURE,90.852,-161.617,-187
LEFTLUNG,OBLIQUEFISSURE,90.852,-155.289,-167.5
LEFTLUNG,OBLIQUEFISSURE,90.852,-147.554,-146
LEFTLUNG,OBLIQUEFISSURE,81.0083,-179.195,-256
LEFTLUNG,OBLIQUEFISSURE,81.0083,-172.164,-246
LEFTLUNG,OBLIQUEFISSURE,81.0083,-158.804,-176
LEFTLUNG,OBLIQUEFISSURE,81.0083,-152.476,-158
LEFTLUNG,OBLIQUEFISSURE,81.0083,-146.148,-144.5
LEFTLUNG,OBLIQUEFISSURE,71.1645,-151.773,-157
LEFTLUNG,OBLIQUEFISSURE,71.1645,-146.851,-149
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-70.8667,-191.851,-278
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-70.8667,-178.492,-262
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-70.8667,-165.132,-247.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-60.3199,-208.726,-290
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-60.3199,-195.367,-271.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-60.3199,-179.898,-254
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-60.3199,-165.836,-235.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-60.3199,-152.476,-219
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-60.3199,-141.929,-207
