Region,Type,X point, Y point, Z point
LEFTSUPERIORLOBE,OBLIQUEFISSURE,112.074,-151.402,1006
LEFTSUPERIORLOBE,OBLIQUEFISSURE,112.074,-146.129,1012.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,112.074,-138.512,1019.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,112.074,-132.066,1025.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.043,-169.566,971
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.043,-163.121,986.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.043,-157.262,996.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.043,-147.301,1010
LEFTSUPERIORLOBE,OBLIQUEFISSURE,105.043,-136.168,1022
LEFTLUNG,OBLIQUEFISSURE,105.043,-123.863,1034
LEFTLUNG,OBLIQUEFISSURE,105.043,-118.004,1040
LEFTLUNG,OBLIQUEFISSURE,105.043,-109.801,1051.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,97.426,-163.121,983.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,97.426,-149.644,1005.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,97.426,-137.926,1018
LEFTLUNG,OBLIQUEFISSURE,97.426,-126.793,1031
LEFTSUPERIORLOBE,OBLIQUEFISSURE,97.426,-126.793,1031.5
LEFTLUNG,OBLIQUEFISSURE,97.426,-116.246,1045.5
LEFTLUNG,OBLIQUEFISSURE,97.426,-108.629,1057
LEFTLUNG,OBLIQUEFISSURE,97.426,-102.183,1068
LEFTSUPERIORLOBE,OBLIQUEFISSURE,88.051,-158.433,991
LEFTSUPERIORLOBE,OBLIQUEFISSURE,88.051,-146.129,1005
LEFTSUPERIORLOBE,OBLIQUEFISSURE,88.051,-134.996,1018.5
LEFTLUNG,OBLIQUEFISSURE,88.051,-125.621,1032.5
LEFTLUNG,OBLIQUEFISSURE,88.051,-116.832,1047
LEFTLUNG,OBLIQUEFISSURE,88.051,-108.043,1062
LEFTLUNG,OBLIQUEFISSURE,88.051,-103.941,1071.5
LEFTLUNG,OBLIQUEFISSURE,88.051,-98.6678,1086
LEFTSUPERIORLOBE,OBLIQUEFISSURE,78.0901,-137.34,1011
LEFTLUNG,OBLIQUEFISSURE,78.0901,-127.379,1029
LEFTLUNG,OBLIQUEFISSURE,78.0901,-119.176,1043
LEFTLUNG,OBLIQUEFISSURE,78.0901,-112.144,1059
LEFTLUNG,OBLIQUEFISSURE,78.0901,-106.285,1069
LEFTLUNG,OBLIQUEFISSURE,78.0901,-102.769,1082
LEFTLUNG,OBLIQUEFISSURE,78.0901,-98.0818,1100.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,69.8869,-134.996,1010
LEFTLUNG,OBLIQUEFISSURE,69.8869,-120.933,1042.5
LEFTLUNG,OBLIQUEFISSURE,69.8869,-112.144,1064.5
LEFTLUNG,OBLIQUEFISSURE,69.8869,-106.285,1077.5
LEFTLUNG,OBLIQUEFISSURE,69.8869,-102.183,1099.5
LEFTLUNG,OBLIQUEFISSURE,61.6838,-117.418,1070
LEFTLUNG,OBLIQUEFISSURE,61.6838,-108.629,1080.5
LEFTLUNG,OBLIQUEFISSURE,61.6838,-105.113,1093
LEFTLUNG,OBLIQUEFISSURE,61.6838,-102.183,1113
LEFTLUNG,OBLIQUEFISSURE,52.8947,-126.207,1080
LEFTLUNG,OBLIQUEFISSURE,52.8947,-115.66,1084.5
LEFTLUNG,OBLIQUEFISSURE,52.8947,-112.73,1086.5
LEFTLUNG,OBLIQUEFISSURE,52.8947,-107.457,1113.5
LEFTLUNG,OBLIQUEFISSURE,40.59,-122.105,1095
LEFTLUNG,OBLIQUEFISSURE,40.59,-118.59,1105
LEFTLUNG,OBLIQUEFISSURE,40.59,-116.246,1112
RIGHTLUNG,OBLIQUEFISSURE,-91.246,-154.332,1016.5
RIGHTLUNG,OBLIQUEFISSURE,-91.246,-141.441,1029.5
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-171.91,1004.5
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-171.324,1004.5
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-153.746,1017
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-143.199,1029
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-134.996,1035
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-126.793,1048
RIGHTLUNG,OBLIQUEFISSURE,-83.0429,-117.418,1054
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-179.527,996
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-162.535,1010
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-147.301,1022.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-134.41,1036.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-127.379,1048
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-116.832,1056
RIGHTLUNG,OBLIQUEFISSURE,-70.1523,-106.871,1066
RIGHTLUNG,OBLIQUEFISSURE,-60.7772,-170.738,1002
RIGHTLUNG,OBLIQUEFISSURE,-60.7772,-156.09,1013
RIGHTLUNG,OBLIQUEFISSURE,-60.7772,-143.785,1025.5
RIGHTLUNG,OBLIQUEFISSURE,-60.7772,-134.996,1037.5
RIGHTLUNG,OBLIQUEFISSURE,-60.7772,-127.965,1048.5
RIGHTLUNG,OBLIQUEFISSURE,-60.7772,-118.59,1057
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-60.7772,-104.527,1069
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-60.7772,-98.6678,1080
RIGHTLUNG,OBLIQUEFISSURE,-52.5741,-167.223,1004
RIGHTLUNG,OBLIQUEFISSURE,-52.5741,-142.027,1022.5
RIGHTLUNG,OBLIQUEFISSURE,-52.5741,-130.894,1046.5
RIGHTLUNG,OBLIQUEFISSURE,-52.5741,-123.863,1055
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-52.5741,-105.699,1070
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-52.5741,-96.324,1087
RIGHTLUNG,OBLIQUEFISSURE,-41.4413,-158.433,1008.5
RIGHTLUNG,OBLIQUEFISSURE,-41.4413,-147.887,1016.5
RIGHTLUNG,OBLIQUEFISSURE,-41.4413,-138.512,1024.5
RIGHTLUNG,OBLIQUEFISSURE,-41.4413,-133.238,1042
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-41.4413,-129.722,1048.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-41.4413,-119.762,1060.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-41.4413,-112.73,1069
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-41.4413,-105.113,1073.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-41.4413,-98.6678,1085
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-41.4413,-99.2537,1085
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-41.4413,-95.7381,1096
RIGHTLUNG,OBLIQUEFISSURE,-32.6522,-167.223,1000
RIGHTLUNG,OBLIQUEFISSURE,-32.6522,-151.988,1011.5
RIGHTLUNG,OBLIQUEFISSURE,-32.6522,-141.441,1020
RIGHTLUNG,OBLIQUEFISSURE,-32.6522,-133.824,1037.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-32.6522,-133.824,1038.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-32.6522,-130.308,1051
RIGHTLUNG,OBLIQUEFISSURE,-32.6522,-130.308,1050.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-32.6522,-119.762,1066
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-32.6522,-106.871,1077
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-32.6522,-99.2537,1092
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-32.6522,-96.324,1098.5
RIGHTLUNG,OBLIQUEFISSURE,-25.621,-156.676,1006
RIGHTLUNG,OBLIQUEFISSURE,-25.621,-144.957,1016.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-25.621,-125.035,1062.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-25.621,-118.59,1070
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-25.621,-109.801,1078.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-25.621,-103.941,1088.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-25.621,-101.012,1096.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-17.4178,-122.691,1073
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-17.4178,-113.316,1079.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-17.4178,-109.215,1086.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-17.4178,-103.941,1094
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-8.62876,-127.965,1075
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-8.62876,-119.762,1081
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-8.62876,-112.73,1087
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-8.62876,-109.215,1094.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-2.76938,-124.449,1080.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-2.76938,-119.762,1086.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-84.2148,-156.09,1044
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-84.2148,-145.543,1047
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-84.2148,-132.652,1047
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-74.2538,-176.012,1037.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-74.2538,-160.191,1044
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-74.2538,-159.605,1044
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-74.2538,-150.816,1045.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-74.2538,-139.097,1047
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-74.2538,-133.824,1047
RIGHTLUNG,HORIZONTALFISSURE,-64.2929,-188.902,1032
RIGHTLUNG,HORIZONTALFISSURE,-64.2929,-174.84,1038.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.2929,-160.191,1044.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-64.2929,-151.988,1045.5
RIGHTLUNG,HORIZONTALFISSURE,-64.2929,-137.926,1046.5
RIGHTLUNG,HORIZONTALFISSURE,-54.9179,-195.933,1030
RIGHTLUNG,HORIZONTALFISSURE,-54.9179,-179.527,1037
