Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,145.886,-209.788,-247
LEFTLUNG,OBLIQUEFISSURE,145.886,-195.227,-235
LEFTLUNG,OBLIQUEFISSURE,145.886,-183.44,-224.5
LEFTLUNG,OBLIQUEFISSURE,145.886,-169.573,-211
LEFTLUNG,OBLIQUEFISSURE,135.485,-231.975,-263.5
LEFTLUNG,OBLIQUEFISSURE,135.485,-208.401,-249
LEFTLUNG,OBLIQUEFISSURE,135.485,-193.147,-238
LEFTLUNG,OBLIQUEFISSURE,135.485,-175.813,-218.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,135.485,-157.786,-201.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,135.485,-143.919,-192
LEFTSUPERIORLOBE,OBLIQUEFISSURE,135.485,-135.598,-186.5
LEFTLUNG,OBLIQUEFISSURE,124.392,-228.509,-263
LEFTLUNG,OBLIQUEFISSURE,124.392,-204.241,-248.5
LEFTLUNG,OBLIQUEFISSURE,124.392,-185.52,-231
LEFTLUNG,OBLIQUEFISSURE,124.392,-171.653,-215
LEFTSUPERIORLOBE,OBLIQUEFISSURE,124.392,-159.173,-202.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,124.392,-141.145,-189.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,124.392,-129.358,-181.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,124.392,-115.491,-171.5
LEFTLUNG,OBLIQUEFISSURE,115.378,-231.975,-266.5
LEFTLUNG,OBLIQUEFISSURE,115.378,-200.081,-250
LEFTLUNG,OBLIQUEFISSURE,115.378,-185.52,-234
LEFTSUPERIORLOBE,OBLIQUEFISSURE,115.378,-161.946,-205.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,115.378,-147.386,-194
LEFTSUPERIORLOBE,OBLIQUEFISSURE,115.378,-119.651,-174
LEFTSUPERIORLOBE,OBLIQUEFISSURE,115.378,-103.704,-163.5
LEFTLUNG,OBLIQUEFISSURE,99.4308,-218.108,-264
LEFTLUNG,OBLIQUEFISSURE,99.4308,-202.161,-257.5
LEFTLUNG,OBLIQUEFISSURE,99.4308,-192.454,-249.5
LEFTLUNG,OBLIQUEFISSURE,99.4308,-184.827,-239
LEFTLUNG,OBLIQUEFISSURE,99.4308,-173.733,-223.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,99.4308,-155.012,-202.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,99.4308,-138.372,-187
LEFTSUPERIORLOBE,OBLIQUEFISSURE,99.4308,-121.731,-173.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,99.4308,-107.171,-162
LEFTSUPERIORLOBE,OBLIQUEFISSURE,99.4308,-93.3035,-155
LEFTLUNG,OBLIQUEFISSURE,86.9504,-208.401,-267
LEFTLUNG,OBLIQUEFISSURE,86.9504,-197.307,-258
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-178.587,-235
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-161.946,-218
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-147.386,-200.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-139.065,-186.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-123.811,-173.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-109.944,-163.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-98.157,-154.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.9504,-84.9832,-148
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.3898,-198.694,-264.5
