Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,118.056,-224.557,-271
LEFTLUNG,OBLIQUEFISSURE,118.056,-207.729,-238
LEFTLUNG,OBLIQUEFISSURE,118.056,-188.797,-209
LEFTSUPERIORLOBE,OBLIQUEFISSURE,118.056,-170.567,-177
LEFTLUNG,OBLIQUEFISSURE,127.873,-230.868,-268
LEFTLUNG,OBLIQUEFISSURE,127.873,-207.729,-230.5
LEFTLUNG,OBLIQUEFISSURE,127.873,-181.786,-201
LEFTLUNG,OBLIQUEFISSURE,135.585,-232.27,-268.5
LEFTLUNG,OBLIQUEFISSURE,135.585,-217.545,-243.5
LEFTLUNG,OBLIQUEFISSURE,101.929,-202.12,-223.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.929,-182.487,-201.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.929,-178.28,-191.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.929,-178.28,-183
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.929,-170.567,-169
LEFTSUPERIORLOBE,OBLIQUEFISSURE,101.929,-157.946,-146.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,82.9975,-174.774,-175.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,82.9975,-167.061,-161.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,82.9975,-160.049,-147.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,82.9975,-154.44,-134.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,61.9624,-159.348,-150.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,61.9624,-153.038,-135
LEFTSUPERIORLOBE,OBLIQUEFISSURE,45.8354,-156.543,-143
LEFTSUPERIORLOBE,OBLIQUEFISSURE,45.8354,-153.038,-130.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-125.952,-205.626,-219
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-125.952,-203.522,-212.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-125.952,-198.614,-204.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-125.952,-193.004,-200.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-111.928,-209.131,-218
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-111.928,-204.924,-203
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-111.928,-196.51,-191
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-111.928,-186.694,-182.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-111.928,-176.176,-178
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-111.928,-167.762,-177.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-97.9048,-206.327,-211
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.9048,-198.614,-195
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.9048,-185.993,-178.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.9048,-172.67,-168.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-97.9048,-157.946,-162
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-85.9849,-203.522,-213.5
RIGHTLUNG,HORIZONTALFISSURE,-85.9849,-200.016,-198.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-85.9849,-188.797,-182.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-85.9849,-178.981,-172
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-85.9849,-169.165,-164.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-85.9849,-160.049,-159
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-85.9849,-149.532,-155.5
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-75.4673,-201.418,-211
RIGHTMIDDLELOBE,OBLIQUEFISSURE,-75.4673,-193.004,-194.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.4673,-183.188,-176
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.4673,-167.061,-163.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-75.4673,-149.532,-151
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.6509,-174.073,-169
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.6509,-163.555,-162
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-65.6509,-148.831,-147
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-55.1334,-180.383,-175
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-55.1334,-166.36,-163.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-55.1334,-150.233,-144.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-55.1334,-193.004,-191
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-36.2017,-177.579,-175
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-36.2017,-167.762,-165
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-36.2017,-155.141,-148.5
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-24.983,-164.958,-158
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-24.983,-158.647,-145
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-20.7759,-165.659,-162
RIGHTSUPERIORLOBE,OBLIQUEFISSURE,-20.7759,-160.049,-143.5
RIGHTLUNG,HORIZONTALFISSURE,-123.147,-229.465,-221.5
RIGHTSUPERIORLOBE,HORIZONTALFISSURE,-123.147,-218.247,-217.5
