Region,Type,X point, Y point, Z point
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1365,-182.16,-263
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1365,-162.543,-245
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1365,-149.887,-236.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1365,-137.231,-228
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1365,-118.246,-218
LEFTSUPERIORLOBE,OBLIQUEFISSURE,86.1365,-110.653,-214
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-181.528,-260
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-167.606,-246
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-151.153,-234
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-136.598,-223.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-121.41,-213.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-108.121,-204
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-94.8323,-192.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-89.1369,-186
LEFTSUPERIORLOBE,OBLIQUEFISSURE,72.2146,-83.4416,-177
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-153.684,-244
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-127.739,-217.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-113.817,-204
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-99.262,-188.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-87.8713,-173
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-80.9104,-162
LEFTSUPERIORLOBE,OBLIQUEFISSURE,55.1287,-76.4807,-152
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-146.09,-242
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-132.168,-232
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-125.84,-222.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-123.309,-214
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-111.285,-199
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-101.793,-189.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-92.9338,-180
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-84.0744,-166.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,47.5349,-76.4807,-150.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-110.653,-198.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-101.16,-185.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-93.5666,-175
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-85.3401,-166
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-79.0119,-155
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-77.1135,-145
LEFTSUPERIORLOBE,OBLIQUEFISSURE,41.8396,-75.2151,-136
LEFTSUPERIORLOBE,OBLIQUEFISSURE,34.2459,-103.692,-177
LEFTSUPERIORLOBE,OBLIQUEFISSURE,34.2459,-94.1995,-171.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,34.2459,-85.3401,-160.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,34.2459,-79.6448,-151
LEFTSUPERIORLOBE,OBLIQUEFISSURE,34.2459,-79.0119,-142.5
LEFTSUPERIORLOBE,OBLIQUEFISSURE,22.8552,-100.528,-161
LEFTSUPERIORLOBE,OBLIQUEFISSURE,22.8552,-91.0354,-158.5
