Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,127.225,-5.97669,-279.375
LEFTLUNG,OBLIQUEFISSURE,127.225,-0.000128,-249.375
LEFTLUNG,OBLIQUEFISSURE,127.225,18.5936,-221.25
LEFTLUNG,OBLIQUEFISSURE,127.225,29.2186,-206.25
LEFTLUNG,OBLIQUEFISSURE,127.225,39.8436,-194.375
LEFTLUNG,OBLIQUEFISSURE,127.225,44.492,-186.25
LEFTLUNG,OBLIQUEFISSURE,120.584,-8.63293,-275.625
LEFTLUNG,OBLIQUEFISSURE,120.584,4.64831,-241.25
LEFTLUNG,OBLIQUEFISSURE,120.584,29.2186,-206.25
LEFTLUNG,OBLIQUEFISSURE,120.584,47.1483,-183.75
LEFTLUNG,OBLIQUEFISSURE,120.584,55.117,-173.125
LEFTLUNG,OBLIQUEFISSURE,108.631,-11.9532,-276.25
LEFTLUNG,OBLIQUEFISSURE,108.631,2.65612,-241.25
LEFTLUNG,OBLIQUEFISSURE,108.631,23.242,-211.875
LEFTLUNG,OBLIQUEFISSURE,108.631,44.492,-182.5
LEFTLUNG,OBLIQUEFISSURE,108.631,55.117,-168.75
LEFTLUNG,OBLIQUEFISSURE,108.631,65.0779,-154.375
LEFTLUNG,OBLIQUEFISSURE,99.9982,-10.6251,-277.5
LEFTLUNG,OBLIQUEFISSURE,99.9982,-2.65638,-257.5
LEFTLUNG,OBLIQUEFISSURE,99.9982,14.6092,-226.25
LEFTLUNG,OBLIQUEFISSURE,99.9982,30.5467,-202.5
LEFTLUNG,OBLIQUEFISSURE,99.9982,47.8123,-172.5
LEFTLUNG,OBLIQUEFISSURE,99.9982,62.4217,-151.875
UNDEFINEDREGION,UNDEFINEDTYPE,99.9982,75.7029,-139.375
LEFTLUNG,OBLIQUEFISSURE,88.7092,-5.97669,-276.875
LEFTLUNG,OBLIQUEFISSURE,88.7092,6.64049,-240
LEFTLUNG,OBLIQUEFISSURE,88.7092,23.242,-212.5
LEFTLUNG,OBLIQUEFISSURE,88.7092,44.492,-172.5
LEFTLUNG,OBLIQUEFISSURE,88.7092,59.1014,-151.25
LEFTLUNG,OBLIQUEFISSURE,88.7092,79.0233,-128.75
LEFTLUNG,OBLIQUEFISSURE,78.7482,0.663934,-262.5
LEFTLUNG,OBLIQUEFISSURE,78.7482,7.30455,-243.75
LEFTLUNG,OBLIQUEFISSURE,78.7482,28.5545,-210
LEFTLUNG,OBLIQUEFISSURE,78.7482,39.1795,-185
LEFTLUNG,OBLIQUEFISSURE,78.7482,49.8045,-161.875
LEFTLUNG,OBLIQUEFISSURE,78.7482,57.1092,-146.875
LEFTLUNG,OBLIQUEFISSURE,78.7482,72.3826,-130
LEFTLUNG,OBLIQUEFISSURE,78.7482,80.3514,-118.75
LEFTLUNG,OBLIQUEFISSURE,67.4592,13.2811,-240.625
LEFTLUNG,OBLIQUEFISSURE,67.4592,24.5702,-219.375
LEFTLUNG,OBLIQUEFISSURE,67.4592,33.867,-211.875
LEFTLUNG,OBLIQUEFISSURE,67.4592,42.4998,-175
LEFTLUNG,OBLIQUEFISSURE,67.4592,53.7889,-147.5
LEFTLUNG,OBLIQUEFISSURE,67.4592,59.1014,-140.625
