Region,Type,X point, Y point, Z point
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-243.226,-277
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-226.966,-250.5
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-215.259,-231.5
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-197.048,-204.5
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-172.333,-176.5
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-156.073,-158
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-150.22,-151.5
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-128.107,-137
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-103.392,-124.5
RIGHTLUNG,OBLIQUEFISSURE,-101.331,-84.5303,-112.5
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-241.925,-277
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-217.21,-241
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-180.138,-190
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-155.423,-157
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-134.61,-139.5
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-103.392,-123.5
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-87.7823,-114
RIGHTLUNG,OBLIQUEFISSURE,-89.6242,-78.0264,-103.5
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-105.993,-115
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-88.4327,-109.5
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-77.376,-99.5
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-234.771,-270
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-221.763,-256
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-200.3,-233
RIGHTLUNG,OBLIQUEFISSURE,-57.1046,-186.642,-209.5
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-239.323,-271.5
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-208.755,-233
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-180.138,-195
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-154.773,-159
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-135.261,-137.5
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-112.497,-126
RIGHTLUNG,OBLIQUEFISSURE,-83.1203,-81.2784,-107.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-238.023,-271.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-202.251,-230.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-170.382,-187.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-156.724,-160.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-123.554,-127.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-98.1885,-119
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-84.5303,-110.5
RIGHTLUNG,OBLIQUEFISSURE,-72.0636,-74.1241,-100
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-241.925,-279
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-227.616,-250
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-210.706,-219.5
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-195.097,-197
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-184.04,-183
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-174.284,-170
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-160.626,-158
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-149.569,-151
RIGHTLUNG,OBLIQUEFISSURE,-121.493,-97.5382,-121.5
RIGHTLUNG,OBLIQUEFISSURE,-128.648,-243.226,-284
RIGHTLUNG,OBLIQUEFISSURE,-128.648,-216.56,-232
RIGHTLUNG,OBLIQUEFISSURE,-128.648,-182.739,-178.5
RIGHTLUNG,OBLIQUEFISSURE,-128.648,-161.927,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-128.648,-144.366,-148.5
RIGHTLUNG,OBLIQUEFISSURE,-128.648,-122.253,-136
RIGHTLUNG,OBLIQUEFISSURE,-104.583,-242.575,-275.5
RIGHTLUNG,OBLIQUEFISSURE,-104.583,-185.341,-187
RIGHTLUNG,OBLIQUEFISSURE,-104.583,-154.773,-154
RIGHTLUNG,OBLIQUEFISSURE,-104.583,-115.749,-131.5
RIGHTLUNG,OBLIQUEFISSURE,-104.583,-85.8311,-113
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-239.323,-274
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-198.349,-226
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-176.235,-190
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-169.081,-186.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-155.423,-159.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-137.862,-140.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-131.358,-136
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-120.952,-125
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-96.8878,-117.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-74.7745,-100.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-85.1807,-110.5
RIGHTLUNG,OBLIQUEFISSURE,-70.1124,-121.603,-126
RIGHTLUNG,OBLIQUEFISSURE,-53.8527,-229.568,-266.5
RIGHTLUNG,OBLIQUEFISSURE,-53.8527,-213.308,-249.5
RIGHTLUNG,OBLIQUEFISSURE,-53.8527,-202.251,-238
RIGHTLUNG,OBLIQUEFISSURE,-53.8527,-107.294,-113.5
RIGHTLUNG,OBLIQUEFISSURE,-53.8527,-86.4815,-107.5
RIGHTLUNG,OBLIQUEFISSURE,-53.8527,-77.376,-98.5
RIGHTLUNG,OBLIQUEFISSURE,-73.3644,-239.323,-274
RIGHTLUNG,OBLIQUEFISSURE,-73.3644,-217.21,-245.5
RIGHTLUNG,OBLIQUEFISSURE,-73.3644,-204.853,-233
RIGHTLUNG,OBLIQUEFISSURE,-73.3644,-172.984,-188.5
RIGHTLUNG,OBLIQUEFISSURE,-73.3644,-156.724,-160.5
RIGHTLUNG,OBLIQUEFISSURE,-73.3644,-123.554,-128
