Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,125.529,-2.05661,-233.125
LEFTLUNG,OBLIQUEFISSURE,125.529,13.711,-217.5
LEFTLUNG,OBLIQUEFISSURE,125.529,34.9629,-195
LEFTLUNG,OBLIQUEFISSURE,125.529,48.6739,-185.625
LEFTLUNG,OBLIQUEFISSURE,128.956,6.16996,-228.75
LEFTLUNG,OBLIQUEFISSURE,128.956,18.5098,-213.125
LEFTLUNG,OBLIQUEFISSURE,128.956,33.5918,-196.875
LEFTLUNG,OBLIQUEFISSURE,116.616,6.16996,-221.875
LEFTLUNG,OBLIQUEFISSURE,116.616,23.3086,-203.125
LEFTLUNG,OBLIQUEFISSURE,116.616,41.1329,-182.5
LEFTLUNG,OBLIQUEFISSURE,116.616,65.127,-171.875
LEFTLUNG,OBLIQUEFISSURE,105.648,9.59769,-221.875
LEFTLUNG,OBLIQUEFISSURE,105.648,17.8243,-209.375
LEFTLUNG,OBLIQUEFISSURE,105.648,30.8496,-191.25
LEFTLUNG,OBLIQUEFISSURE,105.648,56.2149,-172.5
LEFTLUNG,OBLIQUEFISSURE,105.648,73.3536,-165
LEFTLUNG,OBLIQUEFISSURE,105.648,78.8379,-164.375
LEFTLUNG,OBLIQUEFISSURE,98.1067,15.7676,-216.875
LEFTLUNG,OBLIQUEFISSURE,98.1067,31.5352,-193.75
LEFTLUNG,OBLIQUEFISSURE,98.1067,42.5039,-180.625
LEFTLUNG,OBLIQUEFISSURE,98.1067,66.4981,-167.5
LEFTLUNG,OBLIQUEFISSURE,98.1067,86.379,-156.25
LEFTLUNG,OBLIQUEFISSURE,92.6223,26.0508,-204.375
LEFTLUNG,OBLIQUEFISSURE,92.6223,39.7618,-182.5
LEFTLUNG,OBLIQUEFISSURE,92.6223,59.6426,-171.25
LEFTLUNG,OBLIQUEFISSURE,92.6223,81.5801,-153.75
LEFTLUNG,OBLIQUEFISSURE,92.6223,93.2344,-151.875
LEFTLUNG,OBLIQUEFISSURE,87.8235,29.4786,-203.75
LEFTLUNG,OBLIQUEFISSURE,87.8235,39.7618,-191.25
LEFTLUNG,OBLIQUEFISSURE,87.8235,50.7305,-177.5
LEFTLUNG,OBLIQUEFISSURE,87.8235,66.4981,-166.25
LEFTLUNG,OBLIQUEFISSURE,87.8235,89.8067,-146.875
LEFTLUNG,OBLIQUEFISSURE,87.8235,98.0333,-145.625
LEFTLUNG,OBLIQUEFISSURE,79.5969,35.6485,-195.625
LEFTLUNG,OBLIQUEFISSURE,79.5969,56.2149,-178.125
LEFTLUNG,OBLIQUEFISSURE,79.5969,69.9258,-161.25
LEFTLUNG,OBLIQUEFISSURE,79.5969,88.4356,-143.125
LEFTLUNG,OBLIQUEFISSURE,79.5969,100.09,-140
LEFTLUNG,OBLIQUEFISSURE,72.7415,43.1895,-193.125
LEFTLUNG,OBLIQUEFISSURE,72.7415,61.0137,-176.875
LEFTLUNG,OBLIQUEFISSURE,72.7415,68.5547,-156.875
LEFTLUNG,OBLIQUEFISSURE,72.7415,78.8379,-148.75
LEFTLUNG,OBLIQUEFISSURE,72.7415,93.92,-136.875
LEFTLUNG,OBLIQUEFISSURE,72.7415,100.09,-135.625
LEFTLUNG,OBLIQUEFISSURE,67.9426,45.2461,-192.5
LEFTLUNG,OBLIQUEFISSURE,67.9426,64.4415,-161.25
LEFTLUNG,OBLIQUEFISSURE,67.9426,73.3536,-148.75
LEFTLUNG,OBLIQUEFISSURE,67.9426,98.7188,-133.125
LEFTLUNG,OBLIQUEFISSURE,61.0872,61.6993,-155.625
LEFTLUNG,OBLIQUEFISSURE,61.0872,75.4102,-144.375
LEFTLUNG,OBLIQUEFISSURE,61.0872,86.379,-135.625
LEFTLUNG,OBLIQUEFISSURE,61.0872,98.0333,-127.5
LEFTLUNG,OBLIQUEFISSURE,53.5461,63.0704,-141.25
LEFTLUNG,OBLIQUEFISSURE,53.5461,78.1524,-138.125
LEFTLUNG,OBLIQUEFISSURE,53.5461,90.4922,-128.75
LEFTLUNG,OBLIQUEFISSURE,47.3762,69.9258,-135.625
LEFTLUNG,OBLIQUEFISSURE,47.3762,79.5235,-134.375
LEFTLUNG,OBLIQUEFISSURE,47.3762,90.4922,-123.75
LEFTLUNG,OBLIQUEFISSURE,41.2063,77.4668,-130.625
LEFTLUNG,OBLIQUEFISSURE,41.2063,85.6934,-125.625
LEFTLUNG,OBLIQUEFISSURE,41.2063,89.1211,-122.5
LEFTLUNG,OBLIQUEFISSURE,35.0364,76.7813,-130
LEFTLUNG,OBLIQUEFISSURE,35.0364,85.0079,-123.125
LEFTLUNG,OBLIQUEFISSURE,28.8664,75.4102,-131.875
