Region,Type,X point, Y point, Z point
LEFTLUNG,OBLIQUEFISSURE,130.009,-191.425,-992.5
LEFTLUNG,OBLIQUEFISSURE,130.009,-181.936,-980
LEFTLUNG,OBLIQUEFISSURE,130.009,-173.804,-970
LEFTLUNG,OBLIQUEFISSURE,118.487,-194.813,-985.5
LEFTLUNG,OBLIQUEFISSURE,118.487,-186.003,-969.5
LEFTLUNG,OBLIQUEFISSURE,118.487,-178.548,-955.5
LEFTLUNG,OBLIQUEFISSURE,118.487,-173.126,-942.5
LEFTLUNG,OBLIQUEFISSURE,105.61,-198.202,-983
LEFTLUNG,OBLIQUEFISSURE,105.61,-194.136,-975
LEFTLUNG,OBLIQUEFISSURE,105.61,-187.358,-952
LEFTLUNG,OBLIQUEFISSURE,105.61,-177.87,-927
LEFTLUNG,OBLIQUEFISSURE,105.61,-160.927,-913
LEFTLUNG,OBLIQUEFISSURE,105.61,-151.438,-908.5
LEFTLUNG,OBLIQUEFISSURE,92.7334,-196.847,-973.5
LEFTLUNG,OBLIQUEFISSURE,92.7334,-185.325,-952
LEFTLUNG,OBLIQUEFISSURE,92.7334,-179.225,-930
LEFTLUNG,OBLIQUEFISSURE,92.7334,-156.183,-908.5
LEFTLUNG,OBLIQUEFISSURE,92.7334,-142.628,-895
LEFTLUNG,OBLIQUEFISSURE,92.7334,-131.784,-883.5
LEFTLUNG,OBLIQUEFISSURE,79.8564,-188.036,-962
LEFTLUNG,OBLIQUEFISSURE,79.8564,-179.903,-942
LEFTLUNG,OBLIQUEFISSURE,79.8564,-167.026,-915
LEFTLUNG,OBLIQUEFISSURE,79.8564,-152.116,-898.5
LEFTLUNG,OBLIQUEFISSURE,79.8564,-131.784,-878
LEFTLUNG,OBLIQUEFISSURE,79.8564,-120.263,-867.5
LEFTLUNG,OBLIQUEFISSURE,64.2686,-174.481,-940
LEFTLUNG,OBLIQUEFISSURE,64.2686,-168.382,-917
LEFTLUNG,OBLIQUEFISSURE,64.2686,-154.827,-898.5
LEFTLUNG,OBLIQUEFISSURE,64.2686,-144.661,-883
LEFTLUNG,OBLIQUEFISSURE,64.2686,-118.907,-860
LEFTLUNG,OBLIQUEFISSURE,64.2686,-110.097,-855
LEFTLUNG,OBLIQUEFISSURE,47.3252,-171.093,-934
LEFTLUNG,OBLIQUEFISSURE,47.3252,-169.059,-929.5
LEFTLUNG,OBLIQUEFISSURE,47.3252,-167.704,-927
LEFTLUNG,OBLIQUEFISSURE,47.3252,-154.827,-896.5
LEFTLUNG,OBLIQUEFISSURE,47.3252,-145.339,-874
LEFTLUNG,OBLIQUEFISSURE,47.3252,-127.718,-859
LEFTLUNG,OBLIQUEFISSURE,47.3252,-108.741,-848.5
LEFTLUNG,OBLIQUEFISSURE,47.3252,-104.675,-847
LEFTLUNG,OBLIQUEFISSURE,37.1592,-172.448,-930.5
